,用户名,评论星级,评论时间,评论内容
0,蚂蜂窝用户,1,2019-05-16 09:37:41,建议大家千万不要去前门集散中心坐旅游公交，太坑了，20块的公交车半个小时一趟，得排队两个小时，不是因为人多，是车太少了，还有一种你交150，马上就可以走了，但是真心不值，包一顿饭，但喂猪的你吃的下去吗?明明有车就是不让你走，逼着你去买贵的才能马上走。北京人就是这样坑人的，反正你只来一次还是去德胜门靠谱，坐满就走.看看照片就知道了，150一个人那边，车全部空着，要不完，这边没车。
1,昨非,1,2019-09-15 07:41:33,八达岭的交通（公路和铁路），特别是铁路，让人觉得旅游部门的思维还停在90年代，一趟列车，居然没有列车时刻电子屏显示，列车还是没有通风没有空调的柴油车，列车也不准点，基本上没有座位。
2,GingerningmengTee,1,2019-04-06 20:13:33,两个人坐缆车往返140x2，上去后准备下来时说风太大关了不能坐；于是就被迫选择额外买了单程滑坡80x2的票，滑坡非常极其简陋危险！比上海四十年前儿童乐园的游艺设施还破。。。下来后，狂走20多分钟，赶着工作人员下班回到坐缆车的地方，不奢望补偿坐滑坡的钱，只希望可以退回往返缆车票一半的票钱，也就是140x2的一半70x2；结果不同意。说只能按单程票价的一半退！？单程票是80，退了我们两人40x2；不知道其中的逻辑何在。世界非遗的景点管理真的令人发指。
3,默潜,1,2019-03-31 15:57:37,从海南西路往北，城市无论大小，一般公交都可刷码，独这偏偏不行，因循守旧，历史教训不谨记啊！
4,wy,2,2019-10-03 23:13:50,啊哈哈，好多人去玩好多人，人山人海。
5,马蜂窝用户,1,2019-03-08 15:18:47,竟然被接驳车坑了！把一车人放在离接驳往返站三百米远的地方，司机走了！投诉他！
6,桃李不言,1,2019-03-04 10:47:21,这天正是周五，我们原以为工作日会人少些，结果到了这里我们就低估了游客的热情了。还别说到八达岭，就一进 北京 六环就开始堵车，到了景区堵人，也堵心。由于八达岭景区停车位有限，不能接待那么多私家车，因此只允许把车停在八达岭野生动物园停车场，费用30元（真TM黑！）。在此坐景区免费接驳车前往八达岭。当时艳 阳高 照，温度在30以上，看看这队伍。当时排队的时候，我俩就有点烦了。我们俩对于旅游不求数量，但讲质量。想着到了景区，一分散就好了。结果，买票、做缆车还要排这么长的队！我俩几乎同时转向对方，“要不，咱们走吧！”太阳这么毒，气温这么高，排队就得2小时，而且爬长城还是体力活儿，这种情况下特别容易中暑，尤其是老人和孩子。于是打算到返回车场的队伍里排队等着回去的接驳车，妈呀，回去也不容易，像我们一样到这里就想回去的不止我们自己，还有不少的一拨人，望着队伍我们俩不寒而栗，正犹豫要不要打车或者坐黑车返回，正好有一辆返程的接驳车不知在哪 里拉 了一车人，开这个门就停在我们仨跟前，我反应迅速，果断上车，于是我们免了排队一两个小时登车的辛苦，瞎折腾一回，急急似漏网之鱼赶紧钻进车里，启动，回家！离开这邪恶的景点！
7,豆-浆-不-加-糖,2,2018-11-01 17:00:10,因为带着家长一起，只好缆车上下，虽然省了很多体力，但也少了很多乐趣和成就感，缆车上行终点，就到达第8号楼了，是八达岭长城最高处，也是最著名的地方--好汉坡，到此，八达岭长城之行也就到了终点。最近北京雾霾天，站在最高处看落日，并不美。缆车没意思，只有一分钟，在缆车里真的是看不到好风景，下山可以选择缆车或者滑车，不过价格都好贵，缆车往返140rmb，滑车100rmb，而且只收现金，不能手机支付，山下的售票窗口号称有微信支付专用窗口，但并不是一直可用的，在这个普通的周末，景区仍然各种排长队，总之，八达岭长城的无趣，没有出乎我的预料
8,马蜂窝用户,1,2018-10-22 20:48:27,真是管理烂到家，大巴给送到索道，不告诉走路路口在哪里，真是没有服务和管理
9,小陈(绥化),1,2018-10-20 20:14:48,人太多了，最好别去，最好去人少的地方
