,用户名,评论星级,评论时间,评论内容
0,十一,3,2019-02-22 23:29:16,个人评分：三星天坛公园每天6点开园，淡季门票10元。但要想参观祈年殿，就需要另外再买门票了，圜丘坛、皇穹宇、回音壁都是如此，建议直接购买28元的联票（淡季），有时间都去参观一下。P.S.大家可以通过微信公众号直接购票，扫码入园，颐和园、景山公园等等也同样适用，非常方便。进了公园才知道，祈年殿是要到8点才开放的…不过没关系…一个小时嘛…我等……其实，在广场上听着老大爷们说些奇闻轶事，很有意思，一个小时很快也就过去了。随着大门一道一道的打开，祈年殿也慢慢映入眼帘。这一刻，很有仪式感。开门第一波守候着的，包括我在内只有三个人，都是直奔大殿前的中轴线，一看就是同道中人啊～想要拍到没人的天坛只能靠这短短几分钟了。
1,小尾巴只有一个哦,3,2019-05-24 18:42:57,七点多就去了，但是联票（含祈年殿，回音壁圜丘）要八点以后才能买。天还格外冷，就直接先买门票进去了，进去在外面是可以看到祈年殿之类的，基本都转完了，就没有再买联票了。里面寨宫还有一个地方可以微信扫码预约门票是免费的，但是要9点才能看。神乐署的门票是10块，是除了门票、联票之外单独买的票，没进去。可能走错了？我理解位置应该是神厨的地方没有进去的门。综合说，一般推荐吧，尤其冬天，昨天去快冻成傻子了。。
2,wugaga,3,2019-05-24 21:23:58,天坛公园不用提前在网上买票，现场买联票才34元，无需身份证实名购票。这公园从西门入比较阴凉，整个公园值得看的地方就祈年殿、圆丘、回音壁三个核心景点，如果时间紧迫，不建议来。回音壁上有好多以前游客刻在上面的字，难怪现在要用栏杆围起来了，看得好心痛。
3,M.L.W.G,3,2018-12-08 08:52:22,看到了天坛构造的介绍后我惊呆了完全被古人那种智慧和建筑的工艺所折服，可以说现在的建筑技术比之前还好很多，但是对于文化的了解和天地人合一的造诣，现在人远远不如古代人，这是中国文化的瑰宝啊。
4,远网短平快,3,2019-05-07 20:09:27,天坛竟然要2道门票，公园大门一个，进里面还要一个
5,Jackee,3,2019-05-19 12:29:09,皇帝祭天的地方，还是20多年前的体验好
6,钟毓,3,2019-08-16 21:37:55,去天安门的话就可以顺便看到了天坛了，，
7,太阳的马车夫要好好学习,3,2019-05-15 19:12:00,一个北京南区大爷大妈们聚集打麻将打扑克的大公园，售票只能用微信提前预定（套票要提前半天），现场购买只能用现金，我在北京第一次感受到了现金的重要。去的时候赶上了免费文物展，真正的天坛和回音壁应该属于不去后悔去了一样后悔的景点吧
8,行走的泰迪熊,3,2019-07-08 22:05:50,人很多啊，里面还是很大的，要走挺久的
9,Aqua阿瓜,3,2019-11-16 13:28:45,太小的时候去了，只记得很热，很晒，哈哈。
10,低调,3,2019-05-06 16:40:04,这儿原来是皇上祭天的地方，建筑很宏伟
11,熹微,3,2019-05-02 15:42:17,标志性建筑，肯定得去，但还是喜欢故宫和长城。
12,买个独栋养个狗,3,2019-04-10 23:19:27,人真的是超级多～～整个天坛非常大，外面公园-里面是回音壁跟祈年殿，其实也没有太多看的，主要是没来过的人来转转，然后拍一些照片。
13,猛犸,3,2019-03-23 08:41:42,标志性景点之一，当时好像是没进去，感觉一般吧
14,Gemini,3,2019-03-22 00:27:33,全是锻炼身体的老人，唱歌跳舞的老人
15,三颗石头,3,2019-02-20 12:41:17,我们住的地方离天坛公园很近，风景和其他一些公园差不多，至于那种历史的厚重感，看个人感受了。
16,测不准的艾伦,3,2019-02-18 15:04:17,北京除了长城，这个也是经常成为标志！
17,Vick7e,3,2019-02-07 23:34:45,就一个公园，还需要门票，不太建议去
18,kill蚊,3,2019-01-10 11:00:06,个人觉得天坛相比于故宫之类的地方就没那么有趣了， 不过有也算是很有名的古迹，可以看一看，但是不需要花费太多时间。
19,梁炳儿,3,2018-12-22 13:35:23,第一天下午五点多去到天坛才知道祈年殿回音壁都不给进了，不甘心第二天早上再来天坛。但看完就觉得也就那样吧。回音壁已经围起来了，看到墙上刻了很多字，人太多也感受不到课本中能听到回音的感觉。有点失望。
20,Xlsong,3,2018-12-13 14:57:07,不看里面的景点，可以不买34的联票，而只买大门票
21,闪耀的金币,3,2018-10-25 07:38:00,感觉很一般，就是个饭后散步的去处
22,Anna🍒娜娜娜娜,3,2018-10-11 11:04:15,主要就是看祈年殿，回音壁，圜丘，要买联票，旺季34，就算你不看，只买门票的话，进去里面还是会去补20块钱票的。我们一个半小时看完。
23,🐷猪👀小睿,3,2018-09-03 14:14:49,坛名气很大，里面我觉得没什么可看的，很出名的回音壁现在已经被围起来了，失去了回音壁本身的意义。建议大家选择跟着导游一起走，听导游讲一些小故事，比较有趣，自己走的话除非你很懂历史，不然可能只是看房子而已。公园环境挺不错的，走走还是挺心旷神怡的，但是我们去的时候冬天风很大，吹在脸上很冷，建议戴口罩，保暖又防雾霾。
24,怪诞魔女,3,2018-09-01 11:48:00,略走走就好，拍拍照，看看风景，欣赏一下当年皇帝老儿是在哪里祭祀。
25,zombie_rq,3,2018-11-06 03:55:15,当时是出差中转的途中，进去转了转，其实就是普通的公园，基本上都是大爷大妈。只是有些古迹而已。
26,花香飘满小楼,3,2018-08-22 19:57:26,冬天天坛的雪景是很美的 不做别的 就踩着厚厚的雪到处走
27,莼苛瑷bo小妞,3,2018-06-24 00:18:08,因为离住的地方挺近，所以去看了看
28,一个桔子,3,2018-06-05 10:16:35,天坛因为有名所以才去打卡的。。。。感觉还行吧。。。
29,rakue7,3,2018-05-23 09:27:48,拍照很好看 还是那个问题 层层收费 到达祈年殿要收3次门票 真的无语了
30,淼,3,2018-05-09 14:38:00,天坛嘛，无论你进东门，或者南门，稍一溜达，成片的古树，让你觉得神清气爽，精神一振的。太舒服了。尚且不论这里还有那么多古迹，若时间来的对，可以看到过去皇帝祭天的整个过程。也不失为一种知识的储备，特别是孩子。
31,麻衣神算,3,2018-05-09 08:45:28,明清两朝祭祀天地祈求五谷丰登的地方！建筑设计契合天圆地方思想！
32,Louis看世界,3,2018-05-08 09:34:52,人文景点我都是个瞎子，读不懂，凑热闹罢了
33,冬瓜,3,2018-04-24 09:13:45,今天去的是淡季，对于没有文化气息的我就相当于在公园里走了一圈。看了很多爷爷奶奶打牌，买的普通门票10元。通票28，冲着祈年殿去的，但是没有买通票。于是在外面看了看就走了。
34,VW12138,3,2018-04-11 19:02:09,天坛公园~早上很多老人家在这里晨运
35,geometre2017,3,2018-03-16 15:43:24,逛年会，人好多，各种小吃，年会小节目，挺有意思的，就是人太多
36,fangfanglois,3,2017-03-24 08:20:56,印象最深的就是祈年殿，蓝天白云的映衬下，琉璃瓦闪闪发光，有一种神圣的味道。
37,行者,3,2017-02-28 15:08:31,天坛是明清两代皇上祀天的地方。也是北京保护的比较好的古代建筑。最著名是这里的祀年殿等古建。
38,漱口水和小老虎,3,2017-02-26 22:34:40,这一片的景点很多了，都那样子吧，没有啥特色可言，只是现实中这些建筑并没有广角镜头渲染出来的那么宏伟高大。
39,My Sunshine,3,2017-02-26 20:51:05,相对来说游客较少，可能因为是淡季出行吧，在这拍张照片签个到也是很有意义的，听说还有很多人选择在这拍婚纱照。
40,sharpay,3,2017-02-21 14:13:08,中建史里面的建筑，怎么也得去看看呀
41,上海下辈子,3,2017-02-19 12:52:07,有点鸡肋，看看皇帝祭天的地方是值得的，但是需要用脚走过全过程才有那种体验，而这既花时间又费体力。
42,ruby,3,2017-02-15 13:50:47,其实感觉一般般吧，去的外国游客到时很多。但是感觉售票员的态度不太友好。
43,matao,3,2017-02-13 23:01:26,天坛才是北京真正的象征！长城呀故宫呀那都是中国的象征！具体到北京市北京人当属天坛了！
44,陈某帅,3,2017-02-03 21:49:52,地方是好地方，但古迹总免不了年久失修，话说也没法修。。。
45,海之槛歌,3,2017-01-31 20:35:21,大学时和室友来过一次，印象不是很深刻。
46,直觉,3,2016-11-02 23:04:15,这里的印象也不是太深刻了，所以...
47,幽灵老猫,3,2016-10-12 16:53:18,1月13日，南门进北门出，南门有涮肉，天气好，值得看看
48,lanny,3,2016-10-11 17:25:06,进天坛需要另行收费，所以感觉一般
49,小静哒哒哒,3,2016-10-08 23:39:54,It’s god for me
50,呦呵,3,2016-09-20 21:57:22,It’s good for me
51,ゝ365°✿゛ζั͡ޓއ,3,2018-03-15 23:57:58,一个古往今来具有神秘色彩的地方……
52,葛胖子,3,2018-02-23 15:40:29,就是一个公园，天气好的时候去转一转
53,紫夏魅惑,3,2018-01-13 14:12:15,11月18号下午去的，28元联票，票价挺值得的，里面值得慢慢看。
54,东南风,3,2017-12-21 12:41:02,住在二环幸福里大街，隔着天坛很近，小单车直达。就是感觉挺大的，没啥意思。
55,宁采臣,3,2017-12-18 18:27:45,公园很大，可看景点有限，且属于单收费项目，园内大部分为公共绿地。不过总体而言这里特点鲜明，且门票价格不高，适合于初次来京者，或周边健身群众。
56,芸,3,2017-12-18 15:24:50,夏天去的时候防晒很重要！非常重要！天坛的树不怎么多，去祈年殿的路上全是光秃秃的路，晒得受不了。人文景观还是不错的，回音壁要另外买票，感觉没什么特别好玩的地方
57,徙北,3,2017-12-10 09:01:20,我是下午陪家人去的，那天早上下了雨，下午放晴。人比起其他景点，那自然是少多了。也比较悠闲自在一些。虽然没有蓝天白云，但是雨天也有雨天的味道。看多了黄色的瓦片，觉得蓝色的格外不同。
58,龟妖灵乄娃娃,3,2017-12-01 15:47:45,天坛，来北京必到得地方，蓝天白云得映衬下，天坛真心的漂亮，这个地方也是最能体现古与今得地方，古代得建筑周围都是大爷大妈们得悠闲生活
59,Run,3,2017-11-18 18:49:14,雄伟壮丽，看得很感动。值得去看。
60,淼,3,2017-10-18 15:59:43,天坛嘛，无论你进东门，或者南门，稍一溜达，成片的古树，让你觉得神清气爽，精神一振的。太舒服了。尚且不论这里还有那么多古迹，若时间来的对，可以看到过去皇帝祭天的整个过程。也不失为一种知识的储备，特别是孩子。
61,麻衣神算,3,2017-10-06 21:43:23,明清两朝祭祀天地祈求五谷丰登的地方！建筑设计契合天圆地方思想！
62,Louis看世界,3,2017-09-19 21:03:44,人文景点我都是个瞎子，读不懂，凑热闹罢了
63,冬瓜,3,2017-08-20 13:51:58,今天去的是淡季，对于没有文化气息的我就相当于在公园里走了一圈。看了很多爷爷奶奶打牌，买的普通门票10元。通票28，冲着祈年殿去的，但是没有买通票。于是在外面看了看就走了。
64,VW12138,3,2017-08-06 18:19:14,天坛公园~早上很多老人家在这里晨运
65,geometre2017,3,2017-07-16 20:36:33,逛年会，人好多，各种小吃，年会小节目，挺有意思的，就是人太多
66,fangfanglois,3,2017-03-24 08:20:56,印象最深的就是祈年殿，蓝天白云的映衬下，琉璃瓦闪闪发光，有一种神圣的味道。
67,行者,3,2017-02-28 15:08:31,天坛是明清两代皇上祀天的地方。也是北京保护的比较好的古代建筑。最著名是这里的祀年殿等古建。
68,漱口水和小老虎,3,2017-02-26 22:34:40,这一片的景点很多了，都那样子吧，没有啥特色可言，只是现实中这些建筑并没有广角镜头渲染出来的那么宏伟高大。
69,My Sunshine,3,2017-02-26 20:51:05,相对来说游客较少，可能因为是淡季出行吧，在这拍张照片签个到也是很有意义的，听说还有很多人选择在这拍婚纱照。
70,sharpay,3,2017-02-21 14:13:08,中建史里面的建筑，怎么也得去看看呀
