,用户名,评论星级,评论时间,评论内容
0,倪嘉🎀,5,2019-04-23 11:41:50,开放时间旺季(4月1日-10月31日)6：00—22：00淡季(11月1日-次年3月31日)6：30—22：00门票价格旺季(4月1日-10月31日)15元，联票35元淡季(11月1日-次年3月31日)10元，联票30元明、清两代帝王祭祀皇天、祈五谷丰登之场所。特别值得注意的是天坛是圜丘、祈谷两坛的总称，有坛墙两重，形成内外坛，坛墙南方北圆，象征天圆地方。还有回音壁也值得一去哦
1,蜜糖儿,5,2019-05-12 20:45:49,北京最大丁香林：天坛丁香，花香袭人春天，如果在北京，其实哪都不用去了，北京的春天，就是一个万花筒，轻轻松松就能赏最好的花。3月，桃花全城盛开，樱花也不甘示弱；4月，百年梨花登场，丁香也竞相开放。要数丁香哪里最好，那一定是天坛里春光乍泄的丁香花。天坛一到春天，满园春色关不住，到处是绿树草坪，二月兰在东侧幽静开放，丁香花在西侧高调亮相。天坛祈年殿柏树林西侧，一到春天这里总是飘香满园全城皆知，很多人赶来赴一场丁香盛宴。这里拥有北京市最大的一片丁香林，共占地6300平方米，种有丁香240丛，树龄近50年，每年四月花香袭人，成为北京春季赏花的一大亮点进入天坛，随着步脚的前进，空气中的芳香味就渐渐加重，其实可以“闻香识林”，不经意间，你就到了一片雪白雪白的丁香花前，一朵朵，一簇簇，惊艳了你，也惊艳了整个春天。最美人间四月天的天坛公园几乎每天都有络绎不绝的人前来欣赏，天坛公园的丁香花为整个公园注入了鲜艳的色彩。行走在树荫下，香气扑鼻，香气醉人！
2,胖胖的蛋壳,4,2019-09-11 16:15:03,帝都之旅第一站就是天坛。天坛真的非常值得去，特别是2015年的秋天，“阅兵蓝”尚未消失的 北京 ，蓝天白云，没有雾霾，蓝天下是鲜明的红墙黄瓦的皇家建筑，古意中带着皇家的威严；天坛周边还可以看到 北京 的公园里锻炼的大爷大妈，充分感受京城百姓的日常生活，感受到提笼架鸟的那份安逸，还能听到有人拉着二胡吊嗓子唱戏，身强力壮的老爷子绕着单杠一圈圈的转。
3,绵羊面包,4,2019-04-12 23:16:21,因为住的不远，又比较好停车，天气好的时候就带娃来转一转。总能看见人们组织各种文娱活动，打扑克，练快板，耍太极还有跳广场舞的。园内绿化好，不愧是皇家园林，一年四季都适合溜达。还总能看见小松鼠和喜鹊乌鸦之类的小动物，休息的椅子有很多，适合老人小孩和情侣来遛弯儿。
4,霞姐,5,2019-04-08 16:02:46,天坛公园位于北京市南部，东城区永定门内大街东侧。占地约273万平方米。天坛始建于明永乐十八年（1420年），清乾隆、光绪时曾重修改建。为明、清两代帝王祭祀皇天、祈五谷丰登之场所。天坛以严谨的建筑布局、奇特的建筑构造和瑰丽的建筑装饰著称于世。
5,文墨,5,2019-04-06 16:42:38,比起故宫，我更喜欢天坛很多，以画比喻，故宫算是一幅高密度的画作，而天坛有大量的留白，正是由于这些留白，使天坛更具一番风味；天坛主要是在明清时用于祭祀，祭祀建筑物都比较有特色；四月的天坛公园，大量的丁香花绽放，淡淡的花香中，略带丝丝苦味，感觉非常不错。
6,回旋之水,5,2019-04-05 16:58:35,天坛公园，真的好大！从南门进去，首先到达圜丘，这里是进行祭天大典的地方，很多栏杆台阶数量都是采用9的倍数而建。整个圜丘除了中间的圆形祭天建筑外，四周是一个方形围墙，十分宽阔，沿着四面围墙走一圈应该近一公里。方形围墙里面有一圈圆形围墙，都是红色墙体加蓝色琉璃瓦，十分庄严。往北走，到达皇穹宇。这里用于平日供奉祭天大典的神明。建筑也是同样红色墙体蓝色琉璃瓦，圆形围墙相对小一些，但是这里是出了名的回音壁，环形的围墙加上不大的空间让声音能反射回来。皇穹宇的藻井十分漂亮，圆造型，绿蓝金集中颜色有规律地交叉连接，逐渐拱起来汇聚到最中间的最高点。往北，到达祈年门。过了祈年门，就见到了天坛的核心建筑，祈年殿。那闻名于世的三层蓝色瓦顶圆柱建筑，由三层 白玉 石围栏基座撑起，与天地浑然一体。祈年殿的藻井更是恢弘大气，而里面最让人震撼的是那些红色大柱子！中央的四根立柱高19.2米，代表一年中的四季，外围两排各有12根柱子，分别代表十二月和十二时辰。这是应该目前见过的最高大的木柱子了。
7,季康,5,2019-03-12 21:44:22,今天讲讲海漫大道，天坛祈年殿前神道，佛经上讲，在天跟地之间是大海，大海上有一条连通天地的大道，叫海漫大道，天坛这条海漫大道宽9丈，长108丈，在传统文化里1 3 5 7 9叫阳数，2 4 6 8 10 12叫阴数，9是最大的阳数，12是最大的阴数，9*12＝108就是最大的数，把海漫大道做成108丈，就意味着天高地迥，天地之间非常高远的意思，传统文化里非常喜欢用108这个数量级，比如说梁山好汉108将，什么意思，告诉皇帝，我梁山一百单八将兵多将广，不要小看我喲。同样在西游记里孙悟空一个筋斗云十万八千里，东土到灵山的取经道路也是十万八千里，可能有人会问了，孙悟空一个筋斗云把经取回来不就可以了吗，你以为佛祖会这么轻易把经书给东土吗？真这么简单还是真经吗😊 ，在这里呀，孙悟空是个什么角色呀，是是猴子，是唐僧的大徒弟呀！恭喜你答对了，有个词叫心猿意马，什么意思，猿就是心呀，唐僧要完成取经大业，首先要先收心，还要坚定信心，所以还要有紧箍咒，紧箍咒是什么，定心箴言呀！同志们，明白了吧，我们无论做什么事情也是一样啊，先定下心来，一步一步朝着目标前进，我们的心灵尽管一下子就到目的地了，我们还是要一步一步的走向胜利✌ 呀！祝福我们每一个奋斗的人们[微笑]
8,yoanjel,5,2019-02-26 09:37:21,来到天坛的东门了，来售票处购买门票。爸妈依旧免费，我购买了成人联票。网上强烈建议要购买联票，这样祈年殿，回音壁，圆丘都可以进入。如果不购买，真的是任何天坛景点都看不了的。陆陆续续有游客来天坛，从照片可以看到地上已经有一些雪花了。进门之后，飘雪越来越密集。以绿树为背景，依稀可以看出在下雪。继续往祈年殿走去，看到公园一边一群当地人聚集在一起，其中一个大姐在给大家讲故事，宣传幸福生活，在场所有人都齐声附和，其乐融融。
9,一Manぃ,5,2019-02-25 16:09:34,小的时候和爸爸妈妈来的这里，也就对祈年殿还有点印象，突然又想去看看， 说走就走，到这已经下午了，人不算多， 买了票就进去了，天坛的主要建筑就是公园中心的祈年殿了，红墙绿瓦 ，天圆地方，北京的象征性建筑， 北京必去的地方 ，再次来到这里， 令我最印象深刻的是那些百年老树， 勃勃生机，不愧是皇家园林 ， 天坛真是太大了 奈何天气太冷， 从南门进绕着祈年殿转了一圈从西门出去的 ，有时间一定再来好好转一下
