,用户名,评论星级,评论时间,评论内容
0,比卡丘的小智,3,2020-04-28 21:53:45,"国庆期间,很多人都是排通宵的队去纪念升旗的那一刻，人多到你无法想象建议看升旗仪式尽量避开节假日吧，还有一定要早早去。天安门 人民大会堂 国家博物馆这三个离得近，可以串在一起游览。我对天安门和大会堂没兴趣，就只是经过拍了个外观。"
1,Kumiko,3,2019-05-26 17:07:00,对军人们印象最深刻，一个个站的都特别笔挺，神情庄严，皮肤因为日晒变得黝黑，夏天马上就要到了，三十多度的天，有点心疼这些军哥哥麽
2,狐狸演的戏,3,2019-07-29 09:55:28,7.28号去的，刚好周末，天热人多汗直流，雾霾天，看人可以的！
3,独钓寒江雪,3,2019-05-18 10:38:34,"天安门广场,是世界上最大的城市中心广场,也是新中国无数重大政治、历史事件的发生地,。"
4,本座无忧_,3,2019-04-01 13:20:18,开国大典，百花齐放，等待良人归来的那一刻。
5,爱上旅行,3,2019-02-11 11:02:50,大年初四一早来到广场覌升旗仪式，唱国歌，内心爱国情怀慢慢
6,花惊寒食,3,2018-11-02 12:33:01,天安门广场属于去是一定要去的，升旗仪式也是一定要看的。虽然之前做攻略的时候也知道其实没什么，但这个是一定要去打卡的。当然去了以后也确实没什么。广场就是一个大广场，嗯……升旗吧当时围着的人实在是太多了，而且就算是最里面那一圈的人离升旗仪式也很远，更别说我们这群完全挤不进去的人了。只记得升旗的时候所有人都举着手机垫着脚在拍照，我们在后面的人根本什么都看不清，实际上那天天气不好，雾蒙蒙的，所以我们只能去看别人手机或照相机里的图案。整个过程都不太好，最后都有些恍惚：什么？这就完了？兵哥哥什么的根本就看不清楚。但是反过来说，要是不去的话好像又有点遗憾。所以还是去一次吧，可以作为去故宫前的前菜。
7,测不准的艾伦,3,2018-10-25 07:40:48,小时候，说到北京第一个反应就是天安门广场！
8,Vvrice,3,2018-10-10 23:35:55,其实并没有想象中的那么宏伟壮观，不过是个打卡点！游客非常多，拍照拍出来的都是人山人海！
9,薇薇菋,3,2018-10-10 12:19:03,人很多 要排很久的队。。。 风光还是挺好的要是人少点就好了
10,宁心☆~唯爱,3,2018-10-06 09:44:36,去故宫时算是到过吧，可惜没看过升旗
11,👒👒木子萧然👒👒,3,2018-09-18 16:39:36,随波逐流的逛了一下，都没能仔细看看，以后有机会去看看升国旗吧！
12,L,3,2018-09-08 15:45:52,看了升国旗，本以为工作日去人不多，没想到人山人海。
13,Xlsong,3,2018-08-21 16:18:13,去故宫路过就看了一下，没有，想象中的大。
14,李继文,3,2018-06-23 22:22:42,一个跳广场舞的好地方，就是人太多了
