,用户名,评论星级,评论时间,评论内容
0,胖胖的蛋壳,4,2019-04-08 17:24:06,饱经500余年风雨沧桑的天安门广场是当今世界上最大的城市广场。它坐落在中华人民共和国首都北京的市中心，故宫的南侧，与天安门广场隔长安街相望，是明、清两代皇城的大门。1949年10月1日，中华人民共和国在这里举行了开国大典.天安门城楼、人民大会堂、国家博物馆、人民英雄纪念碑等众多国家象征都坐落于此，各种大型庆典也都在这里举办，每天清晨的升国旗仪式更是吸引无数游客前来瞻仰。观看升降旗仪式天安门广场升（降）国旗仪式分为节日升旗仪式和平日升旗仪式。
1,胖胖的蛋壳,4,2019-06-14 15:18:55,故宫去之前一定要在网上预订，要不然可是进不去的，门票倒是不贵。坐地铁到了天安门广场，可能是国庆，进入天安门广场不用过安检了，直接来到了天安门城楼前城墙一望无际，毛主席的照片悬挂在城墙中央，站在这里，真的感觉很激动，家国情怀油然而生。第一次去往 北京 ，第一次见到天安门，和想象中一样，很多人，抓紧时间拍照留念。走过天安门到了里面，因为已经预定好了，就直接到里面排队了。
2,霞姐,5,2019-12-04 14:20:32,天安门广场，位于北京市中心，地处北京市东城区东长安街，北起天安门，南至正阳门，东起中国国家博物馆，西至人民大会堂，南北长880米，东西宽500米，面积达44万平方米，可容纳100万人举行盛大集会，是世界上最大的城市广场。，中央矗立着人民英雄纪念碑和庄严肃穆的毛主席纪念堂，天安门两边是劳动人民文化宫和中山公园，与天安门浑然一体，共同构成天安门广场。
3,回旋之水,5,2019-04-08 16:07:51,出国家博物馆，对面就是天安门广场。广场中央有人民英雄纪念碑、毛主席纪念堂、国旗，西边是人民大会堂，北边马路对面就是天安门。广场真的很大，时间比较赶，只能匆匆远望，加上天气不太好，也分不清是下雨还是雾霾。
4,yoanjel,4,2019-09-28 10:28:35,看到了小学课本中提到的华表。最正前面已经被栏杆围起来了，只能在边上拍照。找了个游客帮我们三拍了一张合照~对面的国旗位置，已经有很多游客在等待降旗仪式。天安门每天的升旗和降旗都不一样。4点45分，一群警察同志就开始驱散聚集在天安门前面的游客，要求大家退散到华表外。大家以为降旗仪式要开始了，一问，被告知要5点40分才开始，足足还有一个小时。不可能原地等候一个小时，于是继续走地下隧道，来到这边的广场。刚想走到人民大会堂前面拍照，没想到这里的警察也开始驱散人群。游客被陆续驱散到降旗仪式位置游客退散，广场剩下一两个清洁工在打扫卫生。偶尔有一些小孩子要拍照，都被武警叔叔请了出来。寒风中依旧屹立的军人。等了二十分钟，看到了降旗仪式。仪仗队是从长安街对面的天安门走过来的。游客太多了，只能看到国旗降了下来。降旗仪式结束，天安门的灯亮了起来。接着就是所有游客从各个出口离开广场。
5,李钜俊,5,2019-09-28 17:26:02,"天安门广场真是一个大！来北京游玩的伙伴记住这个地方是毕来的,它是北京的中心。来到天安门广场除了看英雄纪念碑,看人民大会堂是外,一定不能错过升旗仪式,但是一定要提前在网上查看升旗的时间,因为冬天与夏天的升旗时间是不一样的,https://flag.911cha.com/这个是网址,而且节假日看升旗要提前排队,我们是大年初一区,当时6点多已经人满为患,听说国庆的时候,那些人已经是排通宵的队去纪念升旗的那一刻,而且节假日元旦、春节、国庆节、劳动节与每个月有1的日子如1号、11号、21号,都会另有68人的大乐队在前进时奏响《歌唱祖国》,再吹奏《国歌》！"
6,宁夏金旅旅行,5,2019-12-04 14:20:43,2018年1月份北京足迹天安门广场，位于北京市中心，地处北京市东城区东长安街，北起天安门，南至正阳门，东起中国国家博物馆，西至人民大会堂，南北长880米，东西宽500米，面积达44万平方米，可容纳100万人举行盛大集会，是世界上最大的城市广场。 [1-2]广场地面全部由经过特殊工艺技术处理的浅色花岗岩条石铺成，中央矗立着人民英雄纪念碑和庄严肃穆的毛主席纪念堂，天安门两边是劳动人民文化宫和中山公园，与天安门浑然一体，共同构成天安门广场。1986年，天安门广场被评为“北京十六景”之一，景观名“天安丽日”。天安门广场记载了中国人民不屈不挠的革命精神和大无畏的英雄气概，五四运动、一二·九运动、五·二〇运动都在这里为中国现代革命史留下了浓重的色彩， [1] 同时还是无数重大政治、历史事件的发生地，是中国从衰落到崛起的历史见证。
7,不是人间富贵花,5,2019-04-05 17:23:34,5点我们便起床了，为了看升国旗我们也是拼了。等我们过安检到达广场时，第一排还是没了，我们只能站第二排。当时应该是6点左右，而升国旗时7点24分，我们整整在寒风中站了一个多小时，等着太阳升起，等着国旗的升起。等待的时间是漫长的，升国旗的时间只有一首国歌的时间，但是还是里三层外三层的人来观看，站在我们前面的夫妻也是来北京旅游，带着他的一双儿女，站在我边上的老爷爷，是老北京人，他已经来看过无数次国旗了，再后面的老爷爷举着他的小外孙看升国旗，大家都很激动，看到国旗冉冉升起的那一刻，一切又都是值得的。
8,小尾巴只有一个哦,5,2019-12-04 14:20:52,凌晨四点就起来了，还是来的比较远，人很多了。国旗在马路南侧，如果在北侧是不让过马路的。需要走过地下通道去马路对面，走到国博的位置，过马路。天比较冷，记得提前贴好暖贴！暖贴！暖贴！！另外每个月第一天会有军乐，可以考虑在月初第一天来。（我是腊月二十七来的，没想到人还是这么多)升旗时间可以在网上百度。升旗结束可以直接去故宫或者毛主席纪念堂，都是八点开；周围有很多博物馆，大多免费的，可以搜索一下，不过博物馆都是九点开门。把握好时间～另外打车目的地设置在天安门国旗司机是没法接单的，没法停车。我们打车来都是在王府井附近下车的，周围都是禁停。司机师傅挺好的，以为我是外地过来的，还给我说了好多景点，人很实在。如果需要包车，我可以介绍这个师傅给你。
9,七月,5,2019-02-26 09:34:00,北京的首站肯定是去天安门面圣，这是每个人的中国梦。从北京西站直接坐地铁到天安门东，出来就是天安门城墙。今天北京的天好蓝，天气很棒，跟他们说的雾霾魔都好像不是同一个似地方的。蓝天映衬下的天安门 ，没有高高在上的感觉， 而是一派正气凛然。
