,用户名,评论星级,评论时间,评论内容
0,Ginina,2,2019-11-01 15:24:46,别进去，路过看看就行，周边管制非常多，安检也非常麻烦。
1,浪漫骑士,1,2019-07-09 09:27:04,车多人多，空气质量差。一般游客人生不会选择再来的。
2,Aqua阿瓜,2,2019-03-14 19:11:54,我说这个地方不好玩会被叫喝茶吗....? 我调皮得试一下...这个景点非常经典，来北京肯定不能不去。整个国家的心脏。有浓浓的政治气息。走在路上就能感受出来。
3,乐乐,2,2018-11-14 14:59:36,首都北京，曾经住过一年，非常难忘。
4,虫草,2,2018-10-23 23:04:27,没什么特别的。还要走好长的路才穿过马路到对面哦
5,地平线,1,2018-07-28 12:35:38,啊啊啊啊啊啊啊啊啊啊啊啊啊，啊啊啊啊aaa
6,Misha,1,2018-05-07 04:54:42,周围卖五星红旗的人可能穷疯了，大家一定小心，看我们是女生好欺负 强行卖给我们 我们不买还骂我们，太可怕了 我说报警还要来打我 警察都不怕了
7,xingyunstar,2,2019-09-15 08:05:22,节假日千万不要去 节假日千万不要去节假日千万不要去节假日千万不要去节假日千万不要去
8,面包里的葡萄干,2,2018-05-02 09:38:40,天安门上的人，真是可以说是用人山人海来形容了，人流一直不断，若不是因为是中国的地标性建筑，真是能别去就别去吧，恰逢毛主席纪念堂还闭馆装修，真是啥好都没碰上。去城楼的门票需要进去之后再买，15块钱，学生证5块，65岁以上老人不要钱，进去城楼上要存包一定要记得，不然买了票也进不去，水什么的也不准带上去，上去以后能看到天安门前广场的俯瞰景色，感觉还不错，城楼里面是不许拍照的，有城楼百年的变迁，可以看看，参观城楼安检排队15分钟，走过天安门广场用了差不多40分钟，买票排队半个小时，存包排队15分钟，进去参观20分钟不到，有些失望。。全部都是人
9,我行我素,1,2017-08-17 15:19:51,现在进出貌似还要安检 广场上遍布着各种各样的便衣 除了人没别的
10,玉玉,2,2016-05-11 13:24:07,人真的太多了。年纪大的朋友不要去。
11,果冻,2,2016-04-10 05:09:55,人多，全是人，其实就是一个北京的标志。。。
12,秋天de白菜,2,2016-02-29 10:43:48,似乎来北京旅游都得去天安门，个人觉得天安门值得看的是升降旗仪式。
13,avaのstrong,2,2016-02-15 16:02:43,看升旗，好多人，也就几分钟，不过值得看一次，很庄严
14,Richard,2,2016-02-12 18:02:07,对于这里呢，我真的不想说太多了。有什么可看的？不明白了。安检严格的不行，人也多的不行。早上要是想看升旗找个好位置，凌晨3点到都不一定能找到合适的位置！逢年过节的，人多的不行，人挨人，人挤人的，什么都看不了。周边只能做地铁或是公交车，打车根本不停，你得走出两公里才行。反正真的没什么可看的，没有可玩的，没什么景色可拍的。要是时间挺紧的，最好让司机走长安街路过看一眼就好了，别特意来了，浪费时间，还不如去别的景点多玩玩呢
15,一梦三十年,2,2016-02-10 10:02:45,看升旗是个很受罪的活，大半夜冻的半死等到天亮，人海茫茫全是人头，基本也就看个旗杆，不推荐休闲旅行者。自虐打卡型可以去一次。
16,北京小老虎,1,2017-06-14 23:11:40,安检太严，根本进不去。雾霾太大，啥也看不见。
17,青烟沐阳,1,2016-02-02 23:13:19,一般般，没意思，但是为了表现还是可以去。旁边是故宫
18,贺晋英,1,2015-12-11 11:13:39,一个令全球任何人向往，神秘的地方
19,Kathleen,2,2015-11-22 19:05:27,我倒想找个人告诉我，有什么好看的，有什么好看的，有什么好看的！！
20,光辉,2,2015-11-11 20:01:46,中国 北京 天安门 这还用多说么
21,硕硕的U盘,2,2015-10-12 10:02:49,有意思吗？就是个广场，到此一游足够了
22,MJ23mj,2,2015-09-24 22:22:14,人多车多，总有人监视你，进去要安检搜身，天黑了要赶人清场，白天太阳大，降了个半旗
23,泥伯公,2,2015-09-12 11:46:19,安检非常严格，没有意思了，中间那个新建筑很碍事，影响景观！
24,Brentcor,2,2015-09-12 02:34:03,来这里除了看一下年年翻新年年新的门以外，最大的风景是满街的警察，安全系数还挺高的吧，如果没带暂住证和穿的不整齐，奉劝你不要过来，不然到时候拉到三间房去筛了沙子，可别怪我没提醒你
25,SOMEBODY,1,2015-08-29 00:11:59,一个政治色彩很浓的地方，一片大空地，没有特别的
26,pb0911013,2,2015-08-17 09:27:22,"没什么看头的广场,就很空的一块地"
27,隔壁的kouby,2,2015-08-11 14:14:17,虽然去过天安门广场很多次了，但每次去都还是会觉得很庄严肃穆，有一种国家象征的感觉
28,Wangming,2,2015-08-04 01:17:24,无聊透顶丝毫没有意义，不建议去
29,岫岫,2,2015-07-26 10:25:08,天安门人很多，排队进去之后拍了一下天安门就进去了，里面可以登城楼，要买票，买完票还要去存包，城楼不能带包上去，存包还要交钱。真是各种无语。其实城楼上面也没啥好看的。
30,夏立未满,1,2015-07-23 19:49:21,安防很严，每次路过就很好奇为啥那么多人喜欢去那里拍照。完全没有任何景致可看。
31,光芒盛夏,2,2015-07-09 21:26:20,人居多 毛主席纪念堂 很威严 人民英雄纪念碑站岗的英姿飒爽啊 天安门周围的城墙到是蛮有意思，厕所太差了。。。
32,大_杨洋,1,2014-08-18 13:42:04,北京去了得有不下8次了，除了路过这，什么故宫、长城、后海啥的，哪里都没去。
33,Elisha,2,2014-08-16 13:29:20,初到北京基本上都会去看看，反正第二次也不会再去了。公厕等公共设施真心差，工作人员态度也不好，实在是很坍国人的台。。
34,二十三笔画,1,2014-08-08 10:21:35,每天的人很多，门票100元，里面的景色不错，不愧为皇家园林，非常的不错。
35,莱西,1,2014-08-07 12:08:35,在天安门前升国旗的人山人海，最好不要节假日去，否则你只能看人头攒动了
36,江 宏明,1,2014-08-04 22:13:05,我爱北京天安门，天安门，中华人民共和国的象征。坐落在中华人民共和国的首都----北京市的中心，故宫的南端，与天安门广场隔长安街相望，是明清两代北京皇城的正门。设计者为明代的御用建筑匠师蒯（kuai）祥。
