,用户名,评论星级,评论时间,评论内容
0,Amy,3,2019-03-25 13:33:07,我就在北京呆一天，一定要去的只有毛主席纪念堂和故宫。毛主席纪念堂就是情结，必须要去，故宫我是2008年去过一次，觉得看的不过瘾，而且间隔十一年，故宫也有很大变化，所以这次也必须去。我是今年三月二十四日去的，早上十点到下午两点吧，高峰期时段，这次故宫给我的体验不好，虽然各种宫殿，展览一如既往的好看，用心，但是人太太太太多了，只要是室内展厅，完全是摩肩接踵，你一般都挤不到玻璃跟前去，比如珍宝馆。钟表馆，过大年展览等。尤其是钟表馆和珍宝馆，我直接放弃看了。而且故宫内没有直饮水，不知道是否出于安全考虑，如果不是真该设置一个，为游客提高便利。感觉故宫是太好了，所以人不管什么时候都不少。真的参观体验太差了，我觉得除非故宫现在限流从八万人再减少一半，我才再会去故宫了。。。。图三是过大年展厅里照的一张。
1,蒙闭闭,3,2019-12-04 14:18:32,提前买票，凭身份证原件入场坐地铁，天安门东站下车。往午门方向走，因为只有午门可以进故宫。这一路走得我怀疑人生，人多，跨行[流泪]好不容易到了午门，人从众人从众，大烈日排队入场。幸亏不用排太久。入场后，人从众人从众人从众[流泪]烈日灼心除了红墙绿瓦，其它什么都看不到，人群掰不开啊！里面看不到有导览器租，在X程买了手机电子导览服务，结果，手机信号极奇弱，听着听着就卡或暂停。珍宝馆和钟表馆我是买票了的，但是，看到馆外等进馆的队伍，怕呀！果断走人。逛了一个多小时，实在提不起观赏欲望，走了。最后走了好远好远好远才到地铁站。回来发现，竟然没有一张自己在故宫的照片
2,Kumiko,3,2019-12-04 17:28:11,就过个场，人也特别多，每个宫也都是封着的，门口看一下就走，人多还挤不到门口看。就这样吧。喜欢历史剧的应该觉得不错
3,快快快121,3,2019-09-09 22:38:04,王者之风。风景真的没话说。但是服务就一言难尽了。
4,马蜂窝用户,3,2019-05-26 17:17:23,现在故宫的大殿都是大门紧闭，根本没啥看的了，怪不得门票这么便宜
5,Ben,3,2019-06-08 17:31:17,几个主要宫殿 警戒现实现实是拉的太远了 感觉就是在比眼力
6,起个名字太麻烦了,3,2019-06-04 07:59:40,特别好，很不错。特别好，很不错。
7,Jackee,3,2019-05-12 19:28:18,第二次游故宫隔了20年，游客太多，好多宫里的用品都没摆设了，宫殿门窗老化，馏金彩画退色
8,黑哥出品,3,2019-05-09 11:50:02,去过北京无数次居然没能进入看看😂遗憾
9,流浪睡客,3,2019-05-06 16:31:24,故宫是过去皇上的宫殿，里面是各种殿，景色一般。
10,Aqua阿瓜,3,2019-04-07 13:02:51,北京经典景点。老实说我不想给太高的分数。这个文物本身的历史价值是没得说了。但是整个经典的服务体系感觉非常吃老本，体验不那么舒服了。
11,bxqwolf,3,2019-03-22 11:33:37,来北京.不进故宫算来旅游么？而且现在故宫在单霁翔馆长的带领下.各种文创产品层出不穷.我会告诉你我用的是故宫口红么？
12,豌豆黄山楂糕,3,2019-03-11 13:25:49,年前二十九，人嘛，依然很多，奔着特展，天灯，万寿灯，宫灯和年画去的，随便逛逛慈宁宫的大集。但是一到地方，就感觉，这只能是个打卡的地儿，细看不了，细品不了。人挨着，挤着，排队进特展，进入之后，很难挤到展品跟前，也无心看什么介绍，听着服务人员喊，别停，往前走。年画和宫灯还是可以放慢点脚步，多看看。好希望能在红墙琉璃瓦下慢慢溜达。哈哈哈，估计是痴人说梦吧。
13,小我啊,3,2019-02-25 15:30:17,因为看了很多游记说最好购买自动讲解器，所以我也购买了一个。然后怒而写这条评论：真的没必要花这20块钱！这个东西的识别系统绝对有问题，该讲的时候不讲。等我离开这个点了才开始讲，从午门进来到侧门的过程全程静音。然后等我到了军机处，开始源源不断的讲，没讲完就切断到下一段接着讲。军机处介绍一半开始讲苏东坡，还没离开军机处就切成旁边的门
14,Gemini,3,2019-02-03 14:40:22,对人文历史不感兴趣，进入就是逛逛，到北京必须去的地方
15,丫Y,3,2019-01-12 15:42:06,不错的地方，可以让孩子们去看一看
16,一位很拉风的青年,3,2018-12-23 10:10:16,故宫感觉还可以，强烈推荐大家去看看。
17,花二和她的朋友们,3,2018-12-13 11:45:16,人超级多，真的是非常多，然后感觉游览故宫全程都是很赶的，一点都不愉快
18,梦幻小木马,3,2018-11-14 12:34:56,故宫的门票当天在网上买就能用，不需提前。好不容易逛到了8点半，排队进宫，在门口租赁了一个自助讲解器，20元一人，信号不是太好，断断续续，不建议租赁。如想听介绍，路上有很多带团导游，听他们的比讲解器好太多。高温，也没能阻止大家进宫热情。除了感叹紫禁城宏伟外，更感惜没自备干粮，一路悠闲散步，有零食在手就更完美了。故宫内虽有餐饮店，但价贵且味贱，跟迪士尼不相上下。
