,用户名,评论星级,评论时间,评论内容
0,夏娃陈,5,2019-04-28 06:08:27,4月27日下午两点左右到故宫博物院参观。玩了两个多小时。看了几个大殿。这次是第二次来这里。第一次来是1988年。故宫博物院早8:30开门下午五点闭馆。我们玩的很开心，因为带着我母亲👩。有一点。闭馆前十五分钟，已经洗手间不让用了，边上的门也上锁🔒不让人往回走了。我带着老母亲实在不方便。只能绕道走到东华门出口。有点遗憾了。
1,伊丽莎白,5,2019-05-23 10:20:24,我是一个去过很多次故宫的历史爱好者，发现了一条不挤的路线：上午门城墙→经过东华门→神武门城墙下来。【这条路线推荐给去过故宫的朋友们】。这样一条路线，能够俯瞰故宫，享受居高临下的感觉。一片片黄色琉璃瓦在阳光下闪烁，鳞次栉比的排列。如果是特别好的天气，还可以看见远处的西山，感受一种穿透力。最重要，现在这条路线人还不太多！
2,游伊,5,2020-06-13 14:47:50,帝都必打卡的地点之一☝历史啥的北大老师说的比我好，请自行优酷搜博物派，听完再去故宫游览更有感觉！然后来点干货:1.交通 故宫入口只有南门，不管哪里走都要过安检。如果不看天安门，可以从东华门贴着城墙根走到南门；从天安门进故宫需要过两道安检，天安门一次，故宫一次，而且单行，只能从天安门往北单行进入故宫。2.购票 提前10天可在故宫官网预约购票，每天限额。实名制，需填写身份证号，无需兑换纸质票，刷身份证进入。成人大门票价60，珍宝馆、钟表馆10元，60岁以上老人都是半价，门票便宜到无法想象[撇嘴][撇嘴][撇嘴]3.讲解 在经济允许的情况下，强烈推荐请讲解员，效果比讲解器好很多，还可以互动。我们时间充裕，选择了最长的线，中轴线—慈宁宫—西六宫，2.5个小时，350元（1-5人）加一个人20，一家四口又拼了两个姑娘，六个人370。4.饮食 故宫不提供免费的水，冷水、热水都没有，但是不限制携带，所以不想购高价水的可以多备点。没在故宫里吃饭，吃了个冰淇淋，20一个球，巨大一个，口味也还不错。顺道瞅了瞅咖啡，价格十几到二十几不等，意外的平价[强]5.时间 8:30开放，16点就不让进了。慢悠悠逛的话需要5、6个小时，赶时间的话就走中轴线，一小时完事。🌞防晒！防晒！防晒！中轴线上连草都没，光秃秃的，巨晒，防晒任重道远！[机智]🌸红墙在中和殿东边🌸九龙壁在珍宝馆🌸讲解员小姐姐温馨提示周四下午人最少🍀总结一下，预约订票、多带水、防晒、请讲解[悠闲]
3,黎云宇🍋,5,2019-04-26 20:58:33,今天是来北京的第二天，我们选择了在一环里的青旅叫行者孙，这里是一个小型的四合院改建的3本民宿，内设有吧台，健身器材应有尽有一晚大概在100左右，三楼天台还有帐篷⛺️（住了一样帐篷觉得很闷热，四人房会舒服点）。虽然北京交通路网四通八达，但是因为车多经常会塞车，出行建议可以选择骑车或者走路。1，天安门，3星🌟🌟🌟如果您能早上起来，那么可以去天安门升国旗。人民大会堂，故宫都在那里附近。现在天安门前，你会发现经常会有军人排列走过。英姿飒爽。2，故宫，5星🌟🌟🌟🌟🌟从读书的时候我就特别喜欢历史课，很喜欢听故事看小说，对于故宫我是抱着很大的兴致去的，一进去看到都是人山人海，故宫每年平均都有将近一千万的中外游客，一天只接待6万人，景点没有售票处，都会网上订购的门票，定完后直接凭身份证进入，如果您是自由行的话在大门里会有讲解的话筒，能让你更加深入了解故宫。在故宫里你预计3小时左右的行程吧，只有身在其中才能了解独特的魅力。一定要去的点。3，王府井，2星🌟🌟每一个城市都会有一天专门针对外来游客的小食街，在北京这条街叫做王府井，没有太大的特色，这里吃的别的地都有得吃，油烟大，价格贵味道还差。王府井里有有一家评分很高的网红店，叫护国寺小吃，这里都是一些北京的传统小食。价格相对适中，我们点了当地比较爱吃的爆肚（白灼牛百叶➕花生酱），奶油炸糕（一定要多沾白糖，口感像西多士，这个挺好吃的），炸酱面啊，肉夹馍啊，豆腐丸子汤，北冰洋，凉糕（各种馅料的糯米丸子）个人建议就两个小吃好吃，奶油炸糕，凉糕。
4,倪嘉🎀,5,2019-05-08 11:53:52,紫禁城，比打卡的景点了，最近的故宫也是相当火爆。门票：60 ，需要网上预约，当场买票几乎没戏！微信上搜索故宫门票就可以预定！分上午场和下午场，注意：上午场要12点前进入哦！要不然就作废了~取票地点在燕雀门的东侧！到时候问问工作人员你就找到了~要好好看，就提前做功课，怎么也要大半天，要是着急就走中轴线~~然后去景山，可以看到全景哦！最近新开放了城墙登高！也要上去一下！
5,asdf159jkl,5,2020-04-01 18:09:14,北京故宫是中国明清两代的皇家宫殿，旧称为紫禁城，位于北京中轴线的中心，是中国古代宫廷建筑之精华。北京故宫以三大殿为中心，占地面积72万平方米，建筑面积约15万平方米，有大小宫殿七十多座，房屋九千余间。是世界上现存规模最大、保存最为完整的木质结构古建筑之一。
6,胖胖的蛋壳,4,2019-04-26 18:46:40,了半天的队，过了安检进入故宫，看了故宫之后，才发现故宫的建筑胜过任何其他地方。故宫占地面积共计72万平方米，建筑面积约一共到达15万平方米，气势磅礴恢宏，金壁辉煌，位置按 中国 传统文化在 北京 中轴线的中心位置，可以说是 中国 古代宫廷建筑的精华。
7,霞姐,5,2019-05-06 23:02:42,北京故宫是中国明清两代的皇家宫殿，旧称为紫禁城，位于北京中轴线的中心，是中国古代宫廷建筑之精华。是世界上现存规模最大、保存最为完整的木质结构古建筑之一。北京故宫被誉为世界五大宫之首，并被联合国科教文组织列为“世界文化遗产”。故宫之大难以言表，几次进入故宫均未走完。
8,Wolfden Danbel,5,2020-02-13 17:44:10,现在从午门买票进入故宫，建议可以网上提前一天预约买票，然后带身份证刷卡安检就可以进去。4月1号开始是旺季，之前都是淡季，淡季当天可以买票。主要游览是太和殿，保和殿，坤宁殿，慈宁宫等主线，有兴趣可以去延禧宫看看[微笑][微笑][微笑][微笑]纪念品商店里的钥匙扣和书签还是蛮有意思的[微笑][微笑][微笑]
9,多巴麦子👣,5,2019-04-23 22:45:17,绝大多数第一次来北京的游客，都会把故宫当作必去之处。故宫又称紫禁城，是明、清两代的皇宫，也是古老中国的标志和象征。当你置身于气派规整的高墙深院，能真真切切地感受到它曾经的荣耀。悠久的历史给这里留下了大规模的珍贵建筑和无数文物，也成为今天游玩故宫的主要看点。游览古建筑群故宫是中国乃至世界上保存非常完整、规模非常大的木质结构古建筑群。这些金碧辉煌的建筑群可以分为“外朝”与“内廷”两大部分。以乾清门为界，乾清门以南为外朝，是皇帝处理政务的地方，以北为内廷，住着后宫嫔妃，是皇帝家庭生活之所。走过金銮殿、乾清宫、坤宁宫，在皇帝的御花园里赏弄花花草草，感觉好像穿越到了古装剧里。欣赏大量的珍贵文物故宫内珍藏有大量珍贵文物，据统计有上百万件。以文物的种类不同，分为多个展馆。其中珍宝馆和钟表馆很是引人注目，钟表馆每天11点和14点有钟表演示，可以看到清王朝珍藏的各种造型奇特的珍奇机械钟表，一定令你眼界大开。游玩路线故宫占地面积宽广，共有大大小小的宫殿70多座，游览路线繁多。想要好好地逛一圈，需要安排一天的时间。如果只是走马观花，看一看主要宫殿，两个小时就能逛完。
