,用户名,评论星级,评论时间,评论内容
0,世纪末的魔术师,1,2019-07-18 14:06:00,从网上买的票 误打误撞从一个大门走出来 现在工作人员 和明显提示牌都没有告知一旦出来就不能在进去了 一个保安人员告诉我让我转一圈从正门进 好不容易转了一圈走到正门 又告诉我不能进了！一张票只能进一次？ 我就不明白了 这麽大的景点 就不能在买票是或者游玩出来的时候告诉一下吗？
1,Ginina,2,2019-11-05 15:43:33,除了建筑之外没什么能看的，预约制完全不管用，依然人挤人，故宫餐厅什么的尽量别吃吧，价格高份量少，文创店价格也是令人咂舌，不知好评从哪儿来的，这几年故宫炒得挺火，不得不佩服营销能力还挺棒的～
2,马蜂窝用户,1,2019-11-01 15:29:37,故宫已经去了好多回，每回都会有一些不同的体会。今天因为想去修好的慈宁宫看看，所以又一次来到故宫，买完票直接奔着慈宁宫就去了，先看了花园，觉得还可以，尤其是现在这个季节，鲜花盛开。可到了一处叫冰窖的地方，我感觉就有点变味了，这里原来是皇家储藏冰块的地方，但现在确成了一个饭店，由于卫生方面的问题，我是闻着味找厕所过来发现的。我想知道故宫你差这点钱吗？然后我们继续来到慈宁宫的正殿，终于可以看看孝庄皇太后起居的地方了，结果一到门口，纳尼什么清宫摆设，什么太后的影儿都没有。成了佛像展，我说故宫你走点心行吗，我们来看历史古迹是想缅怀一下历史人物，看看历史人物怎么生活的。不是看你来展览佛像的，这么重要有历史地位的宫殿，你都复原不了，我严重怀疑这么多年的门票钱都那去了。
3,稳稳的幸福,1,2019-04-20 19:31:20,订了票，显示出单了，乐途旅游收了钱却没有买到票，此行最重要的行程泡汤了。
4,sanmei,2,2019-11-12 17:58:29,节假日，又逢隆冬季。这种景点倒贴钱我也不会去，怕挤啊！
5,飞飞,1,2019-02-09 18:42:06,提前十天，提前十天，提前十天。这么重要的事，为什么没人说呢
6,浮木,1,2019-08-27 19:29:45,一个就在新华门边上的景点居然对军人收门票[微笑]
7,热心市民李女士,2,2019-02-06 23:15:13,周日带父母去的下了点小雨但挡不住人们的热情人超级多中间大道全都在维修只能走侧面侧面想看看景仁宫承前宫灯后宫全部关闭一路下来什么都没看见就是从午门挤到了神武门白来一趟
8,迷雾。,2,2019-02-06 10:51:25,没啥意思，看不到你想到的东西，也了解不到你想了解的历史文化。几乎所有宫殿都只能在门外瞅瞅，能进入的殿不多，而且就算是能进去的大殿，里面的家具陈设等早就拆了，看不到以前的宫人们出入生活的样子，没意思，等于看一个空殿和建筑外型，这样的话何必逛完故宫，一个大殿就能代表所有。还有些剧里面出名的地方，比如长春宫漱芳斋什么的，去的时候大门紧闭。。。
9,马蜂窝用户,1,2018-11-06 19:46:28,好尴尬咯哦哦哦哦哦JJ可口可乐了邻居
10,马蜂窝用户,1,2018-11-05 11:14:47,故宫去了多少次了，都没有细致领略故代的建筑的宏伟，算一下，去了5次之多。
11,aptx4869,1,2018-10-21 19:30:22,看多了！就是那么回事！！！！！
12,媛媛媛媛,2,2019-09-03 19:03:25,作为一个本地人第一次不是陪别人去故宫 久仰故宫书画藏品丰厚结果除了一个完全没有听过的现代书法家的展览以外什么也没有了 完全没有名作轮替其他宫里所有珍宝的介绍除了名字朝代什么都没有语音导游也不值得听故宫在科普方面做的真是太烂了纪念品商店倒是一堆真的差评 从来没觉得一个如此有名的博物馆会这么差
13,行万里路,2,2018-09-16 07:30:08,空荡荡的故宫，没有任何说明的展览，实在是无趣，不推荐
14,蚂蜂窝用户,2,2018-07-11 18:45:26,路口了我我透露了了了了了拒绝 扣扣了 他透露吐了他 兔兔
15,tomsen,2,2018-02-25 17:27:29,太乱，太杂，人满为患了，去一次就够了
16,燕子,2,2017-12-26 17:21:35,朱墙金瓦，朱门金钉”，可以说是故宫建筑的最大特色，环境不错，护城河护城墙北京故宫博物院仅有的气派
17,cienedaran,1,2017-09-07 23:06:42,故宫很漂亮，新开的后宫部分很有历史感。不能走回头路，但是旺季的时候规划的很不好，所有的路都是单向，不能够全部转完，也没有事先通知，故宫给推荐的路线根本走不了，只能转四分之一，所以不太开心。希望能规划好路线或者限时进入。
18,缙云小丁,2,2019-09-15 07:32:10,相当的不值得 完全比不上印度的皇宫
19,蚂蜂窝用户92955900,2,2017-06-08 09:43:54,不错很不错，总之很划算，我觉得特别棒
20,杳。,2,2016-05-12 06:23:03,故宫大名鼎鼎 馆藏文物也很多 但是展柜和各个大殿里全都是灰 环境与管理差的不行
21,afra,2,2016-04-21 15:27:58,人多 需要搭配讲解再参观才有意义 如果文化不敢兴趣 其实不建议去
