,用户名,评论星级,评论时间,评论内容
0,jewang2001,3,2020-04-08 19:04:47,厕所味大，西门厕所尤其臊。呛鼻子
1,M.L.W.G,3,2019-08-16 21:43:51,现在所存不多一个完整的皇家园林，北京市的肺，虽然环境并不是特别的好，但是却是北京的一个活化石，见证了整座城市的发展，守护着这个城市这里的人民。
2,Jackee,3,2019-05-06 16:34:40,20多年后重游此地，人期人，长廊彩绘老化了，石舫也不让上了
3,钟毓,3,2019-05-02 15:36:14,整体感觉上就是“大”“大”“大”，是个春游的好去处。
4,本座无忧_,3,2019-04-01 13:17:19,杨柳飘飘，微风徐徐，在颐和园的湖上，你划着船将，我坐在船上，就这样一点一滴。
5,bxqwolf,3,2019-02-25 15:31:16,故宫出来逛颐和园.虽然很晒.但是想想古代皇上都没坐过火车和飞机.咱这心里呀.透心爽啊.......
6,低调,3,2019-02-20 12:38:16,很漂亮的一个园子，原来只有老佛爷才能拥有。
7,熹微,3,2019-02-18 14:47:48,也许是杭州西湖逛久了，并没有太多的感触。不过，颐和园的长廊很美，很震撼！
8,豆花,3,2018-11-30 11:12:53,历史古迹 值得去看 皇家园林就是大气
9,Adom,3,2018-11-21 14:11:43,OP你你你你你你你你你你你你哦hi你你你你你你迷你英雄
10,测不准的艾伦,3,2018-10-25 07:38:44,慈溪的皇家私人园林！大！很大！非常大！
11,上山吼吼,3,2018-10-01 14:51:08,国庆去的，人多的实在受不了，镜头都被人撞坏一个
12,安妮宝宝,3,2018-09-26 13:56:34,去颐和园一定不能请导游 请的导游都是垃圾 100块讲40分钟 走的路线就是诱惑带去买那个什么xx蓝瓷器首饰，然后就带去码头叫坐船 她就走了 影响心情！
13,Flipped,3,2018-08-27 16:19:22,皇家园林，刚开始带小孩爬山有点累推荐坐游船，20一位，风景很好
14,龚小厨,3,2018-08-23 10:42:07,颐和园是皇家园林，与圆明园相比保存更加完整。因此小厨在颐和园和圆明园之间选择了颐和园，不过这一趟下来难免有些失望。这其中的原因很大程度上是因为那天实在太热了，我跟厨娘又是从北门进入，一路爬山，热得玩乐的兴致丧失了不少。建议大家春天或者秋天再去。小厨和厨娘选择了长廊拍了一组照就撤了。
15,稳稳的幸福ing,3,2018-08-02 16:05:03,头天晚上马蜂窝上定了颐和园的电子票一张要35元，结果付钱后被告知不能像八达岭，故宫一样身份证直接入院，需要你联系客服索取二维码，但要第二天8点才能给。果断退票，第二天一早7点到园门口30一张搞定，还好能退票，否则钱多付了事小，耽搁行程事大。园内还是非常值得一游的，请个导游会游得更有意思。另外建议大家去了颐和园就不要去圆明园了，就是个现代的公园，有点年头的也就剩大水法那里的几块石头。那里要另付门票15元。
16,楊小小小颖,3,2018-07-27 16:19:44,从北宫门进去，方便很多。西宫门进去散客不让坐船，硬走十几公里。
17,执剑起长歌,3,2018-06-16 11:01:30,去的那天有雾霾，所以风景感觉大打折扣，导致最终觉得这里作为皇家花园也不过如此的感觉，特别是还在里面摔了一跤，3年了疤都不消，这是有多背啊。。
18,chifass,3,2018-06-12 13:57:47,景點普普一般公園現代化，園區內小景點需另行購票感覺不親民
19,升,3,2018-05-08 09:37:52,还可以 就是一个园林 根圆明园差不多
20,江有渚,3,2018-04-25 13:53:05,因为当天不太舒服，所以没有逛完整体感觉长廊真的很好看
21,领队慕妍,3,2018-03-30 11:47:52,这是我最喜欢的地方，为什么。凉快呀，好多树。还有长廊。。。妈呀，导游福音。。。
22,Style,3,2018-03-27 20:28:43,冬天的颐和园，门票比夏天便宜，游人很少非常安静，湖面结冰树木凋零，显得非常萧瑟缺少生机，虽然有些遗憾失落，但从庄严恢宏的建筑中还是能感受到历史的凝重。
