,用户名,评论星级,评论时间,评论内容
0,胖胖的蛋壳,4,2019-04-08 16:42:43,一早上起来神清气爽，今天要去视察颐和园了。又是坐地铁，转来转去到了颐和园北宫门。颐和园的面积很大，一上午的时间游览不完，只能看看重要景点，如果想深度游，非得一天不可。当然，到 北京 游览，颐和园和故宫、长城是必去的景点。颐和园是皇家园林，以 昆明 湖、万寿山为基址，以 杭州 西湖为蓝本，汲取 江南 园林的设计手法而建成的，不愧是皇家，园林都那么大气。参观故宫时一直有个疑问，故宫一直给人一种阴森压仰的感觉，庄严肃穆倒是足够了，但皇帝天天生活在这样的环境下不很心理变态啊。看到颐和园才恍然 大悟 ，人家有渡假的地方啊！还不止一个！
1,ttt,5,2019-05-10 14:47:49,我以为颐和园最美的时候是春天。每年的3月中，上一年的芦苇还在风中摇曳，迎春，山桃、玉兰，干枝梅等陆陆续续的开了。湖水清澈，细柳抽芽，湖面上水鸟游动，迎接着各方的游人。去颐和园如果早点7点左右到的话可以开车，还能有车位，晚了，建议大家做车吧
2,joyceeeewu,4,2019-05-13 15:04:33,和朋友差不多走完了颐和园~早上十一点半从北宫门入口，租了讲解器（实际上不是很有必要，用手机比较方便）~从四大部洲上去到了众香界，没找到路就下山了，跑去石舫绕了一圈从排云门上去了佛香阁和宝云阁，下山一路走到东门，然后去十七孔桥和岛上，再拐回来暴走了西堤从北如意门出去了。真是相当累人的一天，好在风景很好，湖上的风景真的像西湖。（这么奢侈清朝不完蛋才怪）
3,陈威,5,2019-07-31 23:00:48,颐和园原是清朝帝王的行宫和花园，又称清漪园，以昆明湖、万寿山为基址，按照江南园林的设计手法建造，是我国现存规模非常大，保存非常完整的皇家园林，景色极具优雅，还有很多珍贵的文物，被誉为“皇家园林博物馆”
4,yoanjel,4,2019-03-22 12:48:27,九点多，这里游客已经非常多了。排队买了票，爸妈不用票，我买了一张成人票，真心便宜。检票入场，过桥的时候，发现下面的河都结冰了~在桥上可以看到游客太多了。虽然冷，但是天空真的很蓝。我即使带着口罩，鼻子都已经流鼻涕了，实在是太冷了。来北京旅游本来是一件开心的事情，但是当时我觉得好辛苦~爬过山顶后，沿着台阶土路往下走。山不高，很快就走下来了。昆明湖整个结冰了~天气冷，加上颐和园比较广阔，风大，体感温度真的很低。我们匆匆从东门离开。结果出来东门，被这里聚集的排队进场的人吓到了，游客真的太多了。好在我们来得还算早~后来从公众号才知道，今天北京很多景点都爆满了。
5,幸存者格蕾丝,5,2019-07-23 14:58:52,一进大门，首先映入眼帘的是苏州街。苏州街需单独买票，两岸都是店铺，没什么花头，时间紧张的话完全可以舍弃。有点布达拉宫的气势。颐和园长廊以其精美的建筑、曲折多变和极丰富的彩画而颇负盛名，是我国古建筑和园林中最长的廊。长廊的每根枋梁上都绘有彩画，彩画的内容多为山水、花鸟图以及中国古典四大名中的情节。
6,侃侃,5,2019-03-16 19:26:45,北宫门下车后买票入园，考虑到淡季出游，且攻略上和去过的朋友经验不推荐联票，所以就只买了大门票进去游览。北宫门进去就是一个桥，桥底下是苏州街，我们去的时候正值寒冬，人很少且结冰。匆匆看过后上山。边玩边拍照，山上景色不错，历史轨迹犹存。翻过山后面就是颐和园的大湖了，夕阳西下美不胜收。沿湖跟着人群往左手边一直走。就会来到十七孔桥。
7,诗萌粥,5,2019-04-13 13:26:29,颐和园我们是网上订的　门票加导游讲解，直接到颐和园门口找导游就行，每15分钟一班带团入园，很是方便，也可以简单听一下讲解介绍。颐和园的湖也结冰了，也有冰上游乐项目可以参加，如果时间来不及无法安排去北海公园的朋友，也可以参观颐和园后顺带玩一下冰上活动项目。
8,独自随风,5,2019-10-06 06:34:22,我到颐和园的时候不到上午十点（周日），游客还不是特别多。车子停在东门外近一公里远的停车场，真贵！（我两个小时交了26元）。到了颐和园我才看见地铁站，早知道坐地铁了！颐和园的首道大门票淡季价格是20元；淡季联票是50元，包含里面“德和园”“佛香阁”“ 文昌 院”等等分景点。在我有限的记忆里，去颐和园玩，大多有这么几个地方算是必打卡必看的地点吧：我进了东宫门，过了仁寿殿，过了德和园，站在原地回想了一下： 昆明 湖、佛香阁、石舫、 苏州 街、铜牛、玉带桥、十七孔桥等等吧。于是我就沿着湖边往北边走，赶上什么就拍几张。这个小院子里，曾经春天的时候盛开玉兰花。 慈溪 老佛爷的小名叫做玉兰，所以曾经只有颐和园的这里才能看到玉兰花。当然这个季节里，只有光秃秃的树杈子了。佛香阁我以前进去过几次，也登高远眺过。印象里记得当年看到佛香阁上很多小佛像被红卫兵“破四旧”时砸的乱七八糟的，心里还挺可惜呢。而大门前的牌楼处，我也曾蹲在下面给外地亲戚拍照留念过。当时还苦于不会“裂像对焦”呢（那会儿没有自动对焦）。相对来讲，我在石舫这里拍摄的照片多了一些。因为这里有云层有倒影有鸳鸯，我就多拍了几张，有点类似啊：我记得石舫就靠近颐和园的北头了，再往后应该就是后建的“ 苏州 街”吧？走到这里我有点累了，于是原路折返往回走，看看 昆明 湖以及湖上的游乐市民。记得 昆明 湖有过几次大型的清淤工程，好像从湖底捞出不少宝贝吧？昆明 湖是禁止游泳的。不过每年冬天，这里都会建成冰场供市民百姓冬季娱乐。不过具体门票多少钱我没问。
9,颤抖的小手,4,2019-03-07 15:50:35,颐和园就是一个字，大。我们去的时候昆明湖是结冰了，基本树上叶子也掉光了，少了几分绿色和生气。湖的外围有个风雨长廊，上面的壁画蛮有特色的，每一幅都各不相同，有点西洋特色的。另外，建议早上去，下午去真的很多人，可能都是抱着去拍夕阳余晖的态度吧。建议留足两个半小时来玩吧，我们当天买了联票都没逛完，一个半小时多点就出去了，主要是走路比较累人，而且什么院的有点分散，都比较难找。登上佛香阁顶部，俯瞰整个颐和园真的很舒服。据说颐和园是故宫的四倍大，我一开始是不信的，在我的心目中故宫已经足够大了，不可能还有比它大这么多的，结果去到我真的佛了。
