,用户名,评论星级,评论时间,评论内容
0,猫行于世,3,2018-11-29 17:56:25,很小的一个村子，两眼便能看完～跟着导游进书院和祠堂还能感觉到人文古韵～冬季人不多，很多村民应该都不在这里住，在的基本家家都是客栈店铺，修的都有自己特色，也有很多文艺青旅～客栈管饭也可以去村里村外饭店吃，徽菜吃来吃去特色的就是这些，每家都差不多，价格味道也差不多～～不住的话一天足足够了，住的话一晚大概100-300吧～门票104，网上订94，三天有效期内可凭票和身份证随意进入～
1,rainy竹,3,2018-12-15 00:59:37,因为著名，所以游客特别多。从混乱的停车场，到开满饭店的油腻月沼湖，一切体验都不怎么好。此行徽州古村落游，宏村排在倒数第一。屏山，西递，秀里，碧山，都比宏村的体验要好。
2,牛牛,3,2019-08-26 10:35:44,"宏村位于安徽省徽州六县之一的黟县东北部，整个村依山伴水而建，村后以青山为屏障，地势高爽，可挡北面来风，既无山洪暴发冲击之危机，又有仰视山色泉声之乐。八九百年前的建村者便有先建水系后依水系而建村的前瞻，所以使它有了水一样的灵性，这也正是它比其他徽派建筑的村落更具魅力的原因。安徽省黄山市黟县的宏村被誉为""画中的村庄""。"
3,花心绽放,3,2019-06-09 17:46:50,"这个地方,可能也就拍拍照吧,因为我真的不是很喜欢.]"
4,长夏,3,2019-04-08 07:44:21,整体低于期望，过年的时候去的，游客那叫一个多，村子里民宿密密麻麻的多，很多小巷子都被搭了房子，感觉非常不舒服😭，就门口的景拍照比较美，不会想重游，整体觉得没有西递好。
5,江南,3,2019-07-05 14:09:52,跟乌镇比，差太远，景区的管理就那样吧，月沼湖简直需要掩鼻而过。不推荐，去乌镇、同里、就好啦
6,二哈喵,3,2019-05-23 00:45:28,怎么说呢，拍照的地方，不是观光的地方
7,小惠子,3,2019-05-15 10:10:53,一片比较有特色的徽氏建筑，房子看起来有点历史底蕴，里面配套公厕比较少，风景还是不错的
8,筱寶,3,2019-04-11 08:32:00,知名度很高的一个景点，属于不去后悔，去了也后悔的地方，乌泱泱全是人和小红旗。
9,yorororo.,3,2019-04-08 14:46:09,可以去看一下，宏村里面挺多吃的，观赏性不强，
10,C.N,3,2019-03-30 18:34:26,宏村很江南，我去的时候是4月份，刚好雨绵绵，真的有天青色等烟雨的意境。
11,葡萄,3,2019-03-03 17:25:18,说实话 天下古镇一个样。。。。
12,生如晨花,3,2019-01-24 08:59:32,建议挑一个时候好的时候再去吧(*￣m￣)真的不适合。水不是绿的～～黄色的水～～😞综合各种小贵。。毛豆腐和臭鳜鱼值得吃过。。记得讲价。。可以住在景区。。淡季记得讲价。
