,用户名,评论星级,评论时间,评论内容
0,梓元,5,2019-03-30 18:44:25,"在皖南众多风格独特的徽派民居村落中，宏村是最具代表性的。[1] 从整个宏村景色外观上说，宏村是古黟桃花源里一座奇特的牛形古村落，既有山林野趣，又有水乡风貌，素有""中国画里的乡村""之美誉。村中各户皆有水道相连，汩汩清泉从各户潺潺流过，层楼叠院与湖光山色交辉相映，处处是景，步步入画。闲庭兴步其间，悠然之情浓烈得让人心醉。全村现完好保存明清民居140余幢，著名景点还有：南湖春晓，书院诵读，月沼风荷，牛肠水圳，双溪映碧，亭前古树，雷岗夕照等。树人堂、桃源居、敬修堂、德义堂、碧园等一大批独具匠心、精雕细作的明清古民居至今保存完美。"
1,小李不苦,5,2019-03-17 21:13:26, 宏村是具有灵气的，街巷之间太过于曲折狭窄，古宅子里里外外都明显的显露出了颓败斑驳的旧意，脚步越慢，就越可以闻到木梁与白墙之间所透出的腐朽之气，顿时有种我还在一百年前的真切实感。我虽然不喜欢且厌倦了满地跑的游客们，特别是那熙熙攘攘的人群，匆匆走过便前往下个景点，还有那高音低嗓断断续续次第而来的导游解说词，但是索性是淡季来的宏村，人流不算太多。我喜欢在灰白的马头墙间穿梭，在狭隘到勉强只允许两人通过的小巷子里腾挪，偶尔会踩上几块活动的石块板子，溅得满脚都是水，偶尔脚下一滑、手一挥、踉跄了一下后马上站好，为自己没摔倒而感到庆幸，有时走进一间老屋，摸摸那几百年间的石板木雕，看着雨水打在屋檐上，落在柱壁上，在青石板上聚了起来，整齐划一地向着中央而去。聚水成池，聚财也如聚水，也需要一点一滴地积累。炊烟袅袅、依山傍水、村童嬉戏、农妇浣纱，老人们话家常、农民三两交谈着回了家，到处都洋溢着生活的惬意。    天快黑了，民居里传来了锅铲声，还有那放学了的孩童的打闹声，在月沼边的石栏坐了许久，等到卖小饰品的阿姨都走了，等到抽烟的阿伯都不见了，等到经过聊天的阿婆们全都散了，等到湖边浣衣或洗菜的农妇也都回家了，等到那高低错落的墙头被红灯笼染成了红色，而后彻底的藏进了深密的夜色里。    夜静，村庄也静了。 所以呀，在宏村多待几天，清早起来，等风吹过，等远山如黛，等近水含烟，等雾气里层层叠叠的一抹青绿，等脚边不停的潺潺流水，等守着日出的画家出现在村落里，等宏村的又一夕阳落在画板上，落在眼里，掉在心里，就此记住这座梦一般的庄子吧。
2,雨昊,5,2019-03-07 19:40:00,"宏村位于安徽省徽州六县之一的黟县东北部，村落面积19.11公顷，整个村依山伴水而建，村后以青山为屏障，地势高爽，可挡北面来风，既无山洪暴发冲击之危机，又有仰视山色泉声之乐。八九百年前的建村者便有先建水系后依水系而建村的前瞻，所以使它有了水一样的灵性，被誉为""画中的村庄""，这也正是它比其他徽派建筑的村落更具魅力的原因。"
3,Autumn1010,5,2019-02-17 17:09:43,西递宏村 一直都是连着听这两个独立名次 以为是西递是地名 宏村是其地的一个村子 其实西递宏村是两个独立的村子 作为徽派建筑的代表联合申报了世界文化遗产 因为时间有限 我们只选择了宏村一个地方 宏村的门票可以在携程上预定 但要在门口需要换取纸质门票 门票上会有你的姓名和身份证号 因为宏村的门票是三天内有效的 所以进出宏村都要提供门票和身份证
4,马蜂窝用户,5,2019-02-10 21:34:12,所有古村古镇中最完美的，特别是南湖和月沼湖真是风景如画。门票是现买的，104元一张，小贵。古村，古巷，古宅，值得一看。一般3-4个小时玩得差不多了，建议下午4点左右进去，先兜一圈，在里面吃晚饭，这样天黑下来了正好可以再看一下夜景。
5,平常心,5,2019-02-02 21:48:30,"一进景区大门就谋杀了我很多快门！远山、南湖、云雾、徽居。。。这么几个元素组合在一起，就是一个字——美！简直就是一副水墨山水画卷！秋日的宏村 ，倒影桃红、金黄花海已被红叶似火、白黑之接所取代。宏村两日，时而阴天、时而小雨，难得见日出美景；一天晨雾飘渺，湖畔书屋如仙山楼阁。木雕每一个人物都栩栩如生， 惟妙惟肖。 似乎连每一个表情里还流淌着当初手工艺人手心里的余温。它是最初的手艺，也是一种文化的传承,，有着时光打磨的痕迹，是岁月留下的信物。时代发展的今天，是否也曾经怀念过当初的那个手工年代，那段用手艺去雕刻时光的深情！宏村之美，在于两湖：南湖和月沼。月沼被老屋环抱，无论水清似镜还是清波徐来，每个角度，都有灰瓦白墙的倒影，相映成趣。南湖较为广阔，北侧有南湖书院，湖中跨湖石桥，沿湖半片荷塘，残荷远山倒影，构成完美图画，无怪无数美院学生终日临湖写生。"
6,一只蚊子,5,2019-04-26 09:27:13,下车后按照指示标去售票门口换门票，在网上订的票94块钱，现场买是104。在这里慢慢的走了两个小时，肚子很饿，在一家小店买了一个糯米结吃，感觉还挺好吃的，10块钱，整个宏村给我的感觉其实比在网上看到的差别有点大，这里还挺商业化的了，跟那些古镇有点相似，就是最有意思的是你可以在这里跟着免费的导游听她讲解，这个还挺好的，说得很好玩。
7,雨中之苇,5,2019-05-02 11:24:10,山绕清溪水绕城，白云碧嶂画难成。处处楼台藏野色，家家灯火读书声。 无梦不徽州，一村一世界。说起徽派古民居，宏村定是最具代表性的村子之一了。 传说南宋绍兴元年，宏村始祖汪彦济因遭火灾之患，举家从黟县奇墅村沿溪河而上，在雷岗山一带建十三间房为宅，是为宏村之始。 汪氏因火灾而迁居，建立新村，消防是重中之重。在人民群众的集体智慧下，便有了一项大工程——“牛形水系”。这水圳既是“牛肠”，总长1200多米，九曲十弯，穿堂过屋，滋润了整个山村，更让它灵动了起来。 既是古民居群，自然少不了看徽派宅子。乐叙堂、敬德堂、敬修堂、承志堂、树人堂……这些叫“堂”的宅子基本都值得一看。门楼的砖雕都非常精美，文化底蕴深厚。不过其中有些已经改成民宿了，有些做点小生意。
8,子渊鸽,5,2019-05-02 13:16:57,夜晚的宏村格外的宁静，宏村在夜色中渐渐的寂静，没有灯火通明，没有喧嚣嘈杂，冬日夜晚的宏村给了我一种不同于凤凰夜晚的安详，一种你不忍打扰的安详。漫步在古村内，游览在这些百年老宅内，精湛的木雕横梁，美轮美奂的天顶，精妙的工艺品，以及出神入化的字画，无一不让我佩服古人们的鬼斧神工。溜达在古村中随处可见，安徽特有的毛豆腐，而且处处都挂着舌尖上的中国拍摄地，都说自家的毛豆腐是舌尖上的中国播出的毛豆腐。不知是因为江西人的原因，还是我们两的口味，我俩一致认为这个毛豆腐的口味emmmm。至少我俩不能接受！宏村说大不大，说小也不小。毕竟走下来还是需要几个小时的，哈哈哈哈。走在里面可能转着转着就回到了原本去过的地方。宏村中大大小小那么多客栈没有一个重样的，每一个客栈都有着每一个客栈的风味。
9,两两,5,2019-01-24 22:33:10,宏村池塘周遭的树片叶不留，只余下枯枝肆意的向天空伸展着，好在远有薄薄的云雾围绕的青黛色群山的山顶，比之前经历的“白版天“要好看不少。小桥对面的建筑，灰白的墙，屋檐下的红灯笼，把倒影在水面上，一副徽州山水画的景象。
