,用户名,评论星级,评论时间,评论内容
0,自由之子,3,2019-05-04 20:12:36,号称四大古城之一，以前的徽州府所在地。不过如今看起来非常现代化了（卖商品的店铺很多），里面的许国石坊（八脚牌楼）还算有韵味。
1,小李不苦,3,2019-03-17 21:13:26,   古城蛮大的，不是很推荐，因为没啥亮点，且古城已经非常现代化，大街小巷基本都是服装店、奶茶店等等，所以是否前往看个人。
2,ekship,3,2019-03-17 11:39:19,门票100元。府衙比较完整，可以进去看看，另外还有陶行知纪念馆也比较好，其它街道都是商店，吃饭的地方不多。名气挺大，但不值100元。
3,漫漫,3,2019-05-04 07:20:41,去了几个古城，感觉是最差的一个，夜景，周边配套
4,似水流年,3,2019-02-13 21:30:50,这个根本没啥特色，如果收门票绝对不值！
5,蚂蜂窝用户93009937,3,2019-01-28 17:01:39,除了许国石坊，斗山街值得一看，其他包括府衙，城墙等都是新修的，主街乱糟糟，真对不起中国四大古城的名号，而且还强制买门票才能进城，另三大古城平遥，阆中，丽江参观景点才买票，进城是不用买票的，而且风景以及文化特色都比另三个差太多太多，逛了周边古村落的完全就不必要来这个徽州古城了！
6,yeyeye2000🍀,3,2018-11-22 23:38:26,景色一般，休闲可以去看看，景点一般。
7,月亮,3,2019-01-30 22:33:28,本不在计划行程中路过而已 但还是停车进城看了看 城里就是一个自由市场 有看城门的 看着你像外地人就要买票100元 其实除了城门可以进到处的路口都可以进
8,牛霞客,3,2019-02-09 19:55:44,徽州古城能列入四大古城，并非浪得虚名。许国八角石坊全国唯一，石雕精美，大气磅礴，让人见了眼前一亮。当然，如果你不去斗山街探幽访巷，你肯定会留下对古城不好的印象。也不知道啥原因，许国牌坊周围人潮涌动，而斗山街却人迹稀少，曲径通幽，宁静而悠远。当我走进斗山街，在粉墙黛瓦，高高马头墙，斑驳陆离的古巷游走时，仿佛穿越了时空，来到明清时代的古微州，那种感觉真的很美好。当然，前提也是在你从其它巷道进入古城，而没有购买100元的高价门票的情况下，心情才会如此。
9,zqq,3,2018-10-20 11:03:39,值得品味的一座古城，不光古城本身，古城周边环境也大美，相当让人留恋的地方
10,蹦蹦跳跳小兔仔,3,2018-10-16 17:23:57,景区内古民居群交织在一起，颇具古朴的风采，像一座气势磅礴的历史博物馆。实景还蛮失望的，感觉就是一条仿古的步行街，两侧全是商铺，没什么文化氛围。
11,SunflowerPRC,3,2018-10-15 20:43:22,头一次去南方城市，感觉很有新鲜。遗憾没吃到臭豆腐，有机会还去。
12,emmytanny,3,2018-07-10 14:30:35,建筑恢弘，景区干净，景点清楚，厅台楼阁别有情趣，雕廊画柱入木三分，既有府治的威严，也有生活的雅致，更有文化的缩影。
13,子秋༴ན,3,2018-06-22 04:38:23,中国四大古城:丽江最浪漫适合年轻人；平遥最具古香古色需要慢慢品；阆中最纯朴除了张飞牛肉就是醋；徽州最一般里面就跟逛一普普通通的步行街一样，没一点特色，看徽派建筑吗？江南一带到处是徽派建筑！但是最一般的四大古城之一确是唯一要入城门票的！！别的古城随便出入只有独立景点收费。幸好我是晚上到卖票的已经下班了！
14,Nsl·倪先生,3,2018-05-14 14:23:05,坑爹的排档！一个螺丝70元，还有一个螺丝烧鸡，在家八个蔬菜，一瓶啤酒，要了430元！
15,后面的两只,3,2018-05-02 14:47:30,这个字念she，我刚开始也不认识这个字，希望能帮到和我一样第一次见这个字的小伙伴。中国四大古城之一就位于歙县，但我感觉现在看到的徽州古城，名不符实，不像丽江古城，平遥古城等有意思
16,Jesse在路上,3,2018-04-23 00:52:42,虽然没有门票，但是确实很一般。
17,虫虫,3,2018-04-07 21:37:48,说是古城不如说是个商业街，过了牌坊就是购物区了，向南走还有几个古宅子有点意思
18,双木,3,2018-03-30 17:20:18,居民区和商业街的结合，没有买联票，从小北街进去的，里面有几个需要门票的景点没有去看，听说看头也不大，这边游玩半天就差不多了，春节来刚好有表演，表演反而更好看。其他的就看下徽派建筑，算一般吧。
19,兔小哥de,3,2018-03-19 17:34:08,除了城墙看起来是古城之外，基本没什么古的。
20,Bug Piggy,3,2018-02-24 15:05:00,如今的徽州古城更像一个景区和本地人生活休闲区域的混合体，除了古城里的斗山街一段以及中和街局部还保有着古街古意，其他区域已然变成典型的商业步行街：小商品贸易、百货杂铺、柴米油盐、休闲娱乐，应有尽有。走在斗山街里仿佛进入了另一时空，步行街的嘈杂混乱在这里消失殆尽，安静得毫无生气，墙上的文字让过去的一切在这里历历在目，不受时空打扰。回到主街上瞬间有变成这般市井小城的模样，斜斜得坡路一直蔓延到远处，两边或新建或半古半新的房子预示着即将到来的改变，古城注定有新貌。
21,-指尖笑°,3,2018-02-22 17:28:42,商业化太严重了，景点门票太坑了
22,红旗下的蛋,3,2018-02-11 20:55:43,这个地方还买票。从停车场进去，要买票。从正门大摇大摆的进去，不需要票。不建议大家去，如果需要买票。
23,雲,3,2018-01-08 18:18:47,首先，说一下这里的服务情况，买门票的时候会问你要导游吗并说是免费导游。导游带讲解中会推荐出去座摇撸船到渔梁古镇，40一位，船要两人以上才能发。于是会建议你买两张票不用等，但是买船票的说一个人包船买两张票还得再加20。实际船的路程问感觉大概也就500两米。本人不对此事做任何评价，读者可自己判断。再说一下古城情况，问我个人感觉古城分两个区域，一个是游览区一个是后面居民区，实际游览区并不算大，而且建筑都是现代翻新的，一楼全是商店，看着非常不舒服，徽州古城是一个彻彻底底的商业化景点。连接的居民区有很多小巷通到外面，古城大门门票100元。本人也不对徽州古城做任何评价，读者可自己判断。
24,我想远飞,3,2017-12-31 15:12:24,徽州的发源地，感觉今日的商业气息优胜历朝历代😁，从后面的街市进入的，没买门票，有几个景点值得一游。
25,至乐,3,2017-11-28 15:20:34,下午5点到达，没有看到卖门票的。古城有点不伦不类，大量的新建仿古建筑中夹杂着不多的显得破旧的老房子，许国牌坊比较有名气。里面的商户跟一般县城的商业街没有区别，不要门票的话随便逛逛也还不错
26,请叫我大叔,3,2017-11-24 13:23:39,讲真，真的没有什么意思，一百块的门票进去不到30分钟就出来了，黄山老街不要门票，感觉是一样的，当然只是我个人观点哈！
27,自由的旅行者灬,3,2017-11-17 22:26:41,很一般的，算不上古城，人很多，街道建设不怎么样
28,走走看看,3,2017-10-21 01:50:26,正门进去要门票，我们从当地的明宅穿进去的。有几个人文景点，但总体来说一般，人不多，商家太多！
29,swjtu143007,3,2017-10-10 15:56:56,其实也没有网上说的那么不堪。古城确实不大，半小时就够了。主要是斗山街杨家大院的墙很高，适合拍照。不用买门票，除了正门，从高德地图上看到能进去古城的街道都没人拦，我住在古城边上的木言青旅，走到牌坊也就十分钟。从古城出来过了桥在歙县饭店有车到高铁站，但车次很少，车票两元，我坐的早上八点那班不堵车十五分钟。从歙县火车站到古城晚上没公交，只能打车十分钟，五六块。
30,超高校级的收怒,3,2017-09-22 12:08:46,这个真的非常非常一般，虽然有导游免费讲解，但还是很无聊，这里俨然已经变成俗里俗气的商业街了。
31,追梦人,3,2017-09-18 11:28:17,歙县古城为国家历史文化名城，是徽州文化及国粹京剧的发源地，是文房四宝之徽墨、歙砚的主要产地
32,晓得,3,2017-09-17 08:25:48,真心一般般，而且还要那么贵的门票，相当不值，幸好没花钱玩了一圈
33,咖可,3,2016-02-02 21:20:14,历史的痕迹，历史都是经典，赞\(≧▽≦)/\(≧▽≦)/
34,fluorite,3,2016-01-11 15:19:02,徽派建筑，但是去过了也没有特别深刻的印象……
35,§叼着奶瓶逛青楼￡,3,2016-01-06 14:40:31,让我大失所望，白白跑了一趟的感觉
36,慕容三省,3,2015-12-21 11:46:06,古徽州中心，好一片粉墙黛瓦啊！
37,云卷云舒,3,2015-12-04 13:42:29,歙县古城总体来说还可以，古城规模结构都还不错，建筑保存也比较完整。就是分布比较杂乱，古今混居，特色不鲜明。也没有什么吸引人的旅游商品。去走一走古城墙、看一看古县衙还是不错的！
38,mangmang爸爸,3,2015-11-24 07:00:38,古城充满商业氛围，但韵味还不错。
39,身随心动,3,2015-11-21 09:55:56,也叫徽州古城，因位于歙县被称为歙县古城，它是我国保护较好的四大古城之一，保留有部分城墙和几个城楼。古城中的许国石坊是最有名的古建筑之一。其它还有曹氏家宅，徽州人家等老建筑。但这些老宅比徽州古村落中的许多老宅都差，没有什么好看的。古城现在非常商业化，商店林立，而且许多商店的建筑风格被改变，很现代，失去了古城的韵味，与古城的风貌很不协调。中国的四大古城都去过了，歙县古城是“古”味道最差的一个。
40,云野悠游Diverfly,3,2015-11-17 13:55:24,街道两旁有很多卖歙砚的店铺，歙砚和广东肇庆的端砚齐名
41,Denise_6000,3,2015-11-13 18:45:20,古城商业化太严重，并没有感受到多少古城的氛围，只有仿古建筑里的商业街，比较失望
42,赵小哒,3,2015-11-12 23:20:51,很有古城的风味，很多好吃的，味道好又不贵，很满意
43,庄十八公子,3,2015-10-09 10:31:48,逛了古城，白天要门票的，晚上不需要，感觉是夫子庙，有很多商铺
