,用户名,评论星级,评论时间,评论内容
0,夏威夷也有冬天,4,2019-04-11 18:40:53,徽州古城以前一直是徽州府治所在地，与云南丽江、山西平遥、四川阆中并称为中国保存最完好的四大古城。徽州古城的标志性建筑是许国石坊，又名大学士坊，俗称“八脚牌楼”。坊主许国，因云南平逆“决策有功”，晋少保，封武英殿大学士。牌坊立于明万历十二年十月，历经五百年风雨岿然屹立。这座牌坊建筑很有特点，不是通常的四柱，而是八柱，形成四面围合，全国仅此一例。徽州古城进城是不要门票的，如参观城内的一些展厅，需要买票，通票90元。说是保存最完整的几个古城，但是真没有感到半点的古城气息，完全就是翻新的一个商业街，感觉如果要是花90块钱进这里估计要哭死。
1,雨昊,5,2019-04-14 13:54:10,"徽州古城，又名歙县古城，古称新安郡，中国四大古城之一。位于安徽黄山市歙县徽城镇，总占地面积24.7平方公里。古城始建于秦朝，自唐代以来，一直是徽郡、州、府治所在地，故县治与府治同在一座城内，形成了城套城的独特风格。徽州古城是中国三大地方学派之一的""徽学""发祥地，被誉为""东南邹鲁、礼仪之邦""。"
2,Sir小虎牙,5,2019-05-08 22:13:26,古城很安静，仿佛昔日荣光都隐没在历史长河中。古城之内颇有生活气息的，这里商铺众多，不是因为这里是旅游区，很多当地人也喜欢来这里一边逛一边吃小吃。所以汇集了很多物美价廉、味道好的特色小吃。比如毛豆腐，豆腐由于发酵的作用，上面长了厚厚的一层毛，用油炸一下却香气四溢。还有河里的小螃蟹，油炸之后香脆可口，连骨头一起嚼碎，有小时候的味道。年轻人在小巷中玩滑板，小猫小狗在家门口发呆，古城的生活安逸又惬意。
3,bamboo,5,2019-03-07 15:33:53,作为当地人，首先说明，本人完全不懂本地历史，就是从自己二十多年的经验出发随便说说，供大家参考。徽州古城也就是我们说的歙县县城，其实就是我们当地人日常生活工作的地方，所以景点比较分散，也缺乏集中化管理，但却是能让游客深入感受当地居民日常的生活。首先讲一下景点：门票肯定是随便走走不要从正门进去都可以不要买票的，整个徽园完全都是新建的，算我们这比较集中的商业区，白天的时候比较热闹，但其实除了一些小吃也没什么内容，可以随便逛逛，估计十几分钟就可以走一圈了，徽园边上的小北街是老城区比较繁华的小商业集中地，快餐小吃比较多，价格不贵不便宜吧；中和街，就是正街了，从头走到尾估计也就是20-30分钟的事，从城门起，到歙县中学完，歙县中学大门也是个牌坊，三元坊，感兴趣的可以看看，歙县中学后面是问政山，山脚下有紫阳书院，山上特产问政笋，我们这最贵的笋品种，翻山越岭可以直接走去鱼梁坝，估计1-2个小时吧，我本人非常喜欢的路线，有时间的朋友可以自己走走；府衙是新建的，府衙对门的南谯楼，古城门，城墙都是旧物；斗山街，青石板的路很窄，两边都是人家，很有戴望舒雨巷的感觉，配合下雨使用感更佳；鱼梁坝，我从小到大都蛮喜欢的地方，岸上有很多古民居，从游客中心走路过去也就20分钟吧，石板路，路上景色很好，有时间建议自己走过去。景点先说这些吧，说说吃的：小吃：从歙县中学门口城东路走到鱼梁的路上，街边的馄饨店都很不错；小北街的韩式烧饼；仁和楼对面广场的大排档的炒菜；桃源食品的糕点；很多人打卡的老虎灶的早点，味道不错，但价格有点贵，我住这附近，看着价格上涨我内心也很崩溃啊，这家盛在种类繁多，我喜欢粉丝粿和羊角粿，人气最高的是豆黄粿。在歙县点菜，除了大一点的饭店，小饭馆无论哪里人都是没有菜单的，而且菜也是看着冰柜里有的菜有啥点啥，味道都还行吧，我也没吃过特别不好吃的，不仅如此，歙县的出租也是不打表的，说地方报价，一直如此，但老实说，县城不大，不管到哪，我都觉得没有打车的必要。披云山庄/歙县饭店/宰相故里是我们这里人宴请最喜欢的去的地方，人多划算（5人以上吧），人少不建议单独去。希望大家玩的愉快
4,你敢不敢跟我走,5,2019-01-14 13:01:49,古城有的时候是不收门票的，如果穿戴不像游客直接从正门进去，实在不行就绕小路进去，条条大路通古城，里面保存的还算完好，有古镇气息，是我比较喜欢的古镇。有些小景点还可以进入，登记身份证和电话就可以了。绕2个小时差不多了。
5,有李行遍天下,5,2019-01-12 19:15:11,"徽州古城是中国三大地方学派之一的""徽学""发祥地，被誉为""东南邹鲁、礼仪之邦""，这里是中国四大古城之一，国家历史文化名城。徽州古城分内城、外廓，有东西南北4个门。此外还保留着瓮城、城门、古街、古巷等。2017年8月旅行至此，置身其中，感受徽州文化魅力。Tips：不要从正大门进，外地的游客都要收门票，并且100元。从侧面一个农贸市场进去，不收钱，如果实在找不到，问问当地人。"
6,gxp823,5,2019-03-24 01:16:20,古城对面的街道里面有停车场，看车的老乡特别热情，告诉我们不用买票，你就大胆的往里走，别让人看出来是游客就行，结果我们确实大胆的往里走了，我被门口两名彪悍的汉子拦住:你门票呢？于是我乖乖的去买了门票100块钱一张，可以游览古城内的七八个景点。记得主动买门票哦，微信支付宝现金刷卡都可以支付哦亲。一路跟着旅游团把城中的几个景点看了一遍，古城不大，天气非常热，走的汗流浃背，最后走到了斗山路。出了斗山路，回到外面的主街道，好像神奇的穿越了时空，幽静与喧嚣有着强烈的对比，令人有一丝恍惚。古城一共游览了2个多小时。
7,蓝天,5,2019-04-29 11:53:16,走进【 徽州 古城】，一座保存完好的古城完美呈现在眼前。徽州 古城，又名 歙县 古城，古称 新安郡 。位于 安徽 黄山 市 歙县 徽城镇，总占地面积24.7平方公里。古城始建于秦朝，自唐代以来，一直是徽郡、州、府治所在地，故县治与府治同在一座城内，形成了城套城的独特风格。 徽州 古城是 中国 三大地方学派之一的【徽学】发祥地，被誉为【东南邹鲁、礼仪之邦】。【 徽州 学】简称【徽学】，狭义的徽学是指朱子理学。现在所称的徽学是广义上的徽学，是以 徽州 文化为研究对象的一门学科。它是指以 徽州 (今地级 黄山 市、 绩溪 县及 江西 婺源 县)社会、经济、文化、思想、艺术、科技、工艺等为研究对象的、具有 徽州 特色的一种理念和学说的总和。徽学作为【学】，它是一种能正确地、合理地呈现客观社会历史文化和现实文化的系统知识的学问、学理和学说。徽学业已成为国内地域文化的三大显学( 敦煌 学、藏学、徽学)之一。东汉、西晋、唐末、北宋时，有四次北方强宗大族的南迁，带来了先进的生产技术和中原文化，而 徽州 文化则是对中原文化的最杰出的包容整合。它的全面崛起始于北宋后期，至明清时期达到鼎盛。 徽州 文化内涵丰富，在各个层面、各个领域都形成了独特的流派和风格。如 新安 理学、徽派朴学、 新安 医学、 新安 画派、徽派版画、徽派篆刻、徽剧、徽商、徽派建筑、 徽州 四雕、徽菜、 徽州 茶道、 徽州 方言等。 徽州 所出的学者和杰出人物诸如理学、经学，代表人物有朱熹 (朱熹自称： 新安 朱熹 ) 、 江永 、戴震、俞正燮，医学有 新安 医派;建筑学有徽派建筑和四雕 (木、石、砖、竹 )艺术。经济有徽商和理财专家王茂荫 (马克思在《资本论》中提到的惟一的 中国 人 );国画有 新安 画派、 黄山 画派，成为大家者有渐江、石涛、黄宾虹等一大批人物，文房四宝，突出者为徽墨、歙砚，纸、笔亦有悠久历史。中国 国内外学者对 徽州 问题的研究，始于本世纪30年代。80年代后，以研究 徽州 历史文化为主要内容的【徽学】(或 徽州 学)概念广为传播， 中国 国内及美、日、朝、 新加坡 等国都相继成立了专门的研究组织或机构。90年代后， 徽州 文化研究进入了新的阶段，【徽学】被誉为与 敦煌 学、藏学比肩而立的 中国 三大地方学之一。
8,大大泡泡糖,5,2018-12-25 09:16:24,徽州古城，又名歙县古城，古称新安郡。古城始建于秦朝，自唐代以来，一直是徽郡、州、府治所在地，故县治与府治同在一座城内，形成了城套城的独特风格。徽州古城是中国三大地方学派之一的徽学发祥地，被誉为东南邹鲁、礼仪之邦。
9,自由人的足迹,4,2018-11-16 10:45:23,徽州 古城景点主要是许国八角石坊，有500年历史了；府衙是新修复的，府衙对面的谯楼是重建的。小北街是老城区比较繁华商业集中地；中和街是一条主街，许国石坊在这条街上；斗山街，青石板路老街一条。古城的夜景古风浓重。
