,用户名,评论星级,评论时间,评论内容
0,夏威夷也有冬天,5,2019-04-11 20:11:43,我们知道黄山景区的区划是按照“海”来划分的，五大云区分别为：东海、南海、西海、北海和天海这五个海，这其中最神秘也是规模最大的就要属“西海”了。相较于早早就对游人开放的“前山”和“后山”景区，西海大峡谷则是黄山精华景点，又称“白云谷”，耗时10年修建，2005年4月才正式对游客开放。它是黄山最美最著名的大峡谷，被游客称作“梦幻景区”。全长约15公里，走下来约5小时。因峡谷内没有住处，故而很多“黄山一日游”的登山客听后只得败兴而归，旅行团几乎不会涉足于此，所以这里游客很少。每年冬季，出于安全的考虑，西海大峡谷都会在12月1日-3月底关闭，今年提前结束冬季封闭，3月16日对外开放。与天都峰、莲花峰、光明顶需要向上爬，登临领略尽收眼底的俯瞰风景不同，西海大峡谷则更多的是在“探寻”，谷内奇石嶙峋、山洞幽邃，步道多贴着绝壁建造，神秘和奇险是此谷风景的突出特点。有时候，当我们换个角度，由俯瞰变成仰视，你会发现眼中的风景大异其趣。排云亭这里有个观景台，可看到“仙人晒靴”。我们从排云亭出发，经由“一环”、“二环”游览峡谷。这一路我们既穿过岩壁下方仅容一人通过的狭窄通路，又走了不少在峭壁旁凿开的栈道，全程几乎都是下阶梯，如果你发现在上坡，那么你肯定走错路了。一环、二环都是两条路，如果喜欢冒险的一定要选择左边的路，几乎全在悬崖峭壁上，右边的路相对平缓一点儿。走一环时，还有不少人走左边的路，等到二环时，全程只有我们四个人，那叫一个清静啊。下行路上虽然未见到群猴出没，但扶手上的小石猴还是蛮可爱的~花费近两个小时我们抵达谷底，搭乘地轨缆车从排云溪站到天海站，相比步行可以节省约2小时。西海大峡谷地轨缆车一个车厢分三层，乘客都是站立的，一车满载60人。地轨车轨道，笔直向上，全程不到5分钟。这里是抖音网红地，好多人都是冲着地轨缆车来的，那么到底哪个位置最好。上缆车前问了工作人员，给出的答案是，上行上面，下行下面。因我们有4个人，决定两人上行，两人下行，这样就不会错过任何一面，于是我开始纠结，我到底是站上行位置还是下行位置呢？为了能站在最前排，我们特意错过一列车，原本我是打算听工作人员的，站上行位置，但临上车前，果断决定和大红换下行，并在上车时，把两个晕头的人直接轰出了下行车厢，结果就是大红和梁子老老实实地录了全程的铁轨，下缆车后追着我要我把缆车费给报了。
1,Kahara_華,5,2019-05-23 12:19:18,西海大峡谷内植物繁茂、奇石嶙峋、山洞幽邃、 石林密集、溪水清澈、壁峭如劈，有人曾称其为“魔鬼世界”。相比于早早就对游人开放的“前山”和“后山”景区，西海大峡谷景区在2005年才正式对游客开放。它是黄山最美最著名的大峡谷，被游客称作“梦幻景区”。西海大峡谷的游览路线很长，听工作人员介绍说，游览一圈至少需要5-6小时（乘坐地轨缆车可以节省约2小时），且峡谷内并没有住处，因此如果不打算在黄山上面住一晚的话，最好就不要游览西海大峡谷了（地轨缆车在下午4点停运）。
2,飞哥,4,2019-07-22 11:33:44,西海大峡谷——这里是云海的天堂，奇石中的皇冠，松涛阵阵让人忘却一切的烦恼，就好像是在巨型盆景中享受着原始自然的放松，你在我景中，我在你像中，随手一拍，都是景美如画，每个人都会成为摄影大师。这都是四年前我们破手机拍出来的，现在看看也是很震撼。西海大峡谷果真梦幻，去 黄山 一定必打卡。那个时候背个大背包，从排云亭走到二环底然后再原路返回，那辛酸简直了。可是看到西海大峡谷如此梦幻奇景，宛若仙境，也露出如此甜美的笑容。
3,看云绻云舒,5,2019-02-27 11:56:01,西海大峡谷位于 黄山 风景区西部的西海群峰，是 黄山 风景区中最秀丽深邃的部分。 《 黄山 志》曰：“ 黄山 历来有 南雄 北秀东奇西幻之说”。我们由北入口进入峡谷，走的是“一环”、“二环”，峡谷的旅游观赏步道全是人工修筑的山崖栈道，走在此道，真心体会到它是一个人与自然完美融合、天衣无缝的“伟大工程”，道建得像岩体中生出的一样，非常隐蔽，时隐时现，和景区的品味十分协调。只是有些地方只容一人通过，人流如蚂蚁一样蠕动。
4,404,5,2019-01-14 12:08:56,晴天，风光险峻奇异。清晨7.00从白云宾馆出发，用时190分钟下到谷底。从排云亭进峡谷后一环，二环路以下坡为主，楼梯窄，平台少，比较消耗体力，需要酌情合理安排。地轨需要等待，如果人多估计等候时间很长。五月是杜鹃花期，峡谷里能看到很多丛生杜鹃。
5,走着看,4,2017-11-21 11:59:23,丹霞峰下一景区，奇秀西海大峡谷。峰林座座状怪异，好似巨石块垒砌。峭壁如同斧斫劈，顶上青松傲挺立。栈道台阶陡悬崖，攀踏千万小心来。山洞幽邃凉风袭，涓涓细流泉水滴。峡谷长十五千米，云雾缭绕梦幻境。气势雄伟景壮观，安全游览记心间。
6,雨昊,5,2019-05-07 15:13:10,黄山西海大峡谷因谷中有白云溪，又称“白云谷”。其自钓桥庵至排云亭下，全长约15公里。为黄山有名的大峡谷。此谷是由近旁的石柱峰、石床峰，右前方的薄刀峰、飞来石，对面的排云亭、丹霞峰、松林峰和左前方的九龙峰、云外峰等奇峰怪石所围成的空间。在谷中放眼四顾，但见山边山、山套山，层次分明，轮廓清晰、壮阔奇特，令人叹为观至。绝非黄山已开发的景区可比美。有人说该处集黄山之锦绣，故被誉为“锦绣坞”。
7,张二水,5,2019-03-30 11:35:15,西海大峡谷最险峻了，在整个黄山，呼啦啦的一道大缺口，缺口两边，悬崖直上直下，在日积月累的风雨冲刷下，痕迹想瀑布一样，层叠不穷。西海大峡谷分为三环，一般走一两环就可以了，三环就可以下到谷底了。景点不在前后山的路上，比较适合两日游游客，一日游的游客可能没时间来逛。大峡谷我去了三次，有一次下雨，雾气翻过山顶流入峡谷底部，像瀑布一样。阴天时，山峰更显壮观，如利剑直插云端。
8,渝安,4,2019-03-07 12:39:14,路上不少个旅行团，几乎是得排着队走。这算人少的，人多一定就走不动了，一步要等很久。在山上发现一只猴子，猴子一点也不怕人，大摇大摆的朝人群走来。老实说，要不是有好多人，我是有点害怕的。松鼠就更常见了。但是有零食喂他，松鼠还不怕的的时候并不多。到了峡谷底部，雾有些散开了。决定挑战一下体力，绕着大圈走，看看大峡谷的风光。遗憾的是，爬到山上时，浓雾又来了，所以变成了纯粹的拉练，风光几乎没有看到。支撑我走下去的动力，还有路上碰到的游客。
9,处女座小尚她爸,5,2019-02-01 14:08:47,此行最最最最重要的目的景点，西海大峡谷又叫做黄山梦幻景区，可想而知此处的风景是何其惊艳。我此行的目的就是要徒步横穿大峡谷。整条西海大峡谷走上一遍之后谈一下我自己的感受——果然不负 黄山 梦幻景区的美誉！完全步行穿越需要5-6小时左右，12点前到入口可以走全程，超过13点就不建议全程，大峡谷内没有路灯，无法走夜路，加之有的路段路窄坡陡，即使在白天行走都需要格外谨慎，更别说在没有路灯照明的夜晚。西海大峡谷有南北两个入口，南入口从天海白云宾馆下面进入，北入口从西海排云亭进入。其实两边进入到谷底都可以，还是要和你的游览行进路线而定（前山上后山下的可以从南面进入，后山上前山下的可以从北面进入），不过这是对于全程都穿越的旅友而言。在我看来，如果只是走到谷底后就乘坐地轨小火车上来的游人而言，还是走北面的线路会比较高效，原因有三，第一，两边下到谷底所需的时间不同。北面下到谷底需要两小时，南面需要三小时。第二，两边下到谷底所需体力消耗也不同。北面排云亭下到谷底的距离较短，除二环到谷底的一段山路坡度较陡，其余路段皆比较好走。南面入口下到谷底的距离较长，陡峭的坡道又比较多，所以相对比较难走，体力消耗也大。第三，南线和北线两边的风景也是不同的，南线有步仙桥，三 溪口 所以水资源较丰富。而北面奇峰怪石为多，在绝壁悬崖上修建的登山栈道蜿蜒曲折，身边的群峰如刀砍斧削一般，毫无疑问这条线路上的景致比南面更能吸引游人。如果体力差不想多走路的游客也可以从排云亭走到一环就返回上山，这一段路程也是整个梦幻景区最美的风景！
