,用户名,评论星级,评论时间,评论内容
0,本座无忧_,3,2019-10-29 19:11:45,我在西递，白墙灰瓦，一件白衬衫，像趁着那一大片油菜花。
1,巽,3,2019-07-17 14:34:28,西递比宏村高了一个规格，西递像富人区，但富人都移民了，人气不及宏村，我的游记里面有照片。
2,多重影分身,3,2019-05-05 19:30:12,去过宏村后，再去西递无感。。。
3,yeyeye2000🍀,3,2018-10-20 11:02:00,有名的古村落，于宏村比，各有不同。
4,一个桔子,3,2018-04-11 18:58:06,太商业化而且不大，很快就逛完了
5,瞎眼看你美,3,2018-03-28 21:04:48,没有宏村雄伟，不过是个微缩版，很多家庭院落没有宏村的壮观，并且整个村子还住着人，脏乱差严重，遍地油污，村里的小河沟飘着塑料袋和垃圾。
6,必胜,3,2018-03-13 15:27:01,感觉一般般。门票104含讲解。
7,铃兰,3,2018-02-07 22:17:35,我去的时候正大兴土木，好几家都在改建饭店或住宿。村里“水道”特别脏，都在里面洗衣服全都是洗衣粉肥皂的颜色（就叫水道吧，从各家门前流过，我也不知道该叫什么）相比宏村，西递太小了。如果你不是特别记路的话，从里面走出来不太容易，我找了两个人问怎么出去，一个顺手一指，一个说“你在我家吃饭我就告诉你。”
8,卖小孩儿的小火柴,3,2018-01-19 16:16:25,我们是从南昌自驾到西递，下午三点多到的西递，可能因为冬天淡季人很少，西递门票是104元一个人，可以说在村里住宿，实名登记门票可以使用三天，西递村就是古代遗留下来的典型徽派建筑群村庄，被国家评为5A级景区，西递村有大部分居民生活在村落里面，建筑年代比较久远一些，基本上都是古老的房子，如果喜欢拍照的话大概行程一两个小时就可以游完，如果大概看看可能不到一小时就会转完，个人感觉门票太贵，没有什么典型的历史文化名人迹事，还是觉得宏村好看一些，感觉门票小贵，不值，村落里也没有什么太多吃的，村里居民可能比较多一些，宏村会商业化一些，但是景色更好看一些，宏村水比较多、水景比较好看也比较出名。
9,垄上行,3,2017-12-29 19:31:22,买了两银元，假的，铜镀银。但卖家说是真的。
10,Coco,3,2017-12-18 20:40:48,西递始建于北宋皇佑年间，至今已近960余年历史，2000年被列入世界文化遗产，有 “世界上最美的村庄”、“古民居建筑的宝库”之美誉。西递保留着数百幢明清古民居，建筑及路面都用大理石铺砌，两条清泉穿村而过，99条高墙深巷使游客如置身迷宫。地标即是村头三间四柱五楼的青石牌坊，建于明万历六年（公元1578年），峥嵘巍峨，结构精巧，是胡氏家族地位显赫的象征。村中康熙年间建造的履福堂及大夫第等，都是西递的经典建筑。有趣的是，如今西递村民将大夫第当成了举办民俗活动的场所，如古装戏中小姐择婿在高楼上“抛绣球”等。村中各家各户富丽的宅院，精巧的花园，黑色大理石制作的门框、漏窗，石雕的奇花异卉、飞禽走兽，砖雕的楼台亭阁人物戏文，精美的木雕，绚丽的彩绘、壁画，无不彰显中国古代艺术之精华。
11,Loser,3,2017-11-06 21:46:13,感觉西递才是没有什么可看的，还是喜欢宏村
12,大黄不是汪,3,2017-09-25 10:03:02,西递不如宏村好看，但是门票一样的钱，个人觉得不如宏村值得
13,EricLeMoal,3,2017-08-10 15:36:19,价格和宏村差不多，可是能看的东西少了很多，不过好处是没有那么商业化。
