,用户名,评论星级,评论时间,评论内容
0,小李不苦,5,2019-03-17 21:13:26,在西递千万别跟着导游团同进同出，忙着走过一条条街道小巷，忙着参观各大宅院，却在走出古宅以后可能连这所古宅的名字都记不起来，忙着购入土特产，然后忙得没有办法去细观西递的人文，还是要安静沉稳下来，去悠闲地走过羊肠小路，去瞧瞧门楼建筑的横梁雕刻，去解读官宅民居的不同，再去读徽派建筑的儒家精神，重现天人合一的重重期待。听说西递到了子夜时分，仍有村民奉行着古老的打更方式，喊着“天干物燥，小心火烛；灶前堂屋，不留火种；煤气电源，一律关好”，巡上两遍村庄。    很可惜这次因为行程安排问题，也是匆匆走过西递，下次会在这座古村多待几天，去了解它更多的故事。
1,雨中之苇,5,2019-01-24 15:42:45,西递和宏村，虽同为徽州古村落，同时被列入世界文化遗产名录，但西递的人气却远远不如宏村。有人说“宏村是画，西递是书”，很恰到好处的比喻了。 宏村美的惊艳，商业气息更重。而西递其实保存的更为完好，人文气息更为浓厚。 村口有明经湖，整个村子和周围的山丘倒映在湖里。湖边有西递的标志性建筑：胡文光刺史牌楼。 穿行在白墙黛瓦的马头墙间，看得到大量的砖、木、石雕等艺术佳作，感受的到浓浓的书香之气。
2,木子虫交,5,2018-11-28 15:18:44,鸟瞰群山怀抱中的西递村，民居密密匝匝，鳞次栉比，村子上空洋溢着朝气，是西递胡氏生生不息，繁衍昌盛的表达。西递胡氏的先祖是何等的讲究建筑风水学，追求人与自然的和谐统一呀，将胡氏安身立命的生存之地选择在这即枕山、环水、面屏的福地----西递。西递村的小巷很多，鼎盛时期达99条巷子。小巷长宽不等，风格相同，随处可见飞檐翘角，突兀多资的马头墙，可谓同宗同祖、悠悠绵长。走进村落的古巷，就是走进了村落的历史深处。这些遍布在村落的古巷，不仅是村落的交通脉络，更是村民生活的场所。它记载着村落历史的变迁，时代的风貌，并蕴含着浓郁的文化气息，好像一座座民俗风情博物馆，烙下了人们各种社会生活的印记。太阳西斜，人们沐浴霞光漫步小巷，时而拖着长长的身影，时而也会被太阳光束刺得睁不开双眼。太阳余晖很努力地酒向西递小巷的一切，粉墙黛瓦、马头墙、青石板地面、红灯笼......犹如淡淡地涂上一层金黄色油彩，充满蓬荜生辉的气息，唯有那多少有些斑驳的墙体，显得格外的沧桑艳丽。
3,大大泡泡糖,5,2019-09-28 20:45:43,西递镇，别称西溪、西川，隶属于安徽省黄山市黟县，始建于北宋庆历七年（公元1047年）。素有中国古代和现代历史的衔接点、明清古民居博物馆、桃花源里人家、古民居建筑的艺术宝库等美誉。
4,45°仰朢,5,2019-06-09 10:02:41,西递村距今已有近千年历史，2000年被列入世界文化遗产，有 “世界上最美的村庄”、“古民居建筑的宝库”的美誉。村内保留着数百幢明清古民居，建筑及路面都用大理石铺砌，两条清泉穿村而过，99条高墙深巷如置身迷宫。地标即是村头三间四柱五楼的青石牌坊，建于公元1578年，峥嵘巍峨，结构精巧，是胡氏家族地位显赫的象征。
5,Danny仔,5,2019-05-22 15:50:40,西递和宏村为一个5A景区，但并不在一起，相距20分钟的车程，相比宏村的高人气，西递要显得更加宁静祥和，厚重的文化底蕴和免费配备的导游讲解服务也很给力，在导游的讲解下能真正的了解到为什么西递被称为是一座有故事的村庄，村落里的一瓦一世都非常考究，和但视觉上由于宏村有着南湖和月沼湖的衬托显得更诗情画意一些，所以说宏村是画，西递是书，都是古徽州的瑰宝。
6,灰姑,4,2019-07-18 16:52:18,不错 没去过的可以看看 有那段历史的痕迹 就是商业化气息太重
7,lost　soul　丶,5,2019-07-09 09:47:16,西递比宏村更显安静，遇见晒秋，遇见无人的巷子，一直就这么惬意
8,轻飞扬,4,2019-06-11 15:30:09,西递古村落是一个很不错的景点，有古村的原始风貌，第二次去时也商业化了。
9,江南水乡,5,2019-06-05 11:23:33,基本上徽派建筑都是差不多，很美
10,蟹捕头,5,2019-05-28 19:29:46,赶上油菜花开，在山上看很美啊。
11,锁清秋,5,2019-05-07 10:10:55,为啥打5星呢，因为夕阳真的太美了！其实只要人少点，哪里的夕阳都挺不错的，光影洒在人身上，不冷不热正合适，眼睛也不至于被刺的睁不开，整个人温暖柔和，很是舒适。这个地方比较人性化的一点是，全程有导游，而且她们是循环讲解的，万一有个地方你没跟上，再等一会儿，马上有个新导游带着游客过来继续讲解，基本不会错过什么。村外的一片野地是拍照好去处，长着许多郁郁葱葱的植物，远处还有个小亭子。如果有时间，去亭子上俯瞰这个村子，应该也是极美的。
12,vania,5,2019-04-16 10:13:05,跟宏村大同小异吧，顺带就逛逛了
13,发疯的蜗牛,5,2019-04-07 18:13:06,徽文化的代表，青砖黛瓦马头墙，如果说宏村是一幅画，那西递一定是一本书，需要你去慢慢品味它的韵味。
14,ByoungBuong,4,2019-04-04 15:20:05,小镇 静谧 散心 小资 写生 漫步
15,这是过客一驻足,5,2019-04-03 18:11:32,和宏村是不同的感觉，不知道是不是出来的出入仕途的人比较多，感觉带有灵气2333，可以同时看到古村落和油菜花。
16,菜菜,5,2019-03-29 09:26:10,去那边写生住了一段时间，感觉那边的生活很放松的状态，对村民的印象也很好，都很随和热情，写生路过茶店，老板会叫你进屋喝杯茶凉快凉快，买小吃，热情的大娘都会给装的满满的
17,鲲鹏展翅,5,2019-03-26 09:52:48,西递古村落实属美丽，徽派建筑和徽派文化的集中地，非常值得一游。
18,chencurl,5,2019-02-26 10:49:20,世界遗产——皖南古村落之一，商业氛围较宏村较好，比较安静。
19,老管,5,2019-02-16 17:15:04,西递景区内建筑是明清时期保留下来的古徽派建筑，门票与宏村景区同价，价格有点高。整个游览由导游带领讲解十分详尽。
20,czj,4,2019-02-14 12:49:09,4.30日， 小长假第二天，这边的天色亮得特别早，早上4点多便亮开了。我们到客运站时间尚早，早上8点第一班发 宏村 途经 西递 的车，每半小时发车，售票窗还未开，可在旁边自助机上购票，全程24元，途经 西递 18元，小长假7点半加开了一趟加班车。但师傅晚点了，快8点了才出发。客运中心有到邻近各景点的班车，也有到 上海 、 杭州 等相邻省市的长途车辆。早上9点，到了 西递 ，我和妹妹提前在网上购票90元（至少提前2小时，否则要等出票的），取票也很方便，65岁免费，60岁以上半票52元。 西递 景区的管理很规范，服务中心凭门票可免费寄存行李，我们把行李托放后，便一身轻松地去浏览了。
21,宫廷,5,2019-02-13 15:05:41,古村去的不少，各有各特色，各有各宁静。
22,like~琪琪,5,2019-02-12 16:11:56,西递宏村曾经都是起名的，但是现在宏村的风光要盖过了西递
23,薇薇薇,5,2019-01-02 18:29:02,很棒 去的前一天西递刚好下了场雪
24,洎茬飛埖輕姒夢,5,2018-12-30 12:29:25,徽派古建筑，很有特色的一片古村落
25,你敢不敢跟我走,4,2018-12-25 09:19:43,我们是买门票进去的，绕了一圈居然发现了还有一条小道能直接通进去，就在马路边，西递我觉得一般吧，不知道宏村怎么样，有一个山头是看西递村全景的地方，那个不错，其他的真的一般，将近100块钱的门票啊。
26,大白兔甜雅,5,2019-01-01 14:58:35,特别是春季时，油菜花开黄油油的，与粉墙黛瓦相呼应，景色美到极致。
27,sunylan@163.com,4,2019-03-21 19:41:30,安徽的村子太多了，都是后期商业扩建。但是也是必须打卡的景点。面积并不大，走走看看即可。
28,*雄鹰*,4,2018-12-06 15:20:13,西递是安徽省南部黟县的一个村庄。2000年11月30日在澳大利亚凯恩斯召开的联合国教科文组织第24届世界遗产委员会会议作出决定，将中国安徽古村落西递、宏村列入世界文化遗产名录。
29,心在旅途,5,2018-12-05 17:05:28,这是很有代表性的徽派建筑风格的古镇，不管是什么时候去，那风景都是令人赞美的。春秋各游一次了，还想着在一个冬天重游一次。
30,伏地魔,5,2018-12-04 14:26:44,比宏村更值得一去，原汁原味的徽州村落
31,君堡的夕阳,4,2018-12-03 16:35:39,村子很安静，相比宏村来说少了许多商业气息。
32,Minoz。,4,2018-08-02 16:29:21,西递距离宏村一段距离，建议先玩西递 再玩宏村。宏村再里面
33,Gloria,5,2018-08-01 20:11:18,关于教师能半价优惠活动其实是这样的，门票当场买一张104，网上一张94。教师呢，西递的门票是全价，不能享受优惠。但是有几个景点：西递石林啊，木坑竹海啊…大概五六个景点可以选一个免费。
34,W和Z的小脚印,5,2018-07-31 20:17:56,【摘自我的游记：http://www.mafengwo.cn/i/9988290.html】身处西递的时间不足24小时，又是来去匆匆。不过一切都刚刚好，缠绵的春雨，清新的田园，清晨无人聒噪的街巷，乖萌的小动物，还有最有味道的徽州建筑——最西递的元素一一饱赏，都未错过。人们常常抱怨，全国各地的古镇都一个样，在我看来，这句话肯定不能套用在西递上。
35,刀刀,5,2018-07-29 15:31:43,黟县小桃源，烟霞百里间——西递西递因村边有水西流，又因古有递送邮件的驿站，故而得名。西递素有“桃花源里人家”之称，曲径通幽的青石板路，通向沉睡百年的老牌坊、老宅院、老祠堂，也映照着西递九百年的风雨沧桑。西递现存明、清古民居124幢，祠堂3幢，包括凌云阁、刺史牌楼、瑞玉庭、桃李园、东园、西园、大夫第、敬爱堂、履福堂、青云轩、膺福堂等，都堪称徽派古民居建筑艺术之典范。西递村落四面环山，两条溪流串村而过，村中街巷沿溪而设，整个村落空间自然流畅，动静相宜。徽州地处山区，山多地少，素有“八山半水半分田，一分道路和庄园”的说法。为节约用地，徽州民居的房屋均成排相连，组成条条街巷，“高墙窄巷”成了徽州民居的典型形态。这样势必带来防火和采光两大问题。为怕火灾殃及，每家之间都设置高大的封火山墙，又称“风火墙”。墙有实砌墙、空斗墙、泥斗墙，具有分隔空间和抵御、遮蔽的作用，既有防火功能也有装饰功能。风火墙一般采用直线构图，五叠式阶梯状错落。白色的粉墙为防止雨水侵蚀，配着黛青的鸳瓦、飞挑的檐角、高昂的兽脊斗拱。山墙顶部饰以飞檐，远远望去，似骏马昂首长嘶，又如座座山峰，直刺蓝天，故当地人形象地将其称为“马头墙”或“五岳朝天”。徽商暴富后，均回乡大修宅院，但他们仍沿用了封闭式天井院的格局，只是将其加高增厚，外墙只留小窗，形同堡垒，用于保护财产、禁锢留守的妇人。天井空间设计具有特殊功能，能够起到采光、通风、换气、排水、遮阳、避暑等作用。在天井处设石砌水池、盆景假山，粉墙高柱间点缀几丝绿意，丰富了厅堂的视觉。天井上方檐口安装锡制或陶制的天沟水枧，也就是水槽，有排水管下伸地下水沟，天井铺就石板，下有排水道。天井四侧屋顶瓦面向内倾斜，雨水沿瓦面流入水枧内，即使下大雨，雨水也不会影响邻居楼舍，避免了邻里之间不必要的纠纷。生意人称水为财，雨为黄金，雪是白银，将四边的雨水集中汇入大堂中，美其名曰：“四水归堂”，又叫“肥水不流外人田”。
36,干掉皇马,5,2018-07-29 10:49:57,小桥流水有几个学生在写生，古徽州的建筑，住在了一个叫流水人家的客栈，老板娘做饭很好吃，小狗很可爱。
37,特立独行的猫,5,2018-07-25 18:31:34,如果想要体验原汁原味的徽州人民的生活，当推西递无疑，商业化气息一点也不浓厚，街上的小店鳞次栉比，少了宏村的热闹，多了几分安静和祥和
38,大獬行走,5,2018-07-25 10:09:33,淋着小雨， 走在西递的小巷里，仿佛时光已为你停留。
39,大鸟鹦鹉,4,2018-07-21 14:48:45,人很少的景区，很有特色的清朝时的大宅子，有时间的话建议在那住一晚，住几百年的老房子
40,メ瘋子ゞ,5,2018-07-17 22:06:21,古老的村庄，里面的人很友善。。。。
41,凌乱先森森,5,2018-07-16 17:10:17,进入西递景区第一个映入眼帘的就是西递村的胡文光刺史牌坊村子不大，但是一步一景，徽派建筑的屋顶美轮美奂很多游客选择在这将整个西递游览一遍，西递不大，但是布局十分讲究，拥有独特的水系网，不得不赞叹古人的智慧西递的夜尤为安静，和白天形成鲜明对比，犹不习惯，独自一人在外面走着也甚是清静
