,用户名,评论星级,评论时间,评论内容
0,安娜,3,2019-04-23 17:05:22,之前去过华山，至今念念不忘。这次又抱着极大的期望去了黄山，毕竟黄山归来不看岳~不过即使是欣赏了加分很高的日出日落，对这次行程仍然是略有失望，我还是更爱华山特地选了非周末去爬山，7：30到索道队伍已经是排了一圈又一圈，到山上第一感觉确实是，哇好美，但是走过一段路来来回回都是类似的景色，也只剩下哇，哦，已经审美疲劳了，不停的上坡下坡，偶有观景台拍两张照片，留下印象的唯有猴子观海和飞来石，没有爬华山的险和趣，只剩下了累。另外，黄山的指路牌做的真是相当的差，有些岔路根本没有指路牌，即使有指路牌的地方，也很容易让人迷糊，在西海大峡谷一个三岔路口处就遇到好几拨不知何去何从的游客这大概是一个去了不后悔也不惊喜的景点吧，没什么其他选择去走走也无妨，毕竟是去过了。山上阳光毒辣，宾馆里也很干燥，做好防晒和补水
1,马蜂窝用户,3,2019-04-28 13:24:26,前段时间爬了华山，所以两座山形成了强烈对比。黄山就景色来说还是不错的，但不如华山的特殊景色多，感觉最好的景色反而是丹霞峰和大峡谷。最后总结一下，如果不是看日出和遇到云海，真的不如华山。反而在给我的整体感觉上，华山更人性化，更像一个单纯旅游景点；而黄山更像一个商业化的旅行景点。从细节上来看，华山的公厕更多，路上会有免费使用的桌椅，可以用来吃饭，就算在山上吃饭，一份排骨饭套餐在30-40之间。而黄山只有长凳，没有免费的桌子，吃饭很不方便，山上吃饭价格很高。白云酒店边上的美食广场一份青菜面65。且公厕较少。所以来黄山，有钱真的是一个旅游的好地方。穷游的话，还是拼一拼身体吧。
2,姜宇,3,2019-08-04 22:28:40,冬天去的，超级美！！！！！！！！
3,赤壁,3,2019-03-24 19:08:24,黄山，黄山市，黄山北，高铁北。是一个地方，也不是一个地方。枢纽站，枢纽中心，转运中心，换乘点，游客集散中心，集散枢纽中心，黄山景区游客集散中心。不是一个地方，去往不同的地方。综合售票窗口，售票中心，一站式售票口，旅游售票，高铁旅游售票。旅游转运票上起始站名称三个（寨西站、东岭站、南门站），终点站名称三个（云谷寺、慈光阁）。景区票，缆车票上，缆车票下，换乘点去票，换乘点返票。简称：黄山五票。枢纽总站啊，您能不能把去旅游景点的来客和乘大巴离开的返客和乘高铁旅游的什么客分流开呢。全意识流派，生活在自己精神世界里的经营者，管理者。
4,艾吉奥,3,2019-10-07 01:25:50,很久以前就知道徐霞客的那句“五岳归来不看山，黄山归来不看岳”，五岳我只去过华山，然后刚刚去了黄山，抛开自然历史价值不说，单讲人文风光，我深深的感觉到了我们对徐霞客这句话的误解[捂脸]。即使不讨论人文风光，黄山的运营管理，也完全落后于华山。
5,胡小妖,3,2019-04-21 10:16:01,节假日千万别去黄山！不然你看到的不是云海而且人海！排无穷无尽的队！看不到风景！看到的只有前边人的屁股！
6,似水流年,3,2019-04-07 23:21:07,只是看到雾黄山，晴天绝对需要再来一次！
7,流云默默,3,2019-04-06 19:42:21,从慈光阁出发，徒步至天都峰，再由天都峰下至玉屏风，虽然酒店在排云楼，但实在是走不动了，只能入住玉屏楼。建议从慈云阁上还是坐缆车比较好，因为大半路途没有风景可以看，而有壮丽风景的地方非常陡峭，根本不敢看，只能专注脚下。
8,马蜂窝用户,3,2019-01-28 17:00:33,我今天黄山刚回来，打死我也不会再去黄山玩了，除了山还是山，除了台阶还是台阶，光明顶的宾馆价格死贵，有的地方的台阶很危险，门票又贵，索道票又贵，一点都不好玩，一点都不值
9,衍森,3,2018-11-01 09:06:03,整体上趁向引导消费，无论是公交，还是索道
