,用户名,评论星级,评论时间,评论内容
0,马蜂窝用户,5,2019-04-17 00:02:57,此次游黄山，日出日落云海都没有看到有些遗憾。登上莲花峰了但因为下雨天都是雾什么都没有看到就一个劲往上爬。天都峰今年没有开放看了外观很想去体验，只能过几年开放了再次登峰，黄山还是很美的，虽然很累人，而且要住山顶才有体力游玩整个黄山，旅游攻略还是要看的里面的建议都很好
1,夏威夷也有冬天,5,2019-04-11 20:13:49,由于时间紧迫，大神曾建议不如舍弃黄山，歙县深度游，但我坚持一定要来黄山，只为那句“五岳归来不看山，黄山归来不看岳”。其实这句话最初源于明代旅行家徐霞客，他在游览黄山后盛赞：“薄海内外，无如徽之黄山。登黄山，天下无山，观止矣！”至此，黄山名声大噪，扬名内外。其实黄山最初并不叫黄山，古称“黟山”，因为远远望去，黄山山色如黛，而且苍阔，故此以“黟”为名。相传轩辕黄帝率手下大臣容成子、浮丘公来此炼丹，并最终得道升天，唐玄宗笃信道教，遂于天宝六年（公元747年）诏改“黟山”为黄山，黄山之名于是一直沿用至今。千余年来，黄山积淀了浓郁的黄帝文化，轩辕峰、炼丹峰、容成峰、浮丘峰等景名都与黄帝有关。同泰山、华山这些名山相比，黄山属于后起之秀。改名之后的黄山，迎来了历史上第一位名人—李白。“黄山四千仞，三十二莲峰”，李白用他的如椽妙笔，留下了最早的黄山诗篇，也第一次向世人展现了黄山，至此，黄山慢慢走进人们的视野。主峰：主峰为莲花峰海拔1864.8米，与光明顶、天都峰并称三大黄山主峰。奇景：黄山有五绝三瀑，五绝为：奇松、怪石、云海、温泉、冬雪；三瀑为：人字瀑、百丈泉、九龙瀑。文化：世界文化与自然双重遗产，除大美自然风景外也有深厚历史人文沉淀。黄山门票价格：旺季价格190元（每年的3月1日到11月30日）；淡季价格150元（每年的12月1日到2月28日）。黄山索道价格：黄山索道共有云谷索道【云谷寺(后山)-白鹅岭】、玉屏索道【慈光阁(前山)-玉屏楼】、太平索道【松谷庵（北门）-松林峰】和黄山西海大峡谷地轨缆车4条路线。索道全为单行收费。云谷索道旺季价格￥80元/人，淡季价格￥65元/人。玉屏索道旺季价格￥90元/人，淡季价格￥75元/人。太平索道旺季价格￥80元/人，淡季价格￥65元/人。西海大峡谷地轨缆车旺季价格￥100元/人，淡季价格￥80元/人。黄山换乘站-云谷寺或慈光阁 19元/人，保险3元，约20min。注：导游证免门票，带团免缆车费。
2,瞎闹腾,5,2019-04-18 12:38:53,黄山的日出真的很美，天气好的黄山会让人流连忘返，我们此行第一天徒步天气雾蒙蒙，什么都看不见，心有不甘，然后查看天气，临时决定山顶住宿一晚，期待第二天早上的日出，早晨4点30就到达光明顶的观日台，最前面位置都被占完了😂，然后静待一个多小时，5.54分太阳从一道极光中缓缓上升，尖叫声一片，看完日出就打卡了莲花峰和迎客松，时间不充足，所以就从慈光阁徒步下山了。都说黄山一次是玩不好的，期待下次的黄山之旅。
3,颜丑文良,5,2019-04-18 14:36:31,黄山市有丰富的旅游资源，黄山风景区为主体景区，也是徽城之旅中的核心行程。黄山的精华部分有154 平方公里，主要在北海景区、西海景区、白云景区和玉屏景区，建议至少安排2 天，充分游精华景点。可适当分别在山上、山下小住，体会不同乐趣，既能碰上日出日落，也能好好休息。下了黄山，距离不远还有翡翠谷（情人谷）、九龙瀑、太平湖、石门峡等风景。如果时间充裕，还可游玩黄山市周边的屯溪、黟县、歙县及祁门县等地，感受深厚的徽州古韵，各式古镇老村、徽派建筑会让你流连忘返。因此，黄山串联周边游，普遍玩个3-4 天也就差不多了。
4,梓元,5,2019-04-06 08:12:27,黄山为三山五岳中三山之一，徐霞客曾两次游黄山，赞叹说：薄海内外，无如徽之黄山。登黄山，天下无山，观止矣！后人引申为“五岳归来不看山，黄山归来不看岳”。黄山集中国各大名山的美景于一身，以奇松、怪石、云海、温泉“四绝”著称于世，现在冬雪则成为了黄山第五绝。黄山不仅自然景观奇特，而且文化底蕴深厚，传轩辕黄帝曾在此炼丹，所以黄山非但以景取胜，还是几千年来道家仙士的常游之所。李白等大诗人也在此留下了壮美诗篇。黄山千峰竞秀，万壑峥嵘。有名可指的就有72山峰，其中“莲花”、“光明顶”、“天都”三大主峰，均在海拔1800米以上，拔地极天，气势磅礴，雄姿灵秀。黄山原名“黟山”，因山峰和岩石遥望青黑而得名。因传说轩辕黄帝曾在此采药炼丹、得道成仙，唐玄宗于是在天宝六年（公元747年）改“黟山”为“黄山”。千余年来，黄山积淀了浓郁的黄帝文化，轩辕峰、炼丹峰、容成峰、浮丘峰、丹井、洗药溪、晒药台等景名都与黄帝有关。
5,雨昊,5,2019-04-01 11:13:37,黄山位于安徽省黄山市，原名黟山，唐朝时更名为黄山，取自“黄帝之山”之意。黄山是世界自然和文化双遗产，世界地质公园，中国十大名胜古迹之一，国家5A级旅游景区。黄山风景区面积160.6平方千米，东起黄狮 ，西至小岭脚，北始二龙桥，南达汤口镇，分为温泉、云谷、玉屏、北海、松谷、钓桥、浮溪、洋湖、福固九个管理区，包括200多个大小景点。黄山以奇松、怪石、云海、温泉、冬雪“五绝”著称于世，拥有“天下第一奇山”之称。“五岳归来不看山，黄山归来不看岳”是对黄山最好的评价。
6,Kahara_華,5,2019-03-30 19:00:56,黄山的特点是“前山雄伟，后山秀丽，西海奇特”。前山以陡峭难爬著称，因此将其作为下山路线。我的规划是由云谷寺出发，经由云谷索道，先从后山开始游览。当天入住西海山庄，下午前往西海大峡谷景区游览，第二天早晨在酒店旁边的丹霞峰观看日出，下午从前山下山返回。
7,我是翠花没有酸菜,5,2019-03-07 10:38:44,对黄山的印象还是棒棒哒👍🎊🎉🎈🍾️不过，好的天气不常有，得集天时地利人和～（一般是前一天下过雨，见到日出，云海的概率比较大）🥰🥰一般两种上山方式1⃣️前山上，后山下。2⃣️后山上，前山下。具体的马蜂窝攻略已经很详细了，我就不多介绍了。我们是第2⃣️中方式，在黄山住一晚。（黄山的4月—10月间，游人很多，住宿紧张，在山上应及早投宿或通过旅行社、酒店服务公司提前预订，住宿价格么，上下铺一般一晚200～500左右，好点的，就贵太多了……土豪忽略）体力好的可以徒步上山呦。正常3～4小时就能到住宿地，排云楼。时间不允许的，体力不允许，还是坐缆车🚡也是别有一番感觉！上山带正常量的食物就够了，我们带了超多吃的，又重，又累，还没吃完。只能送人…（黄山上的垃圾桶都是石头的，为了保护环境，所以不能吃泡面，黄山上没有卖泡面的，可以偷偷带，酒店吃，切记，一定要处理好自己的垃圾）一定要注意⚠️安全安全（切记）：登山时要穿平跟的胶鞍、布鞋、旅游鞋，不能穿高跟皮鞋。黄山步步皆有景，景景堪入画，但不能边走路边看景，以免意外，此谓之观景不走路，走路不看景。下雨天可在当地花上几元钱买件一次性雨衣，比带伞要方便安全的多。在黄山摄影不同于在公园摄影，在公园，被拍照者和拍照人都可以随意后退几步以调整角度，可是在黄山摄影万万不可随意后退，因为身后很可能就是悬崖绝壁，一定要回过头看看有无后退的余地，以免摔伤，这种情况只要稍加注意便能够避免。黄山山路陡峭险峻，患有高血压、心脏病者，除随身携带必备的救急药品外，还不宜单人游山，更不宜身临险境。在黄山看日出最理想的地点是北海的清凉台和狮子峰，其次是光明顶和玉屏楼。日出时间：春季：5：30—6：00；夏季：4：40—5：20；秋季：4：50—5：20；冬季：5：30—6：00。……其他的欢迎咨询。
8,精神旅游,5,2019-02-27 11:52:28,黄山，位于安徽省黄山市，原名黟山，唐朝时更名为黄山，取自“黄帝之山”之意。黄山是世界自然和文化双遗产，世界地质公园，中国十大名胜古迹之一，国家5A级旅游景区。黄山风景区面积160.6平方千米，东起黄狮 ，西至小岭脚，北始二龙桥，南达汤口镇，分为温泉、云谷、玉屏、北海、松谷、钓桥、浮溪、洋湖、福固九个管理区，包括200多个大小景点。黄山以奇松、怪石、云海、温泉、冬雪“五绝”著称于世，拥有“天下第一奇山”之称。“五岳归来不看山，黄山归来不看岳”是对黄山最好的评价。
9,马蜂窝用户,4,2019-02-15 14:32:38,黄山风景区挺好的，但是汤口镇的好多饭店比较坑，我们去了一家饭店，（第一张图片）冬笋腊肉180元，量少难吃，臭鳜鱼是提前做好的，来了直接上，也一百多，特别难吃，点了九个菜，觉得土豆丝最好吃。第二天经人推荐去了老谢徽菜馆，比起之前吃的那个，好吃多了，就是这样。
