,用户名,评论星级,评论时间,评论内容
0,姑苏有心,2,2019-06-18 15:35:35,从迎客松一线天到光明顶。饭后，山下有大雨，山顶遇到云海，欣喜不已。
1,蚂蜂窝用户,2,2018-10-03 06:45:26,这次国庆十月二号去游黄山，第一天住汤口南大门，四点起床，五点赶到景区交通换乘点，五点半进山，六点坐上云谷索道，六点十分到达山上，游北海，始兴峰，猴子观海，然后再去游西海大峡谷，说实话没必要下到谷底，因为谷底景色和上面差不多，第二下到谷底只能坐缆车上来（如果爬上来就走不动了），缆车100一个人，贵！我就下到谷底了，后悔！然后坐缆车上来到白云宾馆，再去光明顶，看飞来石，再回到白云宾馆（悲剧，这样走回头路了）下午三点从白云宾馆天海往王玉屏楼方向走，3.4公里路程，人山人海，足足走了四个半小时，晚上七点半才赶到，要多糟心有多糟心！再次奉劝国庆来黄山游的游客做好心里准备！人多容易发生踩踏事故，现在想想都害怕啊！总结经验：黄山不要国庆假期来玩！黄山不要国庆假期来玩！黄山不要国庆假期来玩！重要的事说三遍！游黄山路线最好就是从后山云谷索道上，一直游到排云楼，进西海大峡谷，到一环处返回出来（没必要下到谷底）回到排云楼，从排云楼去飞来石，然后到光明顶 过白云宾馆，游鳌鱼峰，然后到达玉屏楼，看迎客松，游天都峰，然后下山。记住，不要下西海大峡谷底！累，还得花钱坐缆车上来，当然你可以爬上来关键是你爬得动吗？游西海大峡谷在一环处返回排云楼就足够了！风景基本看完。如果要山上住一晚，最好住光明顶或白云宾馆，位置好，很好安排行程，不走回头路。千万不要住玉屏楼，我就住玉屏楼，结果被下山坐玉屏索道的游客堵住了，和他们一起排队，三公里路足足走了四个半小时，悲剧啊！你能想象下被黑压压的人群裹挟着走了四个半小时的滋味吗？对了，黄山上很冷！多穿些衣服！黄山上吃的没有想象的那么贵，矿泉水六元一瓶，玉米棒六元一根还算亲民吧？不必背太多东西上来，山下带点面包带一瓶水就可以了。多留点体力爬山吧。我就背了很多，累的够呛！贴上几张从白云宾馆天海往玉屏楼路上排队堵住的照片。今天中午准备下山了！2018-10-3
2,赶海的人,1,2019-04-15 16:24:07,黄山风景区确实值得一看，这次我们主要是时间太紧了，匆匆忙忙后山上，前山下！下次有机会了再去，用2--3时间游完！说到物价和消费，我倒是觉得可以理解，看到几个挑山工真的很辛苦也很心酸，贵可以理解同情，也可以选择不消费！
3,俊俊,1,2018-07-25 08:10:11,大自然的鬼斧神工非常美丽，但门票价格非常不美，光门票230元+索道来回170元+百度车来回38元=438元了，不值这个价简直贵到离谱，更加不说吃的跟住的了。千万别节假日去，不然花了这么多钱还受罪。
4,smileprincess,1,2018-05-04 18:16:50,黄山就是一大坑，全程没有什么美丽的景色，除了爬就是下，然后就是人山人海
5,云水遥,1,2018-04-18 13:11:37,不想评价，风景很美人心很丑，还是那句话，全中国那么多山，不是一定要来黄山。
6,朱丽 🍀,1,2018-03-11 20:46:41,风雨交加，什么也没有看到，全凭想象。
7,王万青,1,2018-02-18 20:33:37,什么5A景区啊，千里迢迢从上海赶来，还没有上山，停车一个小时，被訛了60元，太黑了，亲朋好友们可要当心啊
8,推倒白起,1,2018-02-16 16:44:30,去年四月末去的，感觉名不副实。景色乏善可陈，只有猴子观海那里还凑合，大峡谷没什么水，排云亭没有云。第一，上下山都没有防护栏，台阶也窄，第二，十八罗汉朝南海那个景点前面的铁锁和石柱都是摇晃的，幸好只是扶了一下，如果是靠上去的后果不堪设想，第三，作为一个老牌5A，指路牌少的可怜，下山索道不开。不会再去了。好的地方是山脚下的饭菜真的不错，毛豆腐好吃，住宿也便宜。
9,奔奔,1,2017-04-26 09:45:44,大家千万记得不要3月份去黄山，真的被坑死了，天都峰和西海大峡谷都是4月份开放的，可是3月就开始按旺季的价格售票了。都说去黄山就是去这两个景点的，结果一个都没看到，门票和山上的住宿还这么贵。后来实在郁闷打了12301投诉，多次沟通后得到了景区的经济补偿！
