,用户名,评论星级,评论时间,评论内容
0,自由行者,3,2019-03-01 12:24:28,除了登华山外还可以欣赏一下华阴老腔，据说比秦腔还古老，当然前提是你懂得了。
1,马蜂窝用户,3,2019-08-19 15:36:35,想上华山论个剑，无奈大雪封了山………
2,Yuan Yuan,3,2019-08-21 14:10:40,15年暑假爬的华山，至今仍在我脑海里。爬了十几个小时（为了找预定的住宿，还翻了几个峰），无论其险峻抑或风景，都值得再去看看的。
3,岚哥纯爷们,3,2019-02-10 06:58:58,几年前就曝光的华山景点出租车司机拒绝打表漫天要价的新闻，似乎并没有影响贵政府的整治力度，现在依然违法违纪、混乱不堪。连滴滴叫来的出租车（陕ET1892），都敢20块起步价，跟滴滴人工客服投诉的时候我就坐在车里，司机立马撕下假笑面具，还虚张声势地大喊大叫：“你瞎了吗？你没看见表吗？”接着违规掉头、超速逆行把我们扔回到接客点，还觉得不够满意，继续凶残大骂我是神经病、卖国贼。没有一辆华阴市出租车是正常打表计价的，而且不出200米计价器就开始飞速猛跳，这是华阴市政府交通监管部门办事不利的最佳明证，也是整个华阴市市政形象的耻辱！
4,zhm_jinan,3,2019-08-19 15:36:43,五岳之一，可惜我只看到一个云里雾里的华山
5,一个变老的孩子,3,2019-02-01 06:49:32,景区的东西比较贵，我是夜爬的，所以要带好水和食物还有厚衣服，景区消费的很套路，所以要注意，不要受诱惑。住宿的话不要再玉泉院前边的马路边找，条件不怎么好，我在民宿一条街住的秦风客栈住的，条件不错，老板人也挺好，也可以在美团找找，买票的话进山门票不可以微信支付，索道西线比较长，也能看见华山的险，知识到下边要做大巴车要不然路程太远，车费40元，如果看日出的话建议早点走，上去晚了没有好的看日出的位置，早点走路上还能休息休息。带好装备手套真的挺有用的，和食物。到了观日台人人真的特别多，建议找一个靠前的位置，
6,老冒,3,2019-08-19 15:36:51,华山，五岳之一，名西岳．华山是其险，是华山的一大特色．
7,卖阿八的小神乐,3,2019-01-28 08:13:47,也许因为去的时候没有云雾，没有觉得风景与名气相当，而且成本过高
8,宋ksc,3,2019-08-19 15:37:06,风景觉对是好的，只是当地的人不咋滴，特别多的骗子，出租车司机坐地起价，骗你去他推荐的旅店。华山服务人员态度特别特别差，感觉欠他钱一样。但是一看到华山的风景，这些不愉快顿时烟消云散。
9,蚂蜂窝用户,3,2018-12-01 22:54:19,求搭伙去去华山，浙江宁波，vx595040333
10,雋崬,3,2018-08-25 22:30:26,其实吧，五岳的名气都是由历史、文化所造成的，真正风景其实一般，去过高原，会对这些山没啥感觉
11,谢大白,3,2018-06-18 15:31:52,“万乘华山下，千岩云汉中”。华山，五岳之一，奇险天下第一山，自古华山一条道，也是华夏之根，海拔2160米。华山分东南西北中，五个峰，可以比喻为人的五根手指。北峰，大拇指，海拔1614米，又名云台峰。东峰，食指，又名朝阳峰。许多夜爬华山的人只为一睹日出芳容，另外的一层险道，鹞子翻身在这，另外也可远观下棋亭。南峰海拔最高，中指，2154米，也名落雁峰。这里有著名的险道长空栈道。金庸题名的正版“华山论剑”碑文也在此。西峰，无名指，因两侧状如莲花，又名莲花峰。沉香劈山救母的典故源于此。中峰，小拇指，玉女峰，相传玉女乘白马入山间。当天因为天气原因，我们从北峰上去，一直也没有爬到南峰。1.去华山还是自行去好，避免塞车，也能避开人流。所有的一日游，即便写着更长的游玩时间，最后发现都是一样样的，统一时间回程。2.去华山前务必查看次日天气，否则西峰，鹞子翻身，长空栈道有可能会🤚。3.西峰往返的适合老弱人群，看精华的一两个点；西上北下能够看完全程，不走回头路，适合追求完整喜欢自我挑战的强迫症患者；北峰往返徒步耗时长，适合体力好的人群；4.高铁到华山北站，距离游客中心7公里，有公交。5.山上比山下冷4到5度，但是太阳出来后，越爬越热，一定要注意防晒。再来带足水，去山上叫卖吧。
12,Celia Zhou,3,2018-06-06 22:42:40,刚从华山回来，从西安客运站做的大巴到玉泉院附近。车到了后停在一家酒店门口，说是旅游公司免费的讲解。酒店员工扒着门口不进也不行，说了下路线就开始讲要买他家的景点套票，还有五块钱直接从玉泉院拉到游客服务中心。明明景点有免费的游客中心-玉泉院-仙峪的往返大巴。这还不算，还让游客在他们吃饭 买东西等消费。期间有女生拿出手机都被那个讲解大叔呵斥了，不晓得是不是怕拍照曝光他们。我和小伙伴听完牛头就走，居然还有人在后面不停喊我们，想拉我们回去。不明白西安客运站的司机 管理人员是否拿了酒店的回扣。在这里建议大家 从西安去华山还是坐高铁，高铁下来就有免费的华阴1路直达游客中心，从那里也有到玉泉院-仙峪的免费车。客运站乘车要满人才走，虽然也走高速，但是非节假日要等比较长时间，比如我们等了将近半小时，期间不断有人上车推销耳机等商品，还有工作人员贩卖往返车票，感觉很不正规。以下曝光酒店照片，大家如果做了客运站的大巴被拉到这里，注意不要上当。
