,用户名,评论星级,评论时间,评论内容
0,保,5,2019-04-04 08:41:05,临时决定的一次旅行，由马小胖导游带的队，选的西上北下线路，6:30在西华门消防队集合出发，这条线路比较科学，稍快点可以5个峰都走到，风景不错，大部分都是下山路，相对北上的线路省力很多，吃的喝的也不要带太多，毕竟要爬山的，一个人2瓶水，一份面包就好了，省省肚子回城后吃好吃的小吃，马导服务超好，讲解到位，安全提示贴心，还推荐了吃货必吃美食，当天就去了王魁腊汁肉夹馍，真是好吃，回民街的是不能比的，6619的司机师傅开车很稳当，一次满意行程
1,智元O_O,4,2019-05-18 15:08:11,早上起来收拾行李，出发的时候已经10点多了。本来也不赶，我想要留一整天的时间给华山，就晃悠悠的享受着这样的晴天。我这次的行程是西上北下。做西峰索道上山，在山顶逛一圈，从北峰坐索道下来。实践证明，时间还是稍微有点赶。从西门坐大巴进山需要半小时。从山门口到索道门口还要15分钟。那天是平日，我排索道还是排了30分钟。要真是周六去，不知道要排多久呢上了山，立刻温度就不一样了，后悔只穿了半袖。还好有太阳，不然真的很冷。华山有两个项目是我要玩的，一个是长空栈道，一个是鹞子翻身。结果长空栈道维修，鹞子翻身时间不够了....长空栈道这里从侧面能稍稍看得到栈道，远远看起来是有点吓人。如果想要拍照，门口有P照片的服务。从东峰走到北峰，全部都是台阶。
2,超级晶晶晶✨,5,2019-08-19 15:35:59,基本上大家的玩法都是夜爬，我们就来个不一样的，一大早开爬，门口跟一个老奶奶买了劳保手套，后来在爬山时候起到了超大的作用，一定要带手套哦！好多台阶都是手抓着铁链的。华山是24小时开放的，并且夜爬的人也好多，在众多山中票价算是很良心啦，180元半价90加10元保险费。检票入口处来一张，徒步道正式开始，加油。最开始前面基本没有台阶，全部都是向上的缓坡，不过走起来也一样很累，五里关是进入景区后第一个会看到的节点，又称为第一关。开始陆陆续续看到小卖部，还统一标记着编号，其实在景区里买水也完全ok的，价格很良心，随着海拔越高价格呈递增形式。华山的指示牌是我见过这么多景区里最好的，好强大详细的数据，让你对自己所在的位置一目了然，并且清晰到多少个台阶~牛逼。
3,苏苏,5,2019-03-23 14:09:33,冲着日出和五岳之首去的，夜爬华山，那真是人生难得的一次挑战。【抵达】大概晚上八点半的动车到华山，然后出租车20块两个人到玉泉院，被连哄带骗的逮到一家家庭旅馆休息，车上师傅说的半真半假，说华山山上零下十几二十度，夸张啦，就是为了让你在旅馆休息一下不知道中间有没有提成，反正100块一个晚上，价格可以接受，但是家庭旅馆你懂的，不能报太高希望，里面出来床、电视和热水什么都没有，不过确实洗个澡躺个1小时很是得到很好的缓冲的。【出发】11点出来吃个饭，买个水，11点半正式往山里面走。景区内水矿泉水5块8块的都有，自己衡量，能背就自己背，嫌重就花钱。【爬】2月来的，算淡季，门票100一个，不过景区不安检，火机是可以带进去的，可能是冷天不严吧。然后就是无止境的走，真的是挑战我自己的极限了，中途有两个时间点超累的，一个是1点左右，我走路都打瞌睡，然后路边买了15块一桶的泡面，休息缓冲了一下（有准备吃的，在另外一个人的包里，抛弃我先走了），还有就是3点的时候，困到不行，直接在休息椅上眯了有十分钟，不敢睡只是打了个盹，停下来风很大还是有点冷的。【四肢爬】中间有一段自己高估了自己，有两条路，一条近一点，但是很陡很窄，全靠四肢爬，一路完全是凭借着老娘走都了走那么久了，不到顶就回去多丢脸，就是走十步休息一下，慢慢挪上去的。刚开始路边很多雪还玩一下，后面没有气力了。【到顶】六点半到的金锁关，真是爬了一夜啊，然后在休息一下，因为提前看过，日出时间是7点40，就不是很急。【看日出】缓冲了一下，在往上走，金锁关到看日出的地方大概还有走20分钟这样，所以7点左右到顶，不过很可惜，这次灭有看得上日出，没开始就结束了，佩服旁边背了无人机上来的小哥哥。【鹞子翻身】太商业化了，没有攀岩的乐趣。可惜长空栈道不开，下次有机会再来。【下山】那个腿，酸爽得感觉都不是自己的，下山坐西山索道，刺激，那个山风很大，呜呜响，缆车都在晃，十点下来，看到从西山索道上去的人超多。整个下来还是很好的，很不错的体验，我想以后已到什么事情我都会回想起来这次的爬山，山再高，往上攀总能登顶，事情再多，慢慢做，总能做完！华山日出，长空栈道，下次再约！拍摄技术有点渣~
4,奇葩葩snail,5,2019-07-24 21:53:33,"我怕往后没有体力，把 华山 置顶了......毕竟是五岳（东岳 泰山 海拔1532.7米、西岳 华山 海拔2154.9米、南岳 衡山 海拔1300.2米、北岳 恒山 海拔2016.1米;、中岳 嵩山 海拔1491.71米）之一。注：千万不要第一天去 华山 ！！！！之后会很惨痛...看攻略的时候，大家都是买完票坐免费的大巴到一个公园--玉泉院门口，然后开始登山。湘子庙打车到 西安 北站（RMB36），路上遇到洒水车我说难怪 西安 这么干净，师傅说去年雾霾重，停了所有地铁和大工程修建；动车到 华山 北站（RMB54.5）， 华山 北站门口有免费公交，有十元一个人的大巴，我们两个人打车也是RMB20。出站有卖手套的两块、三块、五块不等，开始不屑，等后来腿抖铁链凉的时候真的像亲人一样啊....司机介绍一天时间西上北下最好坐缆车（来回RMB220）,坐大巴到半山腰（来回RMB60），门票淡季1-3月100/人，旺季3-12月180/人。司机说这样最慢最慢6个小时也下来了，呵呵，我们俩花了8个小时，哭...五个山峰至少五处“ 华山 论剑”的石碑，我也是呵呵，南峰下来路过一个空中栈道，实在没勇气，站一边抖得不成样子只能拍个照返回来了。山上很多猫猫，听说给啥都吃，我们带的芥末的花生豆它就不吃...听说每个人至少三瓶水，可能是因为冷，我俩一人一瓶还没喝完，高处不胜寒，该保暖还是保暖，三月初 华山 的雪还没化。"
5,踏 雪,4,2019-08-23 22:07:09,从西安到华山还算方便。最方便省时的，首推高铁。西安 北-- 华山 北 二等座59.5元。从西安北站出发，到达 华山 北的火车，每天运行好几列，华山 北站出来后，有公交1路（免费）直接开到 华山 脚下的游客中心，全程耗时大概在20分钟左右。如果不选择公交，也可以拼车，一车20元（不打表）其实从 华山 北站出来到 华山 游客中心，全程5公里左右吧！爬华山真的很累，尤其是一天之内要走完五峰。我是西峰索道上，依次游览西峰（看日落最佳）--南峰（长空栈道）--东峰（鹞子翻身、看日出最佳）--中峰--北峰，再有北峰索道下。全程控制时间在6-7小时。第二天，腿不是自己的了~
6,Panda Great,4,2019-02-26 20:15:52,"文笔不是很好。简易说说爬华山的攻略。个人建议，喜欢看日出云海的可以选择夜爬，如果体力倍棒的伙伴，预估五小时可以到达西峰。不算游玩时间哦。里头有两个比较刺激的项目,就是鹞子翻身，长空栈道都是需要排队，限流的，每次都限制了人数。华山风景确实独邻风骚，赞不绝口（本人去够不封）。如果不看日出的话，可以选择徒步上山，西峰索道下山，这样是最理想的，什么风景你都可以看到。需要注意得几点是:1.网上订票的，全部需要在游客中心取票（包含索道，进山门票，索道巴士）。2.登山口和游客中心有2.7公里，期间有来回免费巴士。3.记得吃早餐上山。进山门票可以通过我提供的图片购票，这是他们。官方的可以直接。刷身份证进大山。"
7,Tina,5,2019-07-03 19:51:17,我订的索道线路是西上北下，主要考虑从华山的西峰到北峰是一路向下的线路，能省力些…但站在过来人的角度看，这个决定一看就是经验不足…在登华山的第一步，你便会看到一个大牌子，上面温馨提示着：走路不看景，看景不走路！换成导游的话就是：爬山不玩手机，玩手机不爬山！倘若您非要边玩手机边爬山的话，呵呵…画面太美…自行脑补！华山西线索道的索道口位置较高，在进入索道口之前要攀登一段很高的阶梯，也可以坐侧边的滑道上去，30元一位。西线索道距离较长，沿途高而险峻。进入缆车，开始长达20多分钟的惊险之旅…看了看导游给的路线图，算了算导游留给我们的爬山时间，又结合了一下我自己的爬山速度…等我爬遍华山五座主峰，怕是要明天才能下山…这不行！明天还有明天的行程！感受着强劲大风刮下来的阵阵白雪（直往我脖子里钻），我毅然决定，放弃登五峰，我要从所站之处，一路下行，直接到达北峰，坐索道下山。你们可以嘲笑我，但事实证明我的决定是明智的。不断的下陡梯，膝盖真的很不舒服！西上北下的线路其实并不科学，看似一路下行很轻松，实际上在不断下山的过程中很损伤膝盖的！正所谓：上山容易，下山难！如果您是自由行，那我还是建议您选择北上西下的线路比较好！！！北坡多为背阴面，石阶上有很多冰没有化开，脚下滑的很！！务必要一步一步慢慢下！！据山上的工作人员说，他抽完一支烟的功夫，已经从这里滚下去3个人了…
8,nancy,5,2019-08-19 15:36:20,建议：考虑清楚自己体力是否可以 我这次爬的全程是6个小时，还算是比较快的，要预留好时间出来。我这次选择的是徒步爬上北峰再到西峰坐索道下山，越来越陡……其中会经过千尺㠉和百尺硖，简直让人崩溃的那种，而且还是连在一起的，让你以为“终于爬过去了”之后发现“怎么还有？？爬山一定要有体力相当的小伙伴，要不然就太容易放弃啦，如果以后再来，估计我只想坐索道上再坐索道下，太累了，因为实在太累了，所以没去东峰和南峰 ps.爬华山前最好提前锻炼一下，我觉得我这次爬那么久华山，第二天腿竟然一点都不酸是因为我之前一直有在跑步
9,品曦13,4,2019-02-22 20:04:40,我们到景区已经中午了，食物一定要备足，最好是能发热的，方便食用的，而且要是硬货。爬山的体力消耗实在太严重了，景区有免费的大巴可以送过去，爬山可不是什么开玩笑的事情，上到海拔高点的地方，温度分分钟急降。吸取了4年前在峨眉山顶冷到发烧的经验，这次保暖措施做得非常足够，衣服、帽子和阳姐姐爱心手套准备齐全。阳姐姐还提醒穿了速干保暖衣，这个在后面确实是非常有用。）可能本来就是淡季再加上我们上山时间比较晚，一路上都没看见几个人，开玩笑说承包了整座山的感觉。一来就感觉到了爬山的艰难，路陡而窄，时不时有北风吹过，四处寂静无声，全部注意力都在爬山上就会显得路途格外遥远。爬了二十分钟就不行了，在路边吃点零食，不知不觉就走了好长一段路。气喘吁吁汗流浃背竟然仅仅走过了最平缓的一小段路，真的心态崩了。（而且最可怕的一点是，山上你走着走着就会出汗，你一旦停下来又会超级冷，这是我们适应天气的一个过程啊。）但是，现在下山也太怂了，只能望着这高耸入云的悬崖峭壁，两人对望一眼，咬咬牙继续走了，在这寂静的山谷里，走走停停到了下午五点，饥肠辘辘又寒风袭袭实在是条件艰苦啊），在这寒冷的冬日，四下无人的山谷，前面是陡峭的悬崖峭壁，但是也不能久久停留，因为一停下来身上出的汗就被风穿透很容易感冒，爬的过程完全不敢往下看，只要一放手就会完全往下倒，真的终于知道为啥险在华山。天色也越来越晚，不知不觉就到了晚上，我们开启了夜爬模式，从路边小小的灯光下看到竟然有小小飞舞的飘雪，甚是兴奋。我们还没意识到明天还有更大的惊喜迎接我们。（天黑了之后我们起码还爬了超过2个小时，这2个小时现在描述得轻描淡写，可当时对于阳姐姐和龙哥哥来说实在是一个煎熬。天气越来越冷，前路黑茫茫的，身体经过6个小时的攀爬已经快要到体力的极限，还不知道得爬多久才能到，没有见到期待的日出，却意外见到了飞扬的大雪。华山已经白雪茫茫，警卫们在帮我们扫着地面的雪，怕我们滑到，真是谢谢他们了。
