,用户名,评论星级,评论时间,评论内容
0,暴走蜗牛,3,2019-03-11 18:00:12,没啥好看的，自由行的，整个园区只有那个西安事变12，12的节目有必要看的必要169块门票。兵鉴亭没有必要上去，20块钱观光车上去，看个亭子后悔到爆，没有拍到照片就立刻坐车下来去排队看表演，一定要坐中间第一排，我是坐的第一排山下景色不错可以拍照，没有上去骊山上。该花的钱不要不舍得，没必要去的不必要花的不要花。还是导游讲解很重要的……
1,雨昊,3,2019-02-13 12:42:13,"唐华清宫，是唐代封建帝王游幸的别宫。后也称""华清池""，位于陕西省西安市临潼区。包括原骊山国家森林公园，与颐和园、圆明园、承德避暑山庄并称为中国四大皇家园林。安史乱后，政局突变，华清宫的游幸迅速衰落，唐朝以后各代皇帝已很少出游华清宫。后历代皇家有维修，到解放前已是汤池寥落，宫殿萧疏。华清池，解放后人民政府自1959年起进行了大规模的扩建。"
2,Mr Lee,3,2018-11-25 19:19:46,和秦始皇兵马俑挨着，两个景区可以安排在一天游览。七分听，三分看。因为就几个泡澡池子，还没有水。因为华清宫和兵马俑离市区较远，所以我们从蚂蜂窝旅行商城上买了个一日游的团。很规范，统一旅游大巴，将散客统一分配至各分团，三环内接送。华清宫里有个针对西安事变的演出《12·12》，个人观后感，表示不推荐。一个小时时间，不如买辆电瓶车的票，去骊山上看看，看完演出就直接下山了，没机会去山上看看。除非对这段历史特别感兴趣的，其实这段历史在各大抗战剧中都可了解，可看看电视剧《少帅》比这个演出讲的详细。
3,不带剑的剑豪,3,2019-06-23 19:15:40,位于临潼，离秦始皇兵马俑博物馆不远。是一个以华清池（杨贵妃）以及西安事变混合在一起的一个观光点。感觉一般。
4,Yvonne,3,2019-05-08 18:06:03,华清池没来过的话，可以来逛逛，如果没有讲解员，就是几个池子然后爬爬山，跟团来的话，虽然导游会跟你讲解，但是同时也会叫你加钱买第二道门票！！西安事变！169一个人，灯光舞台效果是不错，但是总体很不值很不值，进来之前还以为有个地下城可以闲逛，其实就是舞台表演，讲西安事变的过程。再来就是上骊山，电瓶车20块一个人，上山之后还要爬一段，到达兵谏亭，就是爬爬山走公园看看风景。自由行可以在往上爬，听说上面有个求子的庙很灵验。
5,和尚,3,2020-01-22 17:19:50,重在历史文化，故事很多，但风景一般。主要是几个池子、西安事变遗址，还有山上的老母殿。
6,水瓶怪阿姨,3,2019-05-05 09:14:42,华清池和西安事变遗址连着呢，看完几个池子之后，可以登骊山看兵谏亭，其实就是个亭子。华清池就是几个大池子，听一听典故比看池子好。
7,fincen,3,2019-05-01 22:57:12,干枯的池，也不知道是不是当年贵妃沐浴的地方，感觉5a景点很一般，靠着历史出门
8,catherine,3,2019-04-06 20:35:17,华清宫没记错的话就是当时的皇帝与后妃洗澡的地方
9,张麒麟丶,3,2019-04-01 14:04:03,华清宫是唐代帝王的别宫，背靠骊山，后来因为温泉著名，唐玄宗和杨贵妃当年都在这地方泡温泉，后来中正先生西安事变时也是在后山被抓，建国后周总理也在这泡过温泉。门票150，学生票75，个人认为：就算是75的学生票也实在是太贵了。
10,阿紫,3,2019-03-31 21:21:14,去的那天人太多了，基本没看到什么，只记得导游说这是谁谁沐浴的地方，那是谁谁沐浴的地方，等等。
11,本座无忧_,3,2019-03-30 16:31:39,春寒赐浴华清池，温泉水滑洗凝脂。
12,靖哥哥,3,2019-03-25 19:14:33,还行吧，景点本身没什么可看的，听导游讲还有点儿意思。
