,用户名,评论星级,评论时间,评论内容
0,马踏东胡,5,2019-04-28 12:21:01,这里曾是中国古代最盛大的温泉宫殿建筑群，兴于唐代，也毁于唐代，现在的样子是建国以后重修的，属于现代仿品了。各个汤池照理说都是和天上的星象相对应的，比如说最早唐太宗李世民的是对应紫微星，自上而下的顺序，汤池里的水也是通过水道相互贯通的，可见当时皇家的生活品质。这里也诞生了杨玉环和他老公的爱情故事，并由白居易先生写了一篇著名的《长恨歌》，到现代，这里只要不是天儿太冷，晚上会有两场同名也是根据这个古老故事改编而成的露天舞台剧，全程一个多小时，无尿点，推荐一看！
1,豆子luka,4,2019-05-15 12:17:38,重点!!!索道乘坐上骊山的地方在华清宫外面！！在外面！在外面！！！重要说三遍！！各种攻略都没写！！要上骊山就先坐索道下来再逛华清园！！！！作为西安的标志性景点还是值得一去的，毕竟是唐代文化的标志地。我们是在马蜂窝上买的旅游产品，门票+骊山索道上行一人122，比现场门票120，索道上35，便宜了很多。但是不推荐上骊山，浪费时间不说，没什么有趣的景点。在华清宫可以看各位古人的“洗澡池”，哈哈哈。以及玄境长生殿6D电影，其实效果不是很好，上下四层的仿古建筑，每一层放一段小片子，表演形式还是不错的，但是故事情节需要推敲，总觉得帝王的爱情不应该那么emmm怎么说 那么平庸，跟着妃子吹吹打打=-=！ 不是很理解。以一个女人结束战乱也是很扯淡 另一方面，在华清宫可以看到蒋介石曾经居住、工作的地方 一个旧址
2,颜丑文良,5,2019-05-15 12:36:17,华清宫自古以来就是皇家游览沐浴的胜地，据说曾经是杨贵妃沐浴的地方。相传西周的周幽王就曾在这里建离官。·这里遗留有比较完整的周、秦、汉、唐、明、清等历代文化遗址、园林景观、古建筑及古树名木等文物资源。·尤以唐明皇与杨贵妃缠绵的爱情故事和震惊中外的“西安事变”而蜚声天下。 秦、汉、隋各代先后进行修建，到了唐代又数次增建。电话029-83812003网址http://www.hqc.cn/用时参考1-3小时交通公交：市区乘坐游5(306)路或307路公交在“华清池”站下车步行即到。门票普通票:120人民币 (1月1日-12月31日 周一-周日)半票:18周岁以下、本科及本科以下全日制学生持学生证免票:身高1.2米以下儿童、65周岁(含)老年人、享受国家特殊津贴及省级以上突出贡献的专家、劳动模范、现役军人、残疾人及残疾军人持本人有效证件开放时间07:00-19:00 (3月1日-11月30日 周一-周日)07:30-18:00 (12月1日-次年2月28日 周一-周日)
3,tsavo,4,2019-05-17 14:03:19,华清宫在西安城东60里，早在先秦时期，就有王公贵戚在这里建离宫别院。很多的历史故事都发生在骊山和华清宫，景区内除了众多宫殿、温泉和御汤遗址外，还有长恨歌等文艺表演，水准相当高。一般游客只能参观景点，要泡温泉必须入住里面的酒店才行。
4,夜空中最亮的星,4,2019-04-02 21:59:47,昨天去了华清宫，真的感觉不值票价，感觉徒有虚名，名气高，但没什么好看的，除了皇帝沐浴的池子还留了一丢丢的水以外，像贵妃的海棠池别的什么的全是没水的，干的。为了更好了解兵马俑，华清宫，特地报了一日游的团，后来才被告知华清宫里面有个西安事变演出，说都要看的，要169元，感觉深深的坑啊。大家都去看，不去的话就是等人家一个小时，所以也跟着去了，舞台搭建确实是一绝，演出形式也比较特别，总体还行。现在华清宫，主要看老蒋被捉，西安事变，而不是真正看以前皇家沐浴的。玩下来感觉不是很好
5,文刀水羊,5,2019-07-21 15:06:25,一段爱情，一首诗，一对男女。杨玉环生得美丽动人，很自然的，注定一生不会平凡。十七岁时，就被寿王选中，嫁入皇室。几年后，寿王的母亲武惠妃去世后，唐玄宗内心痛苦焦虑，偶然的机会，惊鸿一瞥窥得儿媳杨玉环的容颜与丰韵，阅女无数的唐玄宗顿时一怔，遂茶不思，饭不想，魂牵梦绕。于是，唐玄宗将杨玉环接到后宫，册封杨贵妃，同时为寿王纳了新妃，横刀夺爱，儿媳就这么成了媳妇。相差30多岁的老夫少妻开始了儿女情长的生活，两人都爱音律，心也相通。虽是他们是帝王与妃子，但日常生活中，更像一对恩爱有加的夫妇。杨玉环爱着李隆基，她也希望李隆基把所有爱给他。她爱吃，爱玩，爱享受，爱发小脾气，喜欢被哄着，被捧着，天真无邪却又风情无限。而李隆基享受着这份糊涂的爱，甚至不顾一切，开辟几千里贡道，只为他的小女人能吃上一口新鲜的荔枝。华清池里，它们共浴，鸳鸯戏水。只是他是帝王，她是妃子，注定不能像富家翁和少奶奶一样嬉闹终生。安史之乱爆发，狼烟遍地、万马奔腾、杀声如潮。在马嵬驿，刀光剑影下背后是生离死别，杨贵妃香消玉殒，唐玄宗黯然神伤，而唐肃宗则在血腥中崛起，一路向北，走向历史舞台。曾经在华清池里嬉戏的两人，绝不会想到，这场海誓山盟的爱情，结局竟是如此的落魄与凄凉。
6,陈威,5,2019-08-22 09:49:14,华清宫始建于唐初，背山面渭，倚骊峰山势而筑，规模宏大，建筑壮丽，楼台馆殿，遍布骊山上下。唐玄宗执政以后悉心经营建起如此宏大的离宫，他几乎每年十月都要到此游幸华清池和骊山现在已经合并为华清宫-骊山景区，门票120元/为，我们去的时候华清宫正好还有门票优惠，票价是108元/位。另外骊山索道票单程30元/位
7,karenluna,5,2019-04-01 13:52:24,春节除了市区，在不远处临潼区的华清宫，同样也被各种精致唯美的花灯所装点着，浓浓的节日喜庆的气氛，在踏入园区的那一刻便迎面而来，是个不能错过的春节年味好去处。不过春节，这里的游客众多，之前在脑海中一直向往的小桥流水间的梦幻人像只能破灭。好在华清宫中楼阁错落有致，步道蜿蜒曲折，用镜头躲避些游客还算易如反掌。换上简约的汉服走在其间也并不违和。天色渐渐暗了下来，华清宫内的灯光秀则在不知不觉中渐渐开启。宫灯点亮、彩灯璀璨，作为背景的骊山也被装扮得闪闪发光，真可以说是水天一色，宛如让整个宫殿都穿上了华丽的外衣，炫彩夺目。其实华清宫的灯会并不是第一年才有，各个殿宇上都挂上了红彤彤的大型灯笼，黄色的花型吊灯也把蜿蜒的长廊映衬得更加艳红。立式的唐式宫灯代替了园内原有的路灯，让人宛如走过穿越回盛世的隧道，梦幻又神秘。而华清宫内让人最印象深刻的便是在长生殿前的芙蓉湖上那组 “游龙戏凤”的动态彩灯了。以为这就是灯会最精彩的部分，没想到当音乐想起，九龙湖上长恨歌的舞台突然灯光璀璨光彩照人。这个高科技的舞台可谓是蜚声内外，早就听闻华清宫的《长恨歌》大气恢弘、震撼璀璨，精彩的演出更是一票难求。如今看着眼前的盛景，不由得发自肺腑的感慨，真是太震撼了！巨型的史实投影以骊山为背景，星辰闪闪皓月当空，简直就是一幅3D立体山水画。而舞台两侧的激光柱在动感、热闹的音乐声中挥舞着，引得台下的观众们不由得一同跟着音乐舞动，犹如一场大型的蹦迪广场。从没进过迪厅的我，见到如此的阵势，也被感染，好想放飞自我，走进人群中一起狂欢。白天还在遗憾冬日里的华清宫并没有想象中的那么唯美，但此时站在这个已经嗨翻的新春灯会，却超级庆幸。感觉是在西安过年的这几天里最最开心的时刻了。要问春节西安哪里最有年味，华清宫是个绝对不容错过的地方。
8,Leona麻,4,2019-03-24 05:58:56,春节去没有长恨歌的表演，略遗憾。请了讲解员还稍微听的有意思些，不然就是看几个汤池子哈哈……除了唐代宫殿原址外，景点里还有西安事变里蒋介石当时逃跑时住的五间房。没有上骊山。下图中的亭子是封起来的，上不去，是杨贵妃当时洗完澡晾头发用的。
9,杨三岁,5,2019-03-23 10:30:09,我觉得一定要请讲解!!!没有讲解就是走马观花，看什么都不懂，浪费时间和门票，讲解拼团最实惠，1-5人收费100块，自己一个人也是收一百块，5人一齐就人均20，最好避开中午吃饭时间过去，因为那个时间段很难拼成团讲解员会给你发这个机器，带上耳麦就能听到你的讲解员讲解，以前就是蹭导游也能听到讲解，现在是每个导游都有自己的专属频道，讲得很小声，所以蹭导游还不一定能听清。杨贵妃沐浴更衣的汤池，以前在书上看的图片觉得汤池很小很小，我就想着这么小，人是怎么坐下去的??其实不然，到现场看实物还是挺大的，拍出来显得小而已华清宫出口的位置有文创店，各种各样的文创产品，琳琅满目，去逛一逛买点东西回去送朋友或者做纪念也是挺好的
10,冒险家朱家圻,5,2019-03-20 12:03:49,整个华清池景区还是蛮大的，给我的感觉就像是皇家的休闲度假山庄，古时候皇帝累了想要放松一下，调节下身心就带着一众妃子去泡个澡住个两三个月，这里最出名的应该就是唐玄宗和杨贵妃的故事还有西安事变了吧~  景区了好多房子和泡澡的池子，看来古代的皇帝和妃子是真的会享受啊！只不过现在的池子并没有水，反而里面扔了很多的钱，像是一个个的许愿池~ 墙上还挂有壁画记录唐明皇和杨贵妃缠绵悱恻的爱情故事。 
11,Jocelyn,5,2019-03-19 18:42:00,我们莫名其妙的还请了个导游解说（难得财大气粗一下），导游还挺好，有给我们优惠一点点。这里晚上会有《长恨歌》的表演，超想看的给我的西安之旅又添了一笔遗憾!门票对我们来说还是有点小贵的，并且导游说不一定还有票。一趟听下来，我理解的华清池就是当年皇帝和妃子们泡温泉的地方，真的很奢侈了。这个池子的水就说是当年泡的那种温泉水，旁边一个导游说洗了美容的呢。
