,用户名,评论星级,评论时间,评论内容
0,关于你的回忆,2,2019-01-17 23:43:44,现在淡季，门票120，在评论里看到许多不推荐的，但想着来都来了，还是去看看。真是大家说的那样不看后悔，看了更后悔。进门请了个讲解，带逛几个古代洗澡池，平常人就看不出什么稀奇的，讲解的说杨贵妃和皇帝那个是玉砌成的，而打磨就失去了价值，所以人们看着就像普通的石头。我就觉得是普通的汤池子😂主要还是背后的故事吧，不过我觉得可以网上了解，网上看图，真没必要花这个钱，旺季更是，进去排队，出来排队，真是找罪受。从小在山成长大，又见过桂林的山水，以及登过峨眉山，又怕去兵马俑时间不够，就没在上骊山。华清宫门票已经包括登骊山的票价，坐索道单程另收20元。
1,小时候✔,1,2019-02-02 12:20:09,这是一西安导游的朋友圈，刚好这批游客一朋友加过他，文章透露出了一股鄙视味道，还有金钱味，嫌弃游客人均消费不到一百没有提成拿。啧啧啧。。。。这导游厉害了点赞点赞
2,银发魔男,2,2019-02-02 13:35:59,华清宫这个景点应该是本次旅行里最坑的一个景点了。建筑都是解放以后新建的，完全一个现代新建景点，门票居然120，我觉得也就值20。温泉倒是真温泉，可是泡一下脚就要50，而且还是在公共的池子里泡。大门口儿和景区里大量的导游拉客。本来到这里来是想感受一下杨贵妃与唐玄宗凄美的爱情故事和 西安 事变的惊险场面，可是现实是整个景区充斥着浓浓的商业气息，空气中散发着一股铜臭味儿，以后不会再来了，也不推荐来。
3,英国病人,1,2019-07-13 01:11:55,景区建设好像一坨💩 太差了 没见过这么差的5A景区
4,我是张小瑶🍓,1,2019-11-10 10:32:57,特别不推荐。谁去谁后悔，就是几个土坑，简陋到不行，没什么可看的。
5,Devinlf,1,2019-05-25 22:11:14,除了垃圾我无话可说。粗制滥造，简直就是公园水平，居然120门票。里面的水也超级贵。可以说是我近年来国内大景点最垃圾的一个。非常不推荐。
6,语微,1,2019-05-25 23:36:51,池子是真的 修池子的砖 都是新的。房子都是新修的。红色大柱子的唐代建筑。您真看得起唐朝的生产力。
7,lilyli,2,2019-05-26 16:10:02,华清池就是一个土土的池子。。真的没什么好看的
8,大大大大大大 金鱼儿,1,2019-07-08 11:15:50,不是说2019年3月一号开始退伍军人免门票么，跟我战友过去售票口说他们不知道，根本就没有这事，新闻都报道了
9,马蜂窝用户,1,2019-06-22 18:37:06,不好玩，基本就看以前贵妃洗澡的地方，有一个好看就是西安事变的发生地
10,mongaiham,2,2019-10-19 17:13:37,华清宫，唐代君王的别宫，又名华清池，以唐玄宗与杨贵妃的爱情而闻名，位于西安市临潼区。去过的朋友都跟我说华清宫不咋样，就晚上的长恨歌演出好看，偏偏我们去的时间不太对，表演时间好像只有4月到10月（具体要查一下，票价三百左右）。只是逛了一下华清宫及后面骊山的西安事变遗址，票价120，个人觉得真的很不值很不值！就是一些现代造的仿古建筑，相当普通，唯一的价值可能就是背后的故事了。说几点1.兵马俑和华清宫在一条线上的，两个景点选择一起游览合适，一个白天时间差不多。我们是在火车站坐的旅游专线大巴车，元旦节人也不算很多，一人一座，票价七元，售票员会给你大概讲一下这两个景区，以及如何坐车，这一点点个赞！另外，我们一路上都有拉人坐车的，以防被骗，还是到指定位置坐大巴吧。2.有一个6d的演出，内容是唐玄宗和杨贵妃的爱情故事，说是斥资多少多少打造的，其实厅特别特别小，也很简陋，最多容纳三四十人吧，免费，可以看，车上售票员会介绍。3.门口有很多导游，可以拼，导游一个好像一百，但是个人觉得没必要，我在携程上买的华清宫讲解，两块钱，每一个景点都有一个录音，还是比较划算。4，游览的时候仔细点，很多很不起眼的地方，如一个小凹地，可能就是杨贵妃洗澡的地方。总之，虽然有心理准备，但还是很失望，不过去西安的人都会去这打卡吧，毕竟地标性景点
11,Snazzy,2,2019-06-17 20:17:37,几个大坑，还是不要去了，说是杨玉环洗澡的地方。有点无聊
12,柒爷睡醒救世界,2,2019-09-27 16:58:50,就是几个池子，因为跟的一日游团，才过来看看的。真的没有什么太多历史的东西；兵谏亭也就这样，没有太多的内容。唯一值得推荐的就是出馆前的文创品店，超级好兜！而且物美价廉，比起陕博的要上档次很多。
13,鱼头小妞,2,2019-04-30 15:53:10,比较萧条，淡季还要120块钱，一个人打油也讲的不好，真的不知道大家来看什么所谓杨贵妃的海棠汤也是意淫罢了。真的不要来直接去看兵马俑就可以了。
14,绿叶,1,2019-09-27 17:01:24,说真的没什么好看的，建筑都是现代的，兵谏亭除了有历史意义外也没什么看的。
15,TROEADOR,2,2019-04-16 12:40:44,池子很脏 而且人很多 不太推荐去 想看的话可以在骊山上远眺一下
16,SaN,2,2019-09-27 16:50:54,千辛万苦在这炎炎夏日跟人家擠，都不知道看的什么皇帝还是宫女的浴池。。。。。
17,夏夏,2,2019-03-15 00:09:50,很一般，相当一般。就几个宫殿，几个池子，池子还没有水，就是个旱坑。可能文物古迹去的地方有点多，一点都不觉得惊艳。不推荐买票来。
18,友乾,2,2019-03-13 16:21:22,旺季人很多！为了孩子也就这么一次，本来是个历史文物，去了感觉那点仅有的历史文物被人工修建的建筑物包裹的里三层外三层！没有一点观赏价值！为的是让孩子在同学面前说我去了秦勇，具体看了什么，看了很多人！！人修建的仿古公园！人工痕迹加上子虚乌有的导游讲解，导游想象力丰富口才也很好！很羡慕西安人，吃老本！这才叫啃老！
19,li_wt,2,2019-10-19 17:14:17,如果是北方的朋友，值得一去。但是如果是南方的朋友，没有时间的话可以不去。
20,冬蕾蕾蕾,2,2019-01-11 14:55:19,华清宫不建议进去参观，目之所及能看到的能摸到的都是后世建的。150块大洋就为了看当年皇帝和贵妃洗澡的几个池子坑，太坑！就算还有 西安 事变的遗址，也只是看几个弹孔。还得花近100大洋请导游讲解才能看懂，真的很坑！
21,sjpe_mail,1,2019-01-06 14:32:53,杨贵妃和唐明皇泡澡的池子，体验：无聊又无趣。第二站，导游放我们自行爬骊山，时间为40分钟，一来想去看看烽火台，看来是无望了。快速的奔跑上山(不要坐导览车，骗钱的，就几步路)，爬到兵谏亭就只能快速返程。半程花了20分钟。体力不好的估计只能在山脚下吃吃喝喝了。游玩体验：门票150元，真心贵，骊山其实比华清宫更具可玩性。
22,画画,1,2019-10-19 17:14:28,自驾游提前做好了攻略，制定了兵马俑、华清宫一日游。在我心中，如果没有西安事变的话，华清宫就一无是处了！就是几个澡堂子！听园区讲解说，最近有翻新工程，本来建筑就都是近百年左右的，加上鲜亮的红漆，不能再辣眼睛了！珍宝馆小的可怜，要是可以对于西安事变有些了解你。盟誓台附近有一出明皇与贵妃的爱情剧目，也是大排长龙。西安事变影话剧院需要额外买票参观。一个字，坑。唯一好一点的就是文创中心，还是在坑钱。朋友们，听句劝，千万不要上当，门票钱车马费就都省了吧。下午去兵马俑，晚上七点多看一下《长恨歌》表演，该回家回家吧。
23,雲飞扬,2,2018-12-18 09:02:43,坑…还是坑……一个接一个的坑……典型的中国旅游里：“来都来了”系列~就是名人澡堂子…皇帝洗过的坑，贵妃洗过的坑，领导人洗过的坑…早知道真不用跟团游…
24,🍭🍬 蓝胖 子 🍟 🍔,1,2018-12-01 20:35:32,一点都不好，服务员的态度一点都不好，真的建议不要去
25,你算那块小饼干,1,2018-12-26 08:32:55,并不是所有人都不好，有些人真是狗眼看人低，我不买就送白眼?真的是大景区啊，呵呵
26,lalalala,2,2018-11-20 17:17:06,几个池子价格比兵马俑还贵，性价比太低
27,北极以北,1,2018-09-15 02:13:04,千万要牢记坐车只坐306。有的私车会和当地火车站客运相勾结，穿着制服欺骗你，伪装成公交，一上车就会变成旅游团，强制参团，让你付讲解费用等其他服务项目，并且从门票等方面多收取费用。进入华清池后不要乘坐缆车，费用是其报价的二倍。出门在外切记，不懂就问志愿亭，凡是主动与你攀谈者，无论是否身着制服，均有旅游陷阱等你踩。
28,晨曦,1,2018-08-27 22:16:01,亲们啊，感觉被骗到了，处处都是坑！坐索道上山，进口莫名其妙被拍照！没有任何解释，出了索道口告诉要三十大洋，😓！然后更夸张。一帮大妈拉着你说给你讲路线，完了让你坐电瓶车，一个人50！！！不坐就不告诉你真实游览路线！让我们沿着车道走就下山了！我们走不少冤枉路！得亏及时清醒！不然这一天就废在了这蜿蜒崎岖的车道上了！华清宫处处是坑！景点咱先不说好不好吧！大陕西人民的素质瞬间在心里大打折扣！骗纸无处不在啊
29,🎈 等 ❤ 下一个天亮,1,2018-08-26 23:11:20,说实话完全不值票价。感觉是150进去逛了个公园。园内导游讲解90。因为有许多小故事和讲究。所以这个必须要，去兵谏亭的20元电动车也就一小段，体力可以的不用。其他歌舞比如1212和长恨歌都另外要一百多门票。另外强烈建议不用去骊山了。除非你准备在华清宫玩一天。索道上下只到老母庙。中间有拉客50逛骊山，但是也不到烽火台。园子6点清场，索道6点下班。根本来不及。反正感觉不值票价。西安景点的门票都好贵！
30,米宝,2,2018-08-21 21:00:06,好假啊。现在哪儿还有什么温泉？！
31,爱旅游的je,1,2018-08-20 18:03:59,兵马佣150的门票，三坑教做人。待发掘，准备发掘，正在发掘。全是平地坑。到处卖东西。不过相比于华清宫，同样的150门票，倒觉得兵马俑是好的。还能看一眼石头人。华清宫真的是除了坑一无是处。这一星给的历史。
32,新,1,2018-08-19 23:56:46,好评难道都是拖吗，给一分，给的是历史。 真没什么好看的，玩的更别说，还说是杨贵妃洗澡的地方，附近小卖部的阿姨告诉我她小时候经常在华清池洗澡呢。都是坑人的。
33,劉小虎,2,2018-08-20 10:29:57,除了几个池子，其他的都是重建的，门票150，真的觉得太不值了
34,A🚘💺蛋蛋🍼,2,2018-08-19 14:58:09,给两颗星，这两颗星我是送给历史痕迹的。西安第一坑莫过于华清宫！我不知道怎么这么多评价说华清宫好玩的，还盛过兵马俑？都是托吧！？150一张门票，你进去就只能看到几个洗澡坑。其他建筑全是后来建的，关键还不给进啊。谁说长生殿能进的？我跟她拼了！自己进去是看不懂的，真的是3分看，7分听。导游讲解90，里面长恨歌……188～288不等。索道60来回……关键这个索道！骊山和华清宫是分开的！从外面可以直接上山！开车可以上去！而且，上面景点完全没看头！是当地人爬山的地方！你上了索道以后，就会有人拉你坐电车，35一个人还是什么。告诉你几个景点走过去很远，玩好需要一个半小时。我告诉你，骗～！自己走十几分钟结束了，那些景点你在门口都不会有想进去的冲动！ending！
35,丹小丹,2,2018-08-20 10:34:11,就是杨贵妃洗澡的地方 也还是去看坑 不过骊山可去 锻炼身体么。。。
36,PACTY,2,2018-08-16 15:39:47,没啥好看的，买门票进来看一个洗澡池子，也没啥特别之处，不推荐。
37,朱子弋,1,2018-08-20 09:03:45,敢说华清池是西安旅游必经之景点的人，其心可诛。什么玩意——掏150元，看几个洗澡的地坑？那坑内本来铺上蓝田玉汉白玉等，考虑到有被盗损坏风险，全撤了。坑外的地面上起了些仿古建筑，就这些了。借一句网友的话：西安旅游除了秦始皇兵马俑，其他都是坑。华山等著名景点没去过，不敢妄言。但是我对我这句话负责任，华清池谁去谁后悔！来到华清池门口，遇见这个喷泉合影留念就可以了，千万别逗留。忘了补充一句，夜晚华清池内的长恨歌不错，场面宏大，富丽堂皇，值回票价。
38,Breatherin,2,2018-07-27 13:13:54,就是几个坑 特别坑 千万别去 也不用请讲解....
39,晴羽漾,2,2018-07-20 19:54:05,完全是现阶段重新建造的，全有历史韵味，没意思
