,用户名,评论星级,评论时间,评论内容
0,exodus,3,2018-06-16 19:51:51,如果你对秦兵马俑感兴趣的，建议自己坐车过去，不建议报团。如果你还想把陕西东线都玩了，骊山-华清池-兵马俑跟团就好，就是时间很挤。以下说一下我自己去兵马俑的建议。关于乘车，可以到西安火车站坐游5，游5是白色的公交车，需要排队，第一个骗局：那些路上主动招揽你上车去兵马俑的都不要理，甚至有些骗子衣服上刺绣着安全员。西安啊西安啊，真的对你太失望了，路途真是各路坑。第二个骗局：好不容易排队上车了，车上列车员会跟你讲坐车的注意事项。反正你记住了，游5下车兵马俑的地方就是你之后上车的地方，路上主动拉你上车的都是骗子。到了临潼后，游5上来一个说义务讲解员，一路跟你说说兵马俑，华清池的故事，然后扯一下刘邦的鸿门宴，说什么大家都是汉人，那个景区讲解免费，建议大家先去鸿门宴，然后再去兵马俑比较合适。呵呵你大爷，真的差点被骗了，游5在兵马俑下车的地方就是鸿门宴售票处，你别听那个讲解员bb，直接往前走一段路就是兵马俑游客中心了。第三个骗局：兵马俑那里还有秦始皇陵，听说免费大巴拉你去景点，然后其他都是让你花钱的地方，因为我没去，具体大家可查一下其他网友对这个景点的评价。关于兵马俑，有3个坑，第一个坑最多人也是最大的，每个兵马俑都不一样。约6000多个陶俑。第二个坑的佣最为精致，但是很多都已经移除坑了。第三个坑的佣基本算是当时的作战指挥部。大家去兵马俑可以拼个导游，90-100元。也可以网上买个电子导游，或者馆内租讲解器。看完后要穿过一段长长的商品街才到达停车场，找到游5(306)回到火车站，这条线走高速，所以保证每个人都能有座位。或者坐307公交车可以去大雁塔景区，这条线不走高速，所以很堵车。再次强调一次，游5是白色的公交车！经过几天的游玩，对西安失望啊，政府不作为，景区到处都是诈骗的人。多留点心思。不然被骗去假景区太正常了。
1,冷风,3,2019-08-19 14:56:49,不看后悔，看了更后悔！一个人很难拼团，要等很久才有可能凑足人数。攻略都说最好请讲解员带着逛，但真的最好不要拼团请讲解员，请了讲解员就不能随心玩随意停留拍照，得时刻注意导游到哪里去了。人太多，不一会就会看不到人影了。最重要一点，做好排长时间队的准备，博物馆就那么大地，每天几万人流量。尤其节假日！！
2,猛犸,3,2019-05-02 19:10:27,这几个坑。。。这么说呢，可能真的是自己欣赏不来吧。但现在该景区给我留下较深印象居然是里面那几颗当时已全部变黄的枫树，在暖阳下金灿灿，甚是漂亮，以及在去往兵马俑路途中被司机大哥拉倒一玉店买了一个玉镯子，虽然自己也不是很识货，但真心觉得那个玉镯好看（准备回去送丈母娘的 哈哈）。
3,银发魔男,3,2018-12-21 11:06:31,秦始皇兵马俑位于临潼，离西安开车1个小时的路程。门票成人120一位，建议提前在网上买那种无需取票的，直接刷身份证入园，省去排队买票和换票的时间。入园之后就感受到了祖国人民对兵马俑的喜爱之情，那真是可以用人山人海来形容，连男厕所都需要排队。景区一共包括三个兵马俑坑和一座博物馆，参观的路线是：一号坑--》三号坑--》二号坑--》博物馆其中一号坑最大也最壮观，博物馆里的铜车马非常值得一看。一号坑，一进去就觉得特别的壮观。站在坑边望着这些兵马俑，想起小时候看过的《古今大战秦俑情》，觉得他们只是在沉睡，说不定哪一天他们就会苏醒过来继续保卫始皇帝。在这里要提示一下大家，兵马俑景区里旅游团众多，人流极其密集。一号坑建设展厅的时候，可能当初没有考虑到现在会有如此大量的游客来参观，所以展厅内的道路相对人流量来说十分狭窄，大家拥挤不堪，很容易发生踩踏事件，所以大家参观的时候一定要注意脚下，千万注意安全。而且部分游客的素质极其低下，为了看到兵马俑抢上抢下，一通乱挤，导致旅游体验很差。我个人觉得这里我只会来一次，以后应该是不会再来了 。
4,光阴过客,3,2019-05-25 22:09:24,说实话，有点盛名之下其实难副的感觉。首先限制游客距离，远远看上去兵马俑给人的震撼感不够。其次周边开发不好，尤其是卖玉的很多，感觉这么有名的国家级景点不应该是这样。当然这也是十年前的印象了，不知道现在如何。
5,本座无忧_,3,2019-05-13 16:26:42,秦始皇陵兵马俑，都是精雕玉琢，很有历史文化感。
6,丸子,3,2019-10-29 19:15:08,不建议来这里，其实西安博物馆很好看，里面的兵马俑感觉比这里的好看。
7,语微,3,2019-09-05 15:30:35,陈列的地方就在坑旁边 我觉得不如在建个陈列室。再把游览路线规划一下 只能单向单排行进 不能停留。这样快 安全。铜车马那的通风不好。臭。反正我觉得游客多带来的问题 其实靠规划设计都能解决。西安做的特别不好。
8,蚂蜂窝用户,3,2019-04-30 15:50:52,兵马俑本身是真的优秀，这没得说。但景区的管理真的太失败了。作为一个世界之知名的景区，你官方就不能开几条快线给游客坐嘛，还有更过分的是，我去景区设的请讲解的地方请讲解员，哪里的工作人员居然叫我去大厅里拼团（拼团按人头收钱，讲解的人可以挣更多），那你们景区关于讲解员的定价还有什么意义。你们的管理真的很失败，失望，生气。
9,文墨,3,2019-04-22 13:04:00,对于此类景点，明知见面不如闻名，但仍想看看瞧瞧，瞧完后，当然也是远偏离预期后的失落了；开放的区域很少，而且都是高度修复的展区，少了历史的斑驳，也就少了很多的同理心；如果不听导游的讲述，走马观花十分钟就可以逛完，听着导游的讲述，也多的飘渺，触动的只有那点点民族自豪感而矣。
