,用户名,评论星级,评论时间,评论内容
0,dadai313,5,2019-05-04 20:10:37,"51选择了去西安旅游，来西安怎么可以不去兵马俑Tips:一定要了解历史，一定要请导游讲解，不然你看到的就只是一个个坑和一个个陶俑。【序】因为是51前往，人多就不用形容了，人群推着往前走，但是只要你有耐心，还是可以挤到最前面看到清晰的兵马俑。停车场收费20，但是51期间通往停车场的道路非常堵，可以停偏远点，然后坐黑车过去。说是限流，于是在网上提前买好门票☞微信公众号:秦始皇陵博物馆或官方网站。直接刷身份证入园，但是节假日期间网上购票不能换纸质票，除非现场购票，打火机不能带，会有两次安检。【游】安检后，可以坐观光车前往观看，也可以步行，大约15分钟左右，检票后首先是1号坑。建议游览顺序1⃣➡3⃣➡2⃣➡博物馆，可以提前在官网上了解信息。1号坑最大，兵马俑最多；2号坑兵马俑很少，主要展现未挖掘状态,大多是土坡，还有一些展示橱窗，里面摆放几类典型兵马俑，比如高级军官佣，跪射佣，初级军官佣，让游客近距离观赏；3号坑最小，里面是级别较高的军官佣，还会展现一些战马、兵器。博物馆里有几大展区，展示了秦汉不同时期的陶俑，很值得一看。【叹】作为世界第八大奇迹，这座工程的震撼可想而知，每个兵马俑神情姿势都各不相同，发丝眼睛嘴巴都清晰可见，大小衣着按照官位级别区分。挖掘初期是彩色的，但是鉴于技术问题，才导致现在的模样，可能也是不敢再继续挖掘的原因。也不得不佩服古人完成这项工程的伟大，因为保存问题，现在我们看到的佣还只是极小一部分，还有很多在地下未发掘。也希望每个人都能爱护文物，不要去破坏。【结】不得不看的景点，虽然看了会觉得没想象中震撼。但是历史值得尊重，文物更值得保护。"
1,金哥铁马,5,2019-05-08 11:06:31,兵马俑是大年初三去的，就在火车站旁坐游5路（306）专线旅游公交车去的，不停的在发车，还要排队了至少一个半小时，只能说人太多！公交车上配有售票员兼导游，讲解了一些实用知识，不错，推荐坐这个车。车到兵马俑区域还有走一点路，我们先就走错了 走到出口去了，在入口购票，现场组合与另外一家三口六人请了一个导游，参观这类历史文化景点建议请个导游讲解。一路跟着导游走就好，最大的体会就是人多啊，关键景点导游都要求你要挤进去看，她在后面拿耳麦讲，你要是不挤，什么都看不到，第一眼看到兵马俑竟然什么感觉都没有，就和电视图片上看到的一样的，毕竟兵马俑知名度太高，早已神游过了……兵马俑这边游览过了有免费的摆渡车去秦始皇陵，其实没看头，主要还是需要先行了解一些相关历史再看效果才比较好。兵马俑是来了西安典型的打卡到此一游，不来总觉遗憾，看了也就那么回事。
2,Mr_衡少爷,4,2020-05-29 20:25:40,首先说交通：在西安火车站对面靠近古城墙的那个广场有直达景区的公交车306路（游5）（白色公交车一定记住！）暑假去的时候人特别多，会在广场上排很长的队。这时候会有穿蓝色短袖制服戴红色袖章的“工作人员”打着类似“队伍太长了，排成2排”或者“去华清池的在原地排队，去兵马俑的跟我走”的旗号（反正就是要你跟她走），千万不要上当，每次都会有一大波人跟着走。笔者也被骗跟着走了一段，路上会说要游客跟着导游走。笑话，公交车怎么会有导游！于是赶快回到原来队伍中去，跟着这帮人不知道会被拉到什么地方去，细思极恐系列。而且，正规公交车工作人员竟然对此行为视而不见，既不制止也不提醒，这点特别无语。306路公交车班次特别多，而且由于需要走高速，会保证每个乘客都有座位，票价7元一位。路上公交车工作人员会简单介绍一下华清宫和兵马俑两个景区的概况。据公交车乘务员说，由于兵马俑博物馆属于终点站，一般傍晚从兵马俑发车回西安市区的时候一般都会坐满，这样在中间站华清宫就不停了。可能华清宫也有单独回市区的车吧，由于没去，就不太清楚了。对于兵马俑景区：1、个人建议拼几个人请个讲解（90元/5人），不要去租用售票大厅里的自动讲解器（30元/个，押金100现金），那个讲解器基本上就是在三个坑的门口逼逼些百度百科都能查到的内容，讲解都是用的话筒和耳麦，不是传统的扬声器，相对来说讲解更生动活泼一点。2、景区人实在是太多了，西安暑假还特别热，本人差点中暑，游览体验很是一般。个人感觉现场看还不如上网搜。
3,猩猩游乐园,5,2018-09-30 15:06:30,我们是接近中午的时候到的，停车场有点满，不要担心，一路往最里面开，空位置很多，不用在外面层层绕绕的耽误。售票处排队的人不多，很快就买好票了，网上说需要实名制，售票员讲“只要钱，不要身份证”。进去后在检票口随机报了个讲解团，事实证明这是个失误。这个团一共8对家庭，大约20人左右，导览速度到不是很快，啰啰嗦嗦加上中间休息时间，也费了大概3小时。可是讲解水平很次，特别值得一看的修复好的兵马俑竟然完全跳过。幸好我之前来过一次，在导游开始忽悠购物的时候果断脱团，拉着队友又倒回去玩了一遍。铜车马展馆，前往不要只看了铜车马就走人。我去的时候正好有一个特展【穿越时空的邂逅，秦始皇帝陵与汉景帝阳陵出土陶俑展】，把兵马俑与阳陵汉俑放在一起展出，各位有趣。能很好的看到秦始皇兵马俑的细致与豪华。游览的时候，可以卡在不同的旅行团之间的空档，进行参观，不仅可以看得仔细，也可以顺耳听几句讲解。
4,大眼睛m_0,5,2019-08-19 15:43:07,秦始皇兵马俑博物馆一定要去！一定要去！一定要去啊！而且要赶在每天的第一波游人到达之前就去反正就是能多早到就多早到博物馆应该是8:30左右开门 此时前往完全可以站在第一排安静的欣赏文物大家一定要找导游 除非你自己就是干这个的通过导游详细的讲解你才能够了解这些兵马俑以及黄金马车背后的历史故事还有如何修复这些佣人 以及修复的费用如果你的导游足够渊博 也说不定会给你一些别人不知道的小故事携程报的半日游团 往返大巴车➕门票共175元/人
5,马踏东胡,5,2018-08-15 10:13:17,票价：旺季150元，学生票半价推荐游玩时间：(2~3)小时秦兵马俑坑其实只是秦始皇嬴政同志陵园的一个大的从葬坑，冰山一小角而已。而它的出土让现代的我们看见了大秦公司CEO当年是凭借一支怎样的军队吞并了其他6家公司。一号坑给我的最深印象就是震撼，尤其是从大厅外走进去，透过栏杆外的层层人群俯瞰整个军阵的时候，视角一下就开阔了：尽管过了两千多年已经残破不全了，可庞大的军阵仍然不失浩浩荡荡的威势——一股子叱诧风云、驰骋疆场的气势扑面而来！三号坑在一号坑的西北边，平面是“凹”字形的，南北两边各有一个面积大的房间，也就是后来的南北厢房，其实是兵马俑军阵的指挥所。里面有很多的陶俑，遥想当年，秦军的高级军事长官和他们的作战参谋们就是在这个办公室研究制定作战方案吧。坑里的车马房有一乘木质的战车，也就是指挥官同志的专用座驾，早就腐朽了，上面有4件陶俑，他们乘这样的专车视察工作。二号坑有待开发，通过勘测，其实是秦俑三坑里边内容最丰富、兵俑形象最好的一个坑。它是一个多兵种组成的集团军，有步兵、车兵、骑兵、弩兵等方阵组成一个大的军阵。除了三个俑坑，还有一个秦始皇帝陵文物陈列馆。里面有传说中的镇馆之宝：铜车马。按出土的顺序，这两乘青铜的驷马座驾分别是一号铜车马和二号铜车马，其实是一组车。当时的青铜器制造水平确实有限，它们没有做成当时实用车的大小，而是缩小了一半儿。原先是一前一后排着队放在一个木头箱子里的，后来木头腐朽了，上面的填土塌了，在出土的时候是各碎成1000+的碎片，后来是工作人员拼接起来的。通身都有彩绘，金银制的饰品大多在战马上面，屋里的光线还是太暗了，不得瞅。它们是明令禁止出国展出的，曾经在开世博会那会儿到上海出了趟差，过程中对空气湿度的要求很苛刻，温度高了青铜会生锈，低了彩绘又会掉落，不好伺候。一号铜车马有伞盖，下面是一个站立姿态的陶俑，车上还有他的随身装备——铜弩、铜盾和铜箭镞，他的背后还背着一把青铜剑，这哥们不只是个专职司机那么简单，还兼职警卫员啊。二号铜车马按今天的话说是两厢的，前厢空间狭小，是驾驶席，后厢空间宽大，是给乘车人坐的。高配，带窗，有3个，就像现在的窗子那样拉动，打开车窗凉快，关上能保温，也叫辒辌车。
6,豆子luka,5,2015-12-29 13:05:18,西安标志性景区。从西安火车站乘坐游5路公交前往，注意火车站有假游5路，注意辨别。国营游5路上售票员会进行讲解，要好好听讲，车站位置及车次时间、景区简单介绍售票员都会说清楚。先去华清宫，再去兵马俑。华清宫至兵马俑3元每人。 依旧是网上购票马蜂窝120，直接不用换票刷身份证可直接入，高峰期可以省很多时间。入内以后穿过一个小型公园到达中心景区，二次验票。可请讲解员，可手机关注兵马俑公众号，听讲解。按照1号坑，2号坑，3号坑，展览馆的顺序游览。时间约为2.5小时左右。出来后门口有各种兜售纪念品的大爷大妈，酌情购买，使劲砍价。一套小型兵马俑模型10块钱，马车10块钱。民族工艺品不清楚，使劲砍价！！！！注意了！！！！
7,颜丑文良,5,2019-04-29 18:32:18,是秦始皇陵园中一处大型从葬坑，以兵马俑为基础，在原址上建立的中国最大的古代军事博物馆。·共有3个兵马俑坑。一号坑是战车和步兵相间的主力军阵，约有6000个真人大小的陶俑。二号坑由战车、骑兵、弩兵混合编组。三号坑是军阵的指挥系统。·出土的兵马俑分为将军俑，武士俑，车士俑等。每个陶俑的五官神情各不相同。原本都有彩绘，但因火烧和浸泡，大多已掉色脱落。·铜车马展厅展出的青铜车马，使用了大量金银，制作精巧，被誉为“青铜之冠”，对秦代学术研究具有重要价值。电话029-81399127;029-81399001网址http://www.bmy.com.cn用时参考1-3小时交通公交：乘坐游5(306)、914、915路公车在兵马俑博物馆站下车步行可达。门票普通票:120人民币 (1月1日-12月31日 周一-周日)免票:65岁以上老人持证件、残疾人凭有效残疾证、中国现役军人（含武警）、军队院校学员、退伍老红军战士、革命伤残军人凭有效证件、16岁以下未成年、学生tips:门票采取的一票一人的实名制，所以建议预约购票，并且将身份证明随身携带好以便检票展开全部>开放时间08:30-18:00；停止售票时间:17:00 (3月16日-11月15日 周一-周日)08:30-17:30；停止售票时间:16:30 (11月16日-次年3月15日 )
8,夜空中最亮的星,5,2019-06-23 06:58:47,庆幸我来的是淡季，人没有像其他评论里说的那么多。为了看的更有意义，跟了团听讲解，感觉还行吧，并不是很出色的那种，但比自己看会好，不然真的是光看了。几乎历史书上都会出现的图片，但还是想亲自来体验下震撼，秦始皇真的是厉害，建造了这么庞大的地下军队，而且那时候的手工艺也真的是卓越，佣的穿着服饰脚上的鞋都是显示了不同的地位，导游说始皇帝13岁就想到要给自己建这个，伟人的思想还真是与众不同。毕竟是奇迹，虽然只是看几个坑，还是值得一看，最大的一号坑可谓气势恢宏。期待多开掘一点，多修复一些。
9,Ethan,5,2019-06-23 11:42:39,昨夜的一场大雪覆盖了长安城，给我们的兵马俑之行也增添了乐趣，今冬在天津都没迎来一场雪，居然在西安赶上了，实在让人喜出望外。惊喜之余也有烦恼，去往兵马俑的高速入口都堵满了，索性直接国道前往，慢慢悠悠的一路顺畅的到达了秦始皇兵马俑博物馆。十年前，曾经来过这里，但记忆已经模糊，所以还是满怀期待的，这次享受了淡季的门票价格，成人120元，小孩子不满16周岁可持身份证免费入场。实际上，博物馆面积不大，就是几个坑而已，不过还是要找个讲解员好一些，要不孩子们又要走马观花了。售票大厅周围的讲解员真是多啊，好多都不是博物馆的正规军，正规军平时100元5人团队的讲解，过年期间根本不执行，和其他5个人拼在了一起，200元的价格才能成行，特事特办，特殊时期想怎么办就这么办，这就是行情啊！秦始皇陵文物陈列厅，陈列厅共有两层。里面的文物很多，但最主要的就是铜马车，这铜马车放在当时就是劳斯莱斯级别的，只可惜后面的车已损坏，一会半会也修复不好，现在是件仿品。秦兵马俑壹号坑是最早发现的，当时的科技水平和保护方法都有欠缺，完全露天暴露的环境下进行的挖掘，结果出土的陶俑颜色退尽，但依旧是十分壮观。出土陶俑几乎都是残缺的，日后修复起来是十分的困难，这从另一点反映了当时人民的智慧，筑造出这么多形形色色的兵佣，每一个兵佣的脸居然没有重复的，更让人觉得不可思议！秦兵马俑二号坑对于文物的保护，没有技术开挖，还不如这样保护下去，要不本来鲜艳无比的兵马俑，又要变成现在我们所能看见的灰暗颜色。秦兵马俑三号坑三号坑是统帅一、二号兵马俑坑的指挥部，古代称为“军幕”。南厢房兵马俑之间貌似在商量军机大事，北厢房是祭祀的地方。
10,走自己的路,5,2019-07-04 23:31:05,秦始皇兵马俑被称为世界第八奇迹，来西安不来兵马俑总觉得有些遗憾，但最重磅的景点非此莫属，兵马俑和秦始皇帝陵联票门票淡季120，现在对外开放的兵马俑共计3个展坑，其中1号展坑规模最为庞大，2号展坑尚未修复，3号展坑规模比较小，距推测应该是指挥1号坑和2好坑兵俑的司令部。秦俑内可以拍照，修补及开发工作正在进行，因项羽火烧过秦皇陵，所以兵俑破坏比较验收，修复工作漫长。比较推荐去看
11,Fantasy,5,2019-04-28 12:31:50,兵马俑真是得了解很多内容或者请导游才行，博物馆公众号里面有很多语音讲解也可以听听学习一下，观看顺序先132坑，再马车那个馆。最后出来要走很久的路才能到门口乘坐接驳车到帝陵，这段路上都是纪念品店和饭店。帝陵的两个陪葬坑没什么东西，其实完全可以直接到帝陵的石碑处，听免费的导游讲解其中的历史故事。免费的导游讲解的还是很好的，值得肯定，但是在带到景区乘坐返回兵马俑接驳车的门口，非得要求从内部卖东西的店走一圈，里面有卖馆藏资料和玉石制品，这个体验虽然没有强制消费但是感觉不太好。
