,用户名,评论星级,评论时间,评论内容
0,蚂蜂窝用户,1,2019-04-01 15:38:16,为什么我会只打一星呢，只针对景区的管理，这是我去过的所有叫得上名字的景区里面管理最混乱的一个，我不知道是管委会的问题还是当地政府真的只有这个管理水平，我在景区一共看到了三个导游点，各个都说自己是正规的，每个看起来似乎也都是正规的，可到底哪个是，没人知道，刚开始说的五人之下一共90，后来付款的时候说讲解器也要单独收费，然后一直给你介绍各种所谓的特产，进入景区后就是说特别远要坐电动车，结果呢，最多走路几分钟就到。我是西安人，带外地的客人来，我觉得特别丢人。兵马俑管理混乱的问题说了多少年了，这就是整治的结果？好意思吗？
1,彼此.,1,2019-04-18 18:42:07,非常不好，人很多什么都看不见，全是人头，只能看人，虽然说西安是个好地方很美，但旅游景点都是人挤人，出现了很多失联，走失，踩踏事件，我的眼镜都被几碎了我差点扎到眼睛，这个我到没大事，假如说出了伤亡事件谁负责，我们都没走，都有人推着走。
2,廿三,1,2019-08-19 15:43:25,差评给主管单位史上最差管理方园区服务下三流
3,desperado,1,2019-02-09 10:51:28,很垃圾的骗钱景区，一不小心一千多就没有了。好好的历史古迹被一堆商贩子毁了
4,明的视界,1,2019-02-10 02:17:38,名声大，爱好历史的，可以来看一次，门票不便宜！
5,知白666,1,2019-08-19 15:43:32,节假日人实在是多，说是限制人流量，根本没限制，景点卖了票里面基本不管。进门之后，人挤人，基本看不到管理人员，进到场馆里面人就和疯了一样，完全没有秩序。管理人员基本就挺尸。投诉根本没人管你，抬杠一顿了事。
6,赵毅恒*何西的西*,1,2019-02-07 19:30:11,就是觉得太贵了，这种历史性博物馆，就应该免费。
7,马蜂窝用户,1,2019-04-19 08:26:54,十月一日准备去西安兵马俑，不知道能买到当天的票吗，谁知道给个说法👍
8,qzuser,2,2019-04-19 21:45:24,真的很坑！在博场馆微信公众号上预约的讲解，结果被跳单。事后投诉无门！
9,J乐猴,2,2018-11-03 10:30:49,到了兵马俑才知道暑期出行的弊端，那就是人多、车多，停车场不好进，买票得排队，进大门儿得排队，兵马俑的停车场是我见过的，景区停车场里比较混乱的，没有人员管理，没有行车指示。大家都用身体去占车位，也只能用这种方式，否则可能一个小时都找不到停车位，景区的工作人员说，他们这儿一年到头儿，从早到晚，都是这么多人。由于景区里人实在是太多，场馆里的空调根本不起作用，当天参观兵马俑时的气温，可能在三十八到四十度之间，兵马俑有一个铜马车馆在地下一层，里面人挨着人，人挤着人，空气几乎是窒息的。只有其中的一个馆的兵马俑大概有两到三排，看着还挺有气势，其他馆的兵马俑都是未开发，或者正在开发，或者暂时不开发的状态。个人感觉还是别开发了，老祖宗留下来的东西还是别破坏了。在一些宣传片儿里，在文章上看到的兵马俑和现实中的不太一样，总体感受，由于之前的期望值比较高，参观总体的感觉不好，体验感比较差，可能也是因为当天的气温高。总体感觉，差评！
10,郑洪,1,2019-04-18 18:55:12,十年前去过兵马俑，当时很满意。现在小孩七岁了，也带她来感受一下历史文化，停车场比当年大了不少，很多人。要吐槽一下解说，当年的解说很负责，讲的很到位，现在的解说还不如叫导购，基本的东西很多都不介绍，要问才说，先带你去买官方兵马俑商店，介绍商品头头是道。表示不买之后，就什么都不想说了，职业道德在哪里？以后不会再来这里了，还不如在电视上看
