,用户名,评论星级,评论时间,评论内容
0,AMO,3,2019-05-03 13:27:27,学校就在城墙脚下，所以去的次数比较多，晚上吃完饭，就去护城河边散散步，风景挺美的，空气清新，环境不错。如果你第一次来西安想到城墙走走，我建议你晚上去，晚上风景灯光很美，如果白天逛的话，挺浪费时间的哈。不如去曲江池遗址公园那边转转。西安市里的很多地方，都适合晚上去。南门11点左右会有人在那里唱歌。
1,christina88613,3,2019-04-15 17:27:51,因为晚上的航班要离开，所以10-12点去的西安城墙，很遗憾没上去看夜景，但是前一天晚上也在城墙底下走过，感觉很不错。城墙门票54元，可以一天内刷身份证重复进园。西安城墙很宏伟，保存的也非常好，我从南门上去的，本来想先走一走，累了再骑车，结果走了好久好久才走到下一个城门……各位伙伴们一定要先租车，哪怕推着走都行，但是大太阳底下走一个小时实在是受不了哇……
2,暴走蜗牛,3,2019-05-09 21:53:37,如果第一次去西安的要去逛城墙去南门登城墙，其实观光车还是不错的，自己骑车又累，城墙上面也没什么特色，观光车可以一站站算钱，全程120一人，一站30一人，四个门口每个门口算一站。城墙上没有什么遮阳的地方，比较平坦，第一次不懂在北门上的没有观光车骑自行车又晒又累没什么好拍照的地方，去到东门那边拍了几张顺便退车改坐观光车去的南门下的城墙，自行车单人45元，双人90元要押金收现金的。
3,走自己的路,3,2019-03-11 17:44:15,我不得不说对于像我们这种来西安旅行而时间不充裕的游客来说，去西安城墙真的没有必要去，第一城墙很长，需要耗费很大体力去走，城墙外侧高楼林立，对于我们长期生活在城市的人来说已经审美疲劳，第二除了城门处有城楼和箭楼外，城墙都一样很单调，城墙内侧也是现代气息与仿古建筑混搭，54元门票性价比不高，含光门有中国唯一的以城墙为主题的博物馆，可以感受下唐朝至明朝城墙的变迁史
4,木槿花,3,2019-03-03 14:45:30,趁着孩子寒假结束前去的，住在湘子门，老板说走几步就到了，恕我眼拙，开着导航骑着摩拜走了十几分钟，那个寒风那个吹呀，又转坐了两站公交，发现又回到原点，转了一圈一小时没有了，导航害人不浅，上到城墙已是17点了，华灯初上，攻略上说适合骑车游，我信了，还专门去超市买了两双手套，找了一圈都没看到有租车点，全是人，全是灯，幸好没有租到车，这个天真不适合骑车游，不然回去就得吃感冒药。因为开灯会，说的今年整个西安灯会花了几个亿打造，我真的欣赏不来，晚上城墙的风真的冷得可以让你怀疑人生，草草结束城墙之行，吃碗羊肉水盆暖和暖和。
5,独钓寒江雪,3,2019-02-18 20:43:24,又称西安明城墙，全长13.7千米，是中国现存规模最大，保存最完整的古代城垣。与平遥城墙、荆州城墙、兴城城墙等并列为中国现存最完好的四座古城墙。明城墙是西安历史最悠久的城墙，有着古老的故事......
6,耙笔石,3,2019-03-19 19:13:06,门票，晚上去的，沿着城墙走了很久
7,AnC,3,2019-07-14 08:16:30,推荐指数：3星！一句点评：体力好的可以去逛一圈景点门票：54元推荐路线：从含光门上，先参观城墙博物馆，再上城墙城墙全程13.7KMTips：1.城墙上观光车停靠站点：南门-西门-北门-东门，每站30，全程好像100？。2.城墙自行车，单人自行车45元/180分钟；双人自行车90元/180分钟
8,catherine,3,2019-04-21 22:57:34,古城墙曾经是战时保护家园的最后一道门，具有一定的历史意义
9,本座无忧_,3,2019-04-06 20:44:48,我不知道那个时候，我是否坐在城墙上，等着那个我心心念念的人儿归来。
10,去他的小饼干,3,2019-03-30 16:34:27,一千多年的城墙，建议骑自行车。
11,Monica Monica,3,2019-03-06 17:48:26,没必要上去 在下边看一圈永安门就不错 上去也没什么东西
12,自由行者,3,2019-03-01 22:43:20,这明明就是新建的，凭什么说是明代的？
13,🤑,3,2019-03-01 12:22:30,没有很强的体力的不怎么建议爬 我走了2个小时才一半 基本上都要骑车
14,乔乔JOJO,3,2019-02-28 14:13:14,看城墙无须登城，最简单的方式就是逛环城公园，一面城墙一面护城河还有在此参与活动西安人，最写实的西安就在这里。
15,紫色玫瑰,3,2019-02-08 17:05:15,人的一生一定要在城墙骑行一次吧哈哈，感觉很好
16,迦南天使,3,2019-01-29 17:13:55,我只能说，这个景点收费54元真的有点坑爹。城墙上什么都没有，并不值这个票价。
17,阿念,3,2019-01-01 17:11:58,注意，骑车的话只能现金，这个真的是个bug。价格还可以，景色值得看，绕一圈觉得是不错的。
18,geomachn,3,2018-12-29 20:36:05,真是保存最完好的古城墙，城墙上很宽，一圈将近14公里，54元的门票有些偏贵了。吐槽下城墙上租单车的，大冬天风大天儿冷的，本想在高高的城墙上骑一会儿自行车感受下，一问才知道，3小时起，单人45双人90，不说冬天就算夏天，有多少游客会在城墙上逛3个小时，这样的销售策略可以说是欺客了。
19,Utsusemi,3,2018-12-27 15:46:45,性价比不是太高，不租单车绕一圈真的好远
20,yeyeye2000🍀,3,2018-12-26 23:01:01,西安历史古城墙，风景一般，感受当年气派。
21,煎饼,3,2018-11-29 09:18:21,十一去还是很挤的，从永宁门上去的时候人很多。上了城楼之后，向两边走，人会慢慢少一些。在城墙上找到下一个出口可是非常不易，第一是远，第二我们找到的那个门，还在城门里绕了很久，才找到出口。
22,李楠,3,2018-11-17 23:53:09,看过很多地方的城墙，都大同小异。
23,一帆峰顺,3,2018-11-05 11:18:48,真心没什么好玩的，应该开放免费上城墙
24,Holly,3,2018-10-29 16:33:30,我们下午上去的，所以能看到白天的景色，到了傍晚还可以看夜景
25,Mr.杨,3,2018-10-07 21:59:50,《白鹿原》有一些攻城的故事，那些历史就在这段城墙里面
26,蚂蜂窝用户,3,2018-09-30 17:59:36,请问录指纹的地点具体在哪里录？
27,放假时间不对,3,2018-09-22 18:54:38,南门的夜景最漂亮，而且有舞台剧看（除周一）
