,用户名,评论星级,评论时间,评论内容
0,豆子luka,4,2019-04-04 17:45:45,"西安古城墙几乎各个门都可以上去，门票54/人，但是如果想在城墙上骑自行车建议南北门上城墙。找到自行车服务处，很大一个，交押金100,45/单人车/3小时，90/双人车/3小时，其实如果两个人玩的话推荐双人车比较有趣。建议带手套，车质量一般，车把回磨手很痛。如果走路的话一定要看好时间，上了城墙想要下去不是一会就下得去的。我们二人骑车从南门至北门一共用了1.5h，骑行6.7公里。城墙真的很远的。"
1,大眼睛m_0,5,2019-04-04 17:18:39,西安城墙惊人的完整，经过了历朝历代依然壮观～黄昏时分上城墙租自行车，双人车三个小时90元，押金200元，任一租赁点还车都可以在文昌门登陆，绕着圈一直往西骑，可以在途中看到美丽瞬间的日落，大概六点多的样子～真的很美很浪漫💕
2,开心转世界,5,2019-03-24 16:05:54,一。西安城墙700年历史。二，政府和曲江文化产业集团对城墙和护城河以及环城公园做了大量投资和维护。成为西安一道靓丽风景。三，城墙是西安旅游中的最大亮点。特别是永宁门一带到东南城角，古色古香，环城公园绿树成荫，亭台楼阁，曲径通幽。
3,夜空中最亮的星,5,2019-03-23 11:01:44,城墙还是很宏伟的，站在底下网上看，真的好高好高，不禁佩服古代人民，怎么建起这高大的城墙的。我是在现场买的门票，刚刚看了比这里贵，现场要54一个人。所以大家还是提前买了去。特别长，想逛完的话建议骑个自行车，因为观光车感觉没意义。不过骑自行车，整个一圈下来也将近两个小时了，体力好时间再短些。骑车，可以停停走走看看，东南西北四个门都有租赁点，45一个人可以骑三个小时。就是有些路段，不平坦，颠簸下来，握龙头的手会特别麻。全长将近14公里，词穷的只会说震撼。
4,tsavo,4,2019-03-22 09:14:48,西安的城墙全长14公里，是国内现存的保存最完好的城墙体系，游人可以上去参观。尽管西安城经历了上千年时间，但现在的城墙是明初修建的，其中一部分包含了隋唐时期的旧物。城墙上有敌台、正楼、箭楼、闸楼和角楼等建筑，现有城门18座，其中4座是古物，剩余的都是后来重修的。
5,文刀水羊,5,2019-03-20 11:53:37,西安城墙，是中国现存最完整的古代城垣建筑之一，全长13.7公里，始建于明太祖洪武三年（1370年），洪武十一年（1378年）竣工。当年，朱元璋亲自登门拜访学士朱升，朱升给出了“高筑墙、广积粮、缓称王”的九字三训，朱元璋采纳了这些建议，随后提出“天下山川，唯秦中号为险固”，西安城墙就在这个战略下，以隋、唐皇城为基础，改建而成。城墙有主城门四座：长乐门，永宁门，安定门，安远门，从民国开始为方便出入古城区，先后新辟了数十座城门，现西安城墙已有城门18座。和大唐芙蓉园一样，这里也在举行“西安年·最中国”灯会，将诺大的城墙分成了盛世华章区、欢乐祈福区、梦幻童真区等几个板块，带着小朋友，我们走向了梦幻童真区，一起陪她在这个千年城墙上寻找五彩斑斓的世界，拥抱憨态可掬的大熊猫。城墙，就是西安这座城市的灵魂所在。
6,陈威,5,2019-03-19 18:54:46,古城墙位于西安市中心区，墙高18米，顶宽12—14米，底宽15—18米，轮廓呈封闭的长方形，周长13.74公里。城墙内人们习惯称为古城区，面积11.32平方公里，钟鼓楼就位于古城区的中心。是 中国 现存规模最大、保存最完整的古代城垣。城墙共设有8个登城点，分别有4个主门： 长乐 门（东门）、 永宁 门（南门）、安定门（西门）、 安远 门（北门）。以及 和平门、 文昌门、含光门、尚德门，可以就近选择购票登城城墙门票：54元/人。城墙上的4个主门都有租用单人和双人自行车。我们在南门租用了一辆双人车，90元/3小时，押金100元/车，18:00以前可以在任何一个门还车，过了18:00只能在南门还。另外城墙上还有乘坐电瓶车，每个门的费用30元/人，环绕一圈是120元，每个门停留大概10分钟左右，但对于想要细细品味城墙韵味的话建议还是自己骑车慢慢感受为好
7,Ethan,5,2019-04-26 17:03:24,傍晚时分，登上了西安城墙，这座距今几百年历史城墙保存的如此完好，说明古代人民的智慧，54元的门票真的不贵，何况还有和碑林博物馆的联票100元，孩子没有联票，但可以享受半价哦！随着光线越来越暗，城墙上的灯逐渐亮起，这可是为了春节特意装扮的啊！整个灯会是从南门向东西两侧扩展，各式各样的彩灯，非常的漂亮！看到城墙边上有好多的自行车，这要是在平时就可以租上一辆，骑行在城墙之上也是一种享受啊！只不过春节这个节骨眼儿就甭想了，可惜啊！可惜啥啊，现在可是西安最漂亮的时候啊，到处的彩灯，不夜城啊！
8,karenluna,5,2019-02-25 22:20:12,过节期间，已经看过了大唐芙蓉园和大唐不夜城的新春灯会，欣赏到了漂亮的高科技彩灯，也感受到了过节人们喜庆欢乐的气氛，所以城墙的新春灯会并不在我一开始的计划之中。但不经意间的路过，却还是被那照射到万空之上的灯光和花样百出的花灯所吸引。穿过地下通道，来到位于西安城墙南门外的小广场上，首先映入眼帘的便是两头巨型传统舞狮，每只舞狮都是那么活灵活现，甚是可爱。白天这里没有了夜晚的喧嚣，相反，倒是有了本应属于夜晚的冷清。顺着指示牌一路穿过瓮城来到城墙之上。路过的各种装饰摆件，都与春节的喜庆祥和息息相关。如果说夜晚的花灯是如梦如幻的，那么白天的它们便是真实，但却有些普通。说实话，如今白天看到的它们，确实要比夜晚点亮之后的颜值逊色太多，只能后悔昨晚为什么没能克服劳累拾级而上，那样就能亲眼见到他们的璀璨了。不过谁让时间有限，所以既来之则安之，能在春节期间来到西安，看到西安城墙被布置得这么热闹、体验这样的有趣，也是很幸运了。冬日里的西安并没有因为白天太阳的升起，让气温有所升高。相反的，走在城墙上的我早已被呼呼的要风所吹的透心凉。但看着眼前，一个个五彩斑斓，花样各异的彩灯，那浓浓的年味欢庆的气氛感染着我，让我不由自主的沉浸在这节日的喜庆中。城墙上的花灯可以说是中西合璧了。今年是猪年，各种胖嘟嘟的可爱胖猪则是花灯的主题，而那些极具中国特色的熊猫灯、灯笼拱门，也是花灯中不可缺少的。除此之外，西安城墙灯会上还有各种西方的外来文化，比如迪士尼米老鼠等等，真可以说是尽可能的满足了不同人群的喜好了。据说西安城墙的灯会其实已经走出了国门，来到了纽约，在热闹的纽约街头，向外国友人们也展示了中国年欢乐祥和喜庆的气氛，让全世界看到中国如今的繁荣和昌盛。我这心里真是有无比的自豪。以后有机会要是春节再来到这里，一定要改成晚上登上城墙参观，一睹现代与过去、时尚与传统碰撞的火花。
9,蓝海清风,5,2019-03-01 22:31:11,西安古城墙作为我国现存最完整的古代城垣建筑，名气很大，是西安旅游必去景点之一。西安古城墙很长，是收费景点，上城墙54元，学生证27元。 城墙上租赁交通工具需另收费。在下面亦可免费看到并感受城墙的沧桑历史。西安古城墙位于西安市区，出了西安站就能看到了。东西南北四个方向设有四大城门，分别是东长乐门、西安定门、南永宁门、北安远门，四门合起来寓意“长安永安”。当然，还有朱雀门、中山门、尚德门等随处可见的小门。西安古城墙气势恢宏，是十三朝古都西安悠久历史的很好见证，白天城墙上的风景壮观，视野开阔，晚上的城墙灯会也是炫彩夺目，十分耀眼！
10,雨昊,4,2019-07-16 14:10:50,西安城墙又称西安明城墙，是中国现存规模最大、保存最完整的古代城垣 。广义的西安城墙包括唐城墙和明城墙，但一般特指狭义上的西安明城墙。它位于西安市中心区，墙高12米，顶宽12-14米，底宽15-18米，轮廓呈封闭的长方形，周长13.74千米。城墙主城门有四座:长乐门(东门)，永宁门(南门)，安定门(西门)，安远门(北门)，这四座城门也是古城墙的原有城门。为方便出入古城区，先后新辟了多座城门，至今西安城墙已有城门18座。
11,再逢,5,2019-02-22 01:24:16,城墙上面还有很多小楼，敌楼，隔一段距离就有一座。其实就算绕城一周走遍四个门都是这样的景物，但是一想到它是从那么久远的年代过来的，而我们在这一辈子也刚好从千里之外跑来这里看到了它，开心！兴奋！城墙上的路面好宽，可以跑车马。时间充裕的话可以租单车在上面绕城一周，走遍四个门，不过到了这个点钟，又饿又乏又晒……飞檐上排着队的小兽们总是为庄严的古建筑们带来一丝萌意，也许它们本意是代表着镇守、肃杀？但是，和平年代嘛，就是俏皮可爱。现在“五脊六兽”的意思可有意思了城墙外有护城河，河对岸就是现代的高楼大厦了。大概是新城区。
12,Tina,5,2019-02-16 07:45:14,可能那些长期在西安的人，会觉得西安城墙上真的没什么，但像我这样第一次来西安的人，还是很想要登上城墙看一看的…最起码，也要体会一下古代士兵在城墙上巡逻时是什么样的感脚，以及士兵们是如何在城墙上做到瓮中捉鳖，击败敌兵的…
13,等z先生的米斯C,5,2019-02-13 14:41:34,网上和景点售票窗均可购票。在城墙上租辆单人或双人单车逛城墙是最为推荐的游城墙的玩法了，但什么时间从哪个门上往什么方向骑行似乎都有讲究，可骑行可步行可半骑行半步行，因本人遗憾地未周游城墙一圈，所以在此木有话语权，但愿我还能有去城墙上踩单车的机会啦~
14,陈叔叔,5,2019-02-11 18:32:48,  从和平门到永宁门的这段城墙遗址公园绿化带西安政府还是规划的挺好的，里面还设置了运动场（兵乓球场、羽毛球场），可以让本地市民，尤其是中老年市民在这里运动锻炼，非常细心、人性化。这次我全程徒步13.74公里的城墙，真的快把脚走废了，因为我没有穿最合适的鞋子，应该穿运动跑步鞋，结果穿了一双靴子，走到一半就已经感觉脚疼了，导致最后下城墙的时候都是慢慢的一瘸一瘸的走下来的。 登城墙需要从两侧的人行道穿过地下通道进入景区大广场，一直往里走到达售票口，此次我是按照顺时针的方向徒步城墙的，也是根据人流走。城墙内侧有很多小酒吧、茶馆、餐厅、小清新书屋等商业店面，夜间的时候灯火阑珊，适合一游。走在一块块青砖上，你如果仔细看就会发现有这样的新旧青砖分割线，这大概就是清朝以前和清朝维修以后的对比了吧。  走完城墙全程大概花了我4个半小时，算上所有的拍照时间和因鞋子不舒适导致的休息时间，已经算是不错了。听检票口MM讲，他们实际测试为4个小时，应该没有把拍照时间等算在内吧。
15,▽・x・▽,5,2019-02-11 00:10:10, 西安城墙很长 最好还是骑自行车 但不是哪个门都有租车点 我们走了很久才看到租车点 因为我不会骑自行车 所以租了双人的就这样边骑边逛到了永定门 这时候天已经黑了 城墙的灯光亮起来特别好看灯火阑珊 真的很美城墙门门前的喷泉喷起来更美 往地铁站走的路上总忍不住想回头看 好美的长安啊 看不够看不够
16,品香水,5,2019-02-10 22:49:38,城墙是经过修复了的，而城墙的地砖上也刻有字，显示了砖的来源与年代，也是延续了旧时制度，方便验收及追责。城墙内保留着原始关中民居建筑，靠着城墙的一排老房子如今都被改造成了餐厅，酒吧一条街，还有民宿。从含光门开始，城墙上正在布置第32届“唐都上元不夜城”西安城墙新春灯会。白天拍不漂亮，灯会在一月28日正式启动直至三月10日，我去的时候正好是灯会启动前一个礼拜，就这么错过了～
17,张大喵的旅程🌍,5,2019-02-03 17:34:16,咱西安的城墙是中国现存规模最大、保存最完整的古代城垣 ，方方正正的西安城，市中心由城墙围着个四四方方，像老陕的那股子倔，那股子轴。来西安城墙一定要步行上去走走，或者租个自行车绕着城墙骑一圈，可以俯瞰到整个西安的老城区，或者趁着每年的城墙马拉松来一场不一样的体验~当然，不管怎样，一定不能错过老西安的城墙根生活，你一定没见过城墙根儿下面剪头发吧，还有城墙根儿的文艺咖啡馆和小酒馆，城墙根儿是一种文化，是一种西安魂。
18,品曦13,5,2019-02-03 17:09:08,我就是想绕着城墙跟骑行一周，相比于站在城墙上看风景，我更喜欢在城脚下仰望他，近距离感受他的历史，一点都不想错过。虽然在下午骑有阳光的时候舒服一点，但这时候还哪管得这么多，就要果断点。事实证明晚上骑才是更好的选择，一是路上车少人少，更加安全；二是可以全方位感受夜晚的长安，万家灯火，好不热闹。我们从永宁门开始，顺时针在城墙内绕着墙根骑，，默默地为自己加油。傍晚的天空呈现出紫红色，路边橘黄的灯光把我们和树的影子都映在了城墙上，很像一幅画。晚上的城墙散发着肃穆，我似乎感受到了她的孤独，这种孤独感似乎比其他城市更加神秘深刻。但他好像并不想这样，他会突然冒出来一个人潮涌动的火车站，一座座雄伟壮观的大城门，甚至是富丽堂皇的高档别墅区，看来他还是很包容的，经历了两个多小时的骑行，这次夜骑大约用时2小时，因为我们是走走停停，拍拍美照，看看风景，我们一点也不急，心境很是悠闲。在这零下的温度里，我们不断往前骑，看着我们聊天时呼出的白色雾气，这种感觉很自然，很实在。
19,Jocelyn,5,2019-02-02 19:54:39,走上城墙才知道城墙是有多大一圈!有三种方式可以逛城墙：1.步行 2.租自行车3.游览车身为贫民窟女孩的我们，只有第一个选项符合我们的钱包，就当饭后散步吧城墙的地砖上都是满满的历史痕迹大概是走到了距离下一个门的一半的位置，发现有一个展览馆（上图左上角那个小拱门），择日不如撞日，然后我们就下去参观啦~一路逛逛拍拍，终于走到了下一个门－安定门
20,小baby,5,2019-02-02 13:52:14,西安的城墙，保护的还是很完善的，是真的可以连成一圈的。城墙上的灯笼挂饰做成了使节的形状，仿佛自己也可以是千百年前持节出使的大臣。城墙上可以租自行车骑，外国游客也是不少。烈日当头，我们摸了一下自行车滚烫的坐垫，放弃了租车的想法，决定直接步行。然而事实证明，大太阳下想徒步城墙是很艰难的。我们经历了从刚上城墙时说要绕着城墙走一圈的壮志满满，到走了半小时发现连1/8都还没走到的震惊，再到发现下一个出口只能在1/4位置时的绝望。城砖上大多刻有名字，好像是重建时留下的。只是不知道是旧砖的保护者，还是新砖的制作者。站在城墙上向下望去，中轴线上车流不息，远处的钟楼依然屹立在城市中心。
21,颤抖的小手,4,2019-02-02 00:33:02,城墙很长，据说全场13.7公里。我们当天走的够呛的，也没走完，最后直接下去了。其实有条件走完是很不错的，强烈建议骑自行车游玩，不会太累，也可以看全部城墙。门票不算贵，能看到全国为数不多的一个较为完整的城墙真的很棒。站在城墙上，俯视城中的一切，很有感觉。
22,在路上,5,2019-01-29 23:28:18,搭乘地铁来到永宁门，选择这里是因为地铁可达，而且这是整个明城墙的正门，城门前面还有护城河呢！走过护城河，按照地上的指引登上城墙，看着工作人员布置好的灯笼走廊，的确是满满的年味，可惜这个时候天还没有黑，灯笼还没有亮起来，要不然真恍惚是进入长安了。走着走着，来到了第一个租自行车的地方，我们觉得还是散步更好，可以更多地接触一下这个发生过很多故事的地方。可是当我们走了三四十分钟还没有看到可以下去的门时，我们有点后悔没有租自行车了。因为淡季天气冷的原因，城墙上行人三三两两，很多小门就不开放，只有比较大的四个城门开放。犹豫不决让我们错过了第一个租车点。在到达第二个租车点的时候，我们毫不犹豫地租了一辆双人的自行车，两个人一起蹬踏板，终于可以放松一点点了。这时才发现，夜晚的城墙也是很漂亮的，工作人员在城墙上布置了很多的彩灯，勾勒出城墙的轮廓。四个大城门附近都是有还车点的，可根据自己的安排任意选择。看来我们高估了自己，没有坚持逛完所有的城墙，只走了四分之三就从西门下城墙了。
23,海洋之心,5,2019-01-25 23:16:25,城墙骑行需要一个半小时左右，城墙上有专门租山地车的地方。对，没错，是山地车，因为城墙的砖石崎岖不平，骑山地车更为省力。看了其他攻略是北门上南门下比较合适，我们反着来了，结果骑完之后，精疲力竭。四个门都有还车的地点，但是19点之后要回南门还车，所以要注意安排时间。淡季出行的好处，就是不必在千万人之中寻找最佳取景，我们硬生生地绕了城墙一周，实在是太累了。
24,Number16,5,2019-01-25 20:52:21,误导误撞到了西门口，西门人很少，完全看不出是个节假日期间的一个热门旅游城市的经典景点。在古城上骑行是大部分游客的必体验，可以在城墙上的几个门口处租赁自行车。从西门拍完照，一路往南门走，大概3～4km，距离不算太远，骑车的感觉会更冷，便选择了步行，一路上其实也没有啥特别值得拍的，登城墙的门票还是不便宜的。南门附近在搭建布景，应该是为了迎接新年了，到时候一定又是一番热闹的景象……南门相比西门要热闹了许多。
