,用户名,评论星级,评论时间,评论内容
0,WilliamLiu,1,2018-12-31 19:47:15,西安这座城市的基建和城建实在是有点差，跟成都和重庆是根本没法比，而且景点门票之贵，钟楼30元，鼓楼30元，就去楼上看看就完事。西安城墙什么都没有，54元门票……兵马俑就几个坑，门票120元，回民街，吃的东西味道还行价格也有点贵，性价比太差……这古都根本没法跟紫禁城比啊！要说夜景？重庆和上海笑而不语！一句话概括：乘兴而来，败兴而归！当天我就取消酒店改签高铁票了。如果条件允许，我恨不得今天晚上就飞回成都……
1,刘延俭,1,2019-02-25 22:06:48,54元门票，从南门上城墙，在城墙一路急行军，完全没有值得看的任何景致，脚都快打泡了，实在无奈，就从西门下来了，仅走了四分之一城墙长度，不走完这四分之一你也下不来。就一句话：忒坑人，再一句话：坑人。全当捐款了。
2,H.T,1,2019-05-05 23:25:28,超级难耍的地方，爬上去也没啥子特别风景！坑爹！
3,flyingchips,2,2019-05-09 21:35:42,都说在上面骑车很好玩，其实上不上去都无所谓，一座城市有她历经千年的城墙已经足以说明一切，这跟你站在城墙脚下一整天什么也不做是一个意思，都足够伟大。
4,张彦涛,1,2019-03-12 23:17:04,就值5块，票54基本是坑爹景点
5,蚂蜂窝用户,2,2019-02-25 01:52:53,没什么好看，附近的高楼太多了，拍不出想要的景。
6,孙一笑,2,2018-11-28 14:25:28,这里要说一下西安的出租车司机，各种骗，正规旅游大巴306路车每人九块到兵马俑，司机说每人二十，我们共三人。刚开始说120送我们去，我们没动心，后来又说100元，幸亏我们意志坚定，没上当
7,不能为空,1,2018-12-04 15:39:50,城墙上除了墙就是墙，我们步行走了一半的距离实在走不动啦，中途只遇到一个厕所，憋尿的痛苦你们懂得，如果你是一个热爱历史遗迹的朋友可以来观光一下，如果不是的话还是不要去了，真心没什么。
8,小妖精,1,2018-09-03 19:49:00,这个工作人员态度极其恶劣！！！各种推搡游客！！！
9, 飛飛 sunny,1,2018-08-07 08:43:31,啥也没看头。建议别去，感受一下也行，不过没有半天是走不到头的
