,用户名,评论星级,评论时间,评论内容
0,艾兔@鹏儿,3,2019-02-22 14:40:24,来陕西最坑的一个景点（没有之一），本来是免费的，但是被这些人玩的一手好套路，免费领票处能排出一公里的路程，博物馆门口还不放行，说是里面人太多，暂缓放行，看到有人进没有阻拦，问明情况后得知是花钱买票的，好吧去买票，去了得知学生证不能用，必须全价买票才可以，好全价买，进园安检自拍杆不让带，我就纳闷了，这个是什么鬼，又是存包（白折腾一圈）。服务最辣鸡的地方没有之一。下面是免费票领取通道，官网自己订，看不惯他们的做法，请叫我雷锋小哥。
1,萌阿萌,3,2019-07-03 15:50:02,对历史文化感兴趣的肯定值得一去，但是之后去的的湖北省博物馆是免门票的，所以回过头来想想也还好。印象最深的是皇后玉玺，传说可能是吕后的。
2,wushangxuan,3,2020-02-23 14:19:13,这个是免费的博物馆，可以请讲解员，面积不大，1.5小时足够了，名气肯定不如兵马俑的了
3,我爱这个世界,3,2019-06-25 10:31:10,不喜欢青铜器类的，讲的也都是早期人类文明。不感冒
4,马蜂窝用户,3,2019-03-10 21:00:10,还好回家那你看看吗沟沟壑壑回家
5,戈壁红柳,3,2019-03-05 08:31:22,还可以，就是文物光线不好，看不清楚，买票困难。
6,rein,3,2019-02-05 18:47:27,在排了近两小时的队伍后，到下午四点多终于进入了著名的陕西历史博物馆。在珍宝馆展厅，每件展品前都是一堆堆的人，真还不如在家看《花舞大唐春》这本书开得清楚。免费展厅中稍好，到处都是席地而坐的人，参观博物馆也是个体力活啊。至于壁画馆，门票三百一张，儿童半价，感觉性价比不高而放弃。
7,jackael00,3,2018-12-08 10:17:43,久负盛名的陕西省历史博物馆，竟然不提供预约售票，而且免票限制人数，对有价票并不限制人流，于是馆外排起长龙，馆内摩肩接踵。参观历史博物院要有“静气”，静气才能凝神，踏踏实实地欣赏数不胜数的馆藏，撷取最让人心动的珍品，对古人的发明创作心领神会。在闹市般的省馆观展，效果就是“到此一游”，即便集周秦汉唐的文物之大成，却让人失去了仔细观瞻的欲望，随波逐流地晃了一圈而已。
8,SteamChan,3,2018-08-26 20:06:32,陕西历史博物馆总体占地面积不大，但确实馆藏珍贵而且不少。可以凭身份证免费入场，在西门排队；东门排队是要购买门票的，分别有30元和300元两种档次。排队的人很多，即使早去购票的队伍也将近1个小时才能进去。馆内由于地方狭小，很难控制总人数，非常嘈杂，讲解机等也容易被借完。
9,丢丢哒丢丢,3,2018-08-05 13:43:23,馆内藏物不多，馆也不大，一般般吧
10,第九画,3,2018-08-01 19:03:51,由于之前在网上没有提前预约到陕西博物馆的门票，于是只好现场去排队，结果起个早赶了晚，到门口才9点，就 已经排队一百多米了，保安小兄弟拿出一个告示牌：上午的名额已满，后面的人不用排队了。。。没办法，只好退而求其次，去买30块的门票，看完出来，总体感觉很不值得，因为好多展馆都没有开放，只看到了很少的一部分展品，并且人超级多，。。。后来出来的时候门口依然排着长龙队伍。。。大家的热情都很高哈
11,蚂蜂窝用户,3,2018-08-06 11:09:07,建议要来的小伙伴提前在网上订票，否则很有可能碰到跟我一样情况票卖玩了，免费票排队太厉害了
12,李白兔,3,2018-09-12 20:34:32,人真的太多了，免费票限流，但是付费可以进很多人，坐在一展厅门口数了一分钟，过去50人。每个展窗门口都如图中这么多人，想看展品不断向前挤，厅内昏暗、缺氧，看完一个厅已经快要晕厥。大概国内游客去其他省份旅游并不会去当地省博，而陕西例外，一个博物馆的面积接纳了一个山水风景区的实时游客，真的可怕，根本没有办法参观。
13,mo墨,3,2018-07-30 16:18:22,真的人太多了，耐心听看的并没多少人。西安整个旅游服务质量比较低
14,言矮吾,3,2018-07-30 14:27:23,人太TM多了！文化流水席…导游拉着“一堆”人“蚕食”着散客的“时空”，都消费升级请得起导游了，应该是件值得高兴的事儿吧，就是商业味儿重了些。
15,生菜是我的菜,3,2018-07-08 06:38:58,第一次到一个博物馆买票，全部窗口都关了的，也不知道几点钟卖票，怎么回事
16,ROYEE,3,2018-07-07 15:56:00,也许我期望太高，还有主馆装修，今天我那里去简直了，大失所望！和我上次去河南博物院一样，装修。
17,·十里桃花,3,2018-06-27 14:34:26,还没去过，听朋友说很值得去。回头来追加评论吧 哈哈！希望别让我失望！
18,逃离地球表面,3,2018-06-26 17:02:05,博物馆参观了两个，还有一个大唐珍宝馆。
19,张一,3,2018-05-22 14:53:38,我国八大博物馆之一，底蕴深厚，藏品众多，尤其十大镇馆之宝，不得不看。陕西历史博物馆之于八大博物馆，在本人心中排位并不靠前，故三星。
20,兰州小巷,3,2018-05-08 21:32:29,最大的基本陈设馆装修关闭，花三十元排了两个小时收费队伍看了三个馆，感觉不太值得，首先馆不够大人太多，虽然花150找了导游讲解全程看不到展品，布局不合理大家都贴玻璃站，空间展品不够分布，都在边上。早上三千张票的规模进去就像进了回民街，没有一点空间，单层博物馆太小还是参照下去过的国博，根据排队时常来比较根本没法看，除了收费的何家村遗址展算有点意思，另外两个小馆就是基本历史陈列，没有其他内容展品，内容太单一。上了下国家宝藏，去看期待过高，甚至感觉离首博都差的远，没有想象中的十三朝古都的霸气
21,It's Krystal,3,2018-04-24 00:36:55,"很一般, 收藏真的挺多的不過逛久了會悶. 如果是很喜歡文物的小仙女或小哥哥可以去逛久一點, 不然去打個卡就好了."
22,昨夜星辰昨夜风,3,2018-04-20 18:16:56,人太多了，主馆还关了，没啥看，体验感差……下次再来。
23,吃橙bEAr,3,2018-04-14 21:11:41,我没看国家宝藏，就是喜欢逛博物馆，过年人太多了，去了两天，第一天去晚了没票，第二天排了好几个小时的队，结果进去根本没看什么，排队租机器的人也太多了，实在没耐心看；貌似要看哪个非常有名的镇馆之宝要买300的门票。反正我没看出什么，很多都是历史课本的，大概西安本身就是中国的一部古代史了。应该淡季去的，心累失望。
24,蚂蜂窝用户,3,2018-04-08 01:27:15,西安并没有作为一个旅游城市的觉悟，混乱的管理，高额的时点门票，工作人员的大吵，吼人，到处都在排队却从来不会增加临时售票窗口。20号发生了打人事件，工作人员的态度我也是服气的。门口排队排到天荒地老，预约的票十点才可以开始领，但是买300的票就可以当下领当下进去，根本不用排队，因为行程紧，也确实想看壁画就买了300的票，可是进去了以后巨大的人流巨大的排队量简直吓傻我了。根本没有人管人流分配这种事情，就几个志愿者在一旁似有似无的说要排队要排队，但是到何家村展厅时分流的工作人员终于出现了，竟然是让大家下一次楼上一次楼去看一趟餐厅，呵呵哒了。不得不说西安的大爷大妈果然是最勇猛的，撞人挤到前门拽着已经哭到晕眩的孙子说你快看呀，大鼎多好看。踩着大家的脚丫子前进果然是最快的。最搞笑的是领那个导游机的时候，排队导致人流堵塞，然后快到我了才发现，领机子一共5个人，只有一个人在办，还是原始的手工登记，无语望天……西安不适合旅游业，西安人也不适合做服务业。好好的一手好牌被打的稀烂。
25,tom,3,2018-03-29 21:16:55,大年初三的陕博可不是一般的人多，排队领免费票和排队买票都各有过千人的长队，想现场买票的可以直接放弃了，我昨天也是这么想的，结果10点多到现场后果断放弃，携程也买不到当天的票，订了隔天的，结果等今天去到才知道领票也是要等携程团队票买出来才能领，排了1个多小时才领到，好在赶在12点前拿到票，建议订票了的11点半过来，可能不用等那么久，不过据说携程一天也只能取到400张票左右，大家还是提前订好票吧，订票有点进购买才看到有没票，我当初也是只盯一眼以为可以现场订结果空跑一趟。还有一个建议是领票之后要趁12点到1点多那个售票空档把看的展馆赶紧看了（个人觉得4号何家村珍宝馆最值得花时间），恢复售票之后后面人一进来，那只能看人了。最后一个建议看陕博最好还是参加个团队游吧，因为这样你会肯定有个人给讲解，不然进馆后请讲解和租讲解器的排队有几百人排队，只能放弃。个人经历，希望能帮到这个狗年春节看陕博蜂友。除了人多，里面东西还是值得一看的。
26,競景,3,2018-02-28 09:53:50,博物馆现有五个展厅，两个收费。实在不想排队，提前买了大唐遗宝的票，取票挺快的。取票之后凭票可以存行李，但是人太多，只存箱子。背包好重的啊。进入立马去大唐遗宝，那时人不多，还能一个个看，等看完，人已经把宝贝围得密不透风。然后去其他展厅，等到11点去汉唐那个展的时候，人多得像庙会。陕博藏品很多，但是展出的不多，展厅设计是我见过最耿直的，一边墙到底，人都像进站一样围在一边，对边啥没有。中间略有几个展品。不同展厅展品有重复，个人觉得排队领免费的参观券也不错。
27,小鱼儿、,3,2018-02-23 21:36:15,首先我们去的时候是冬天，怕冷，所以下午才去1:00开始放下午的票，我们1点过到的，领免费票的从窗口排到了停车场，有几十米吧！其实之前在陕西历史博物馆官网上可以预约免费门票的，但点进去最近一星期的都领完了，所以无耐又不想排那么久队，就在对面买了30一个人的一个付费馆，其他免费的都可以参观，果断花钱买时间了。进去以后，到处都是人，场馆里面暖气开得挺足，加上人多又闷，完全没有心思看，热得我把羽绒服都脱了！挤得要死，这还是淡季，完全不能想象旺季来还看什么文物啊！看人头算了。也没啥好看的只开了5个馆，3个免费，两个付费。很多讲解，可以去蹭别人的讲解，如果对历史文物比较有兴趣的可以付费请个讲解，看起来比较有意义。如果对历史文物没什么兴趣的可以不去，没什么特别的展品
28,阿狸的美好生活,3,2018-02-21 13:19:33,可以说，这是本次西安之行最令人失望的地方，本想花两天时间在此地，没成想，几个小时就结束了细致的参观之旅。不说人挤人的观赏体验，所谓四大之一的博物馆，只有三个免费展厅，两个展厅只涵盖了商至唐的展品，不见任何镇馆之宝。连唐代很有代表性的佛教造像都没有专门的展厅，实在令人费解。哪个博物馆没有石器时代至清代的展品呢？陕博何以至此？大失所望~
29,书瘾难戒,3,2018-02-18 21:47:28,还不错，幸运，排队时候，我们在最后快没票了，看着后面的人被留到下午，我们觉得自己好幸运，排队时候有卖明信片，买了四套十块钱很便宜。进去博物馆好棒。遗憾的事，一二三展厅闭了。挺遗憾的。也许给一个外地的游客留下一点念想，让他以后再来一次
30,卷耳不知人,3,2018-02-14 08:43:27,要起早床去排队领票，当时我们九点到那就已经大排长龙。领完票进去就已经十点了。每天上午下午限领2000张。推荐在网上预约票，只能领取第二天的票，每天限500张。每件展品前人都巨多，也看不了什么。
31,ikabul,3,2018-01-30 23:58:48,展厅空间很小，人又多，显得非常拥挤。另外布展的灯光过于昏暗，进去只想睡觉。宣传册子去时已经发完了。展品确实不错，但体验太差。有条件真该扩建一下展馆，布展方式也应该改变。
32,vixerunt,3,2018-01-27 22:08:48,建议请讲解 单纯去看的话没有多少意思
33,说好加班呢,3,2018-01-16 08:15:14,第一个要排队3个小时取票的博物馆，里面藏品确实挺多，但馆不大
34,阿坚兄，,3,2017-06-25 22:12:48,一个博物馆发展成了一个景点，坏处一大堆。人超多，又吵，各种闪光灯，工作人员说了也不听，很影响其他人……
35,MiracleChanges,3,2017-06-21 20:28:37,虽然有些折腾 但是这几天还是有惊喜的
36,maggie,3,2017-05-31 16:53:05,这个博物馆值得一去 里面展品很多 光是看完免费的展馆都满足了
37,蚂蜂窝用户,3,2017-05-29 07:11:06,千年古城，风雨历史，美轮美奂。
38,幸运王子,3,2017-05-18 11:39:39,下午去得，发完了免费票。所以没进去。不过老人可以通过特殊服务窗口换票进去。
39,lulu露露,3,2017-05-14 19:54:31,建议周末去，周末有志愿者讲解员，周二到周日开馆，周一闭馆，平时花钱请讲解员还是很有必要的，自己看不出个名堂！里面文物多，规格高，可惜时间有限，只有一个小时的时间，只看了隨唐文物，时间就到了！
40,Dreama菲,3,2017-05-05 17:16:47,珍宝馆(第四展厅)票价已经涨到30一人！进馆还没看到标示，问路问到在一层一侧，出了第四展厅，才发现还有第五展厅。蚂蜂窝买票可以便宜几块钱，但是不是在馆的东门，而是在博物馆南门进去的东侧。
41,..Wing,3,2017-04-30 12:57:08,这个我不好评价，因为又是人多到爆所以没进去。有免费的票也有收费的票。有兴趣的建议一大早的去排队。每天限人数。
42,深北,3,2017-04-30 07:43:39,可能是自己对于历史不了解，而且是租那种电子服务器，这个博物馆让自己很失望。记住，千万不要用那个电子器，如果是想好好感受历史文化发展，需要请个讲解员，也别指望蹭别人的，里面的讲解员估计知道蹭的人特别多，所以声音很小，边上的人很难听清楚。
43,小黑乐呵呵,3,2017-04-03 13:04:48,实在忍不住要吐槽陕西历史博物馆，展品是真心好，历史真心久，博物馆真心迷人，怕排长队还在去哪买了20元的珍宝馆票。只是我躲过了旺季，躲过了领票的大长队，却躲不过各个展厅的人山人海啊……还不如收些门票钱或每天限少些人，让人安安静静地看个展览。免费领票的大队一直排到大街上，展厅的展品需要隔着3层人头看，所有地方都闹哄哄的，感觉太遭罪了。不介意人山人海，不介意闹闹哄哄的历史迷，实在推荐，因为真的是给我1天还你1万年啊
44,长春大雪,3,2017-03-25 17:49:11,到了博物馆附近，不愁找不到博物馆啊。哪人多，哪就肯定是了。博物馆门口真的是可以用“人山人海”来形容啊。博物馆免费对公众开放，但每天都要发放门票，博物馆里面灯光昏暗，人头攒动，空气不流通，闷热压抑。中国古代曾经有十四王朝建都陕西，在这个拥有悠久历史的古都，自然少不了好多出土文物，只可惜博物馆里的好多展品都是复制品，不是真品。众多带队的讲解员，为了防止有人蹭听，用着只能她自己听到的声音喃喃细语，与延安历史博物馆讲解员那慷锵有力的声音形成鲜明的对比。
45,半圓工資的朱老師,3,2017-02-27 20:45:14,展品好，但令人寒心。不购买特展的话，排队取票人特别多 特展窗口却没人排队……仿佛在诉说着，花30免去排队烦恼。看了门票30的何家村出土文物和300的唐墓壁画。珍宝馆门票没学生票，壁画有学生半价票。什么道理，难道承包给不同商家运营了？而且发现壁画展厅文物标牌上存在英语翻译错误问题。感觉太过商业气息，每一层基本都有卖东西的摊位，让人不舒服。 游人也太多，几个常设陈列都满满的人。布展不够好 安伽墓石床罩起来了，大老远的根本看不清画的什么。
46,心独运,3,2017-02-25 18:00:16,超一流博物馆，国宝多到超乎想象，讲解有点敷衍了。
47,somnus,3,2017-02-07 11:48:16,不好的地方：人过多，在外边排队要很久，最好提前网上订票。博物馆内人也很多，比较挤，我是在暑假去的，其它时间不了解。好的地方：了解陕西文化的一个很好的途径。
48,哎呦哎呦,3,2016-12-27 10:37:14,两件镇馆之宝展出来的都不是真品，据说真品不允许展出，博物馆大啊，走的很累
49,吴大帅,3,2018-01-12 11:08:42,可能是因为周日，第二天闭关的原因，人多的不成样子，免费票根本不用想，果断买的马蜂窝的票，性价比真心不高。博物馆浓缩了当地千百年来的变化和历史，总的来说值得一来，古人的智慧超出了我的想象，甚至让我觉得现代人都不及古人的一半。我们真的应该以史为鉴，科学发展。
50,童然,3,2018-01-09 14:47:59,要比预期的好，排队领免费票进馆，好笑的是两个保安拿着今天票已售完牌排在最后，跟着走。里面有五个馆，其中一二三馆免费，在这里能感受到历史的厚重，从石器时代到青铜时代，汉唐盛世及丝稠之路，看到一个五祀卫鼎，有段铭文记载关于土地纠纷之事。总之值得一去。
51,salen,3,2018-01-04 12:05:08,人太多，但是门票免费，拿身份证就可以免费领，最好提前网上预订，人真的太多
52,丑丑带我们看世界,3,2017-12-02 23:07:42,过于多的青铜重器，一个展厅一个展厅无绝期，让人看到审美疲劳。
53,miss金,3,2017-11-27 10:25:30,官网预约，身份证在南门领票，进去100元请讲解，没有讲解看不懂的，很多字都不认识呢，比讲解器更有用
54,Areszhang,3,2017-11-21 21:44:07,节假日去的。都是人。网上免费门票根本预约不到。珍宝馆要30块，壁画馆要几百块。博物馆真会做生意！本来是弘扬中国文化，展示中华文明的爱国教育基地。理应免费！
55,天上大风,3,2017-11-20 13:55:35,"端午节过去的，people mountain peopie sea,里面挤得不行，差评。当然里面的藏品还是好的"
56,柠檬,3,2017-11-14 09:45:43,人真的太多了，我们10.3号计划去陕博，当天下雨，估计很多人都把自由行安排在陕博，导致我和老公根本找不到排的队伍，大家都打着伞，还下着大雨，人又超级多，果断放弃了，下次有机会再来吧
57,年假全部出去浪,3,2017-11-12 19:47:53,现场毫无秩序可言，插队频繁，根本不需要早来，只要不要脸插队就能排到前面。现场的工作人员也不管，甚至助纣为虐。非常失望！！
58,张亮1119,3,2017-10-18 13:39:05,排队领票的人实在是太多太多太多了，为了能尽快参观，只好去人少的出土文物特别展售票窗口买了30块钱的票。或许是因为这座城市的历史与文化过于深厚，与其他省市的博物馆比起来展品更多更精美，但是对于展品的介绍就显得很不足够了。
59,dingdingcat,3,2017-10-11 19:26:29,实在不建议旅游高峰期来。小时候来过一次， 记得有一个很大的广场， 现在一看全没了。 前几天带小孩去西安， 一早先到小雁塔，周二不开门，接着就到历史博物馆， 不到9点， 50米以上的队， 而且有工作人员打牌子上午没票，只能下午了。 带着小孩懒得再排队， 只好放弃。后来打车听司机说早晨7点就已经排上长队了。
60,卷耳不知人,3,2017-10-05 08:46:39,要起早床去排队领票，当时我们九点到那就已经大排长龙。领完票进去就已经十点了。每天上午下午限领2000张。推荐在网上预约票，只能领取第二天的票，每天限500张。每件展品前人都巨多，也看不了什么。
61,ikabul,3,2017-09-12 08:23:01,展厅空间很小，人又多，显得非常拥挤。另外布展的灯光过于昏暗，进去只想睡觉。宣传册子去时已经发完了。展品确实不错，但体验太差。有条件真该扩建一下展馆，布展方式也应该改变。
62,vixerunt,3,2017-09-09 20:56:50,建议请讲解 单纯去看的话没有多少意思
63,说好加班呢,3,2017-08-22 10:24:58,第一个要排队3个小时取票的博物馆，里面藏品确实挺多，但馆不大
64,阿坚兄，,3,2017-06-25 22:12:48,一个博物馆发展成了一个景点，坏处一大堆。人超多，又吵，各种闪光灯，工作人员说了也不听，很影响其他人……
65,MiracleChanges,3,2017-06-21 20:28:37,虽然有些折腾 但是这几天还是有惊喜的
66,maggie,3,2017-05-31 16:53:05,这个博物馆值得一去 里面展品很多 光是看完免费的展馆都满足了
67,蚂蜂窝用户,3,2017-05-29 07:11:06,千年古城，风雨历史，美轮美奂。
68,幸运王子,3,2017-05-18 11:39:39,下午去得，发完了免费票。所以没进去。不过老人可以通过特殊服务窗口换票进去。
69,lulu露露,3,2017-05-14 19:54:31,建议周末去，周末有志愿者讲解员，周二到周日开馆，周一闭馆，平时花钱请讲解员还是很有必要的，自己看不出个名堂！里面文物多，规格高，可惜时间有限，只有一个小时的时间，只看了隨唐文物，时间就到了！
70,Dreama菲,3,2017-05-05 17:16:47,珍宝馆(第四展厅)票价已经涨到30一人！进馆还没看到标示，问路问到在一层一侧，出了第四展厅，才发现还有第五展厅。蚂蜂窝买票可以便宜几块钱，但是不是在馆的东门，而是在博物馆南门进去的东侧。
71,..Wing,3,2017-04-30 12:57:08,这个我不好评价，因为又是人多到爆所以没进去。有免费的票也有收费的票。有兴趣的建议一大早的去排队。每天限人数。
72,深北,3,2017-04-30 07:43:39,可能是自己对于历史不了解，而且是租那种电子服务器，这个博物馆让自己很失望。记住，千万不要用那个电子器，如果是想好好感受历史文化发展，需要请个讲解员，也别指望蹭别人的，里面的讲解员估计知道蹭的人特别多，所以声音很小，边上的人很难听清楚。
73,小黑乐呵呵,3,2017-04-03 13:04:48,实在忍不住要吐槽陕西历史博物馆，展品是真心好，历史真心久，博物馆真心迷人，怕排长队还在去哪买了20元的珍宝馆票。只是我躲过了旺季，躲过了领票的大长队，却躲不过各个展厅的人山人海啊……还不如收些门票钱或每天限少些人，让人安安静静地看个展览。免费领票的大队一直排到大街上，展厅的展品需要隔着3层人头看，所有地方都闹哄哄的，感觉太遭罪了。不介意人山人海，不介意闹闹哄哄的历史迷，实在推荐，因为真的是给我1天还你1万年啊
74,长春大雪,3,2017-03-25 17:49:11,到了博物馆附近，不愁找不到博物馆啊。哪人多，哪就肯定是了。博物馆门口真的是可以用“人山人海”来形容啊。博物馆免费对公众开放，但每天都要发放门票，博物馆里面灯光昏暗，人头攒动，空气不流通，闷热压抑。中国古代曾经有十四王朝建都陕西，在这个拥有悠久历史的古都，自然少不了好多出土文物，只可惜博物馆里的好多展品都是复制品，不是真品。众多带队的讲解员，为了防止有人蹭听，用着只能她自己听到的声音喃喃细语，与延安历史博物馆讲解员那慷锵有力的声音形成鲜明的对比。
