,用户名,评论星级,评论时间,评论内容
0,马踏东胡,5,2019-04-28 10:36:34,西安是13个朝代的国都，博物馆又是一个城市的精华集中地，来这个城市怎么能不来陕历博呢？【票价】免费开放，不免票推荐游玩时间：(3~4)小时【交通】地铁：乘坐地铁2号线到小寨赛格购物广场出，向东步行10分钟就到了公交：乘坐26、5、30、24、27、401、710、521、游8、游6路等公交车在翠华路站下车即到【换票】1.排大长队换那个免费的入场券2.买特展的门票，也能入馆3.在官网提前预订，在西3即网络预约窗口直接凭你的身份证和门票订单号的最后4位直接换票，非常快就进馆了。需要用身份证注册并登陆，然后选票，界面只能显示5天的状态。【层次】博物馆主楼共分4层，有5个展览、餐饮区、青少年活动中心、书吧和一个体验馆。一层（主楼西边）《大唐遗宝展》、《交流与互鉴——陕西文物对外交流50年》一层（主楼东边）《唐墓壁画珍品展》、《八百年不熄的神灯》二层和三层是基本陈列《陕西古代文明》，从秦到唐，断代出来了，提纲挈领【咋看】1.打算详细了解文物展品的蜂友有如下的两个选项：请讲解员：大厅右手边等待租讲解器：大厅右手边，排队租用（是两个不同的窗口，看清楚再排队！）2.讲解员费用：基本陈列（免费参观）：中文讲解100元，英文讲解150元大唐遗宝专题展（另购门票）：中文讲解50元，英文讲解100元唐墓壁画珍品展（另购门票）：中文讲解50元，英文讲解100元小贴士：一名讲解员最多可带领10名游客参观3.讲解器费用：自动语音导览机有中文、英文、法文、日文、韩文语言的收费标准：押金100元，租金30元。小贴士：电子导览设备配备耳机，也可以选择自己的耳机使用，更卫生！
1,豆子luka,5,2019-08-19 16:04:47,来到西安一定要到陕西历史博物馆打卡，了解这个地方的各种历史。首先需要网上预约，或者手机公众号预约，直接搜索陕西历史博物馆即可。最好提前预约，因为当天的免费票只有6000张，晚了好时间段或者票没有了会打乱出行计划的。或者在网上预约30元珍宝馆+基础馆票可以直接进不用排队。因为排队领免费票的人真的很多。我们当时在排队领票，但是如果想改30元票需要重新预约，而且好时间断已经没有票了。所以还是维持免费票预约队伍排队。保安小哥需要看你的证件加上预约成功的页面才可以放行，不然就继续排队。进入基础馆右手边有人工讲解区域，需要排号等待讲解服务，基础馆100，珍宝馆讲解50，但是可以拼，我们是10人拼的，最多10人，然后讲解员会分发讲解服务器+耳机，耳机只有单面，所以只能一人使用。基础馆左手边是租用讲解机器的地方，押金和费用图上有。建议人工讲解，费用低，效果好。但是如果想慢慢逛的人可以使用讲解器。好的东西必然都在珍宝馆里，所以如果拍了免费票进来的游客也不用怕，在珍宝馆入口处有补票的地方，补个票就可以了，讲解员会等你的。壁画馆300，太贵了，但是包含珍宝馆和基础馆的票，想好好研究历史的人可以考虑。
2,dyw5678,5,2019-08-19 18:15:33,被攻略忽悠了，不要听攻略说买付费门票不用排队！现在陕历博进馆全部需要微信预约，不预约买不到票！在人工售票免费票和付费票是一起排队的，不用排队的是自动取票机，但是自动取票机只能取免费票。所以，只有预约免费票才是不用排队的！进去之后有卖付费票的窗口，同样没人排队，想看珍宝馆，先约免费票进去之后再买票就完全不用排队！预约免费票才不用排队！预约免费票才不用排队！预约免费票才不用排队！
3,郑波,4,2019-04-04 18:03:27,公众号的票早已订完。但是马蜂窝还是能预订的，还没放假，去了已经是人山人海，虽然下了赛导游app也付了费用，但是第一展厅里的东西还是没有讲解的，只能听导游的讲解，正好碰到一个西工大的老师在讲解，太敬业了，从早上一直讲到中午一点，老师非常博学，不是一般的导游，仅仅第一展厅就讲了三个小时以上，从石器时代到秦朝的文明，确实感叹中华文明的博大，相比去过的泰国，马来西亚的国家博物馆，这些国家的博物馆内容就比陕西历史博物馆少多了。
4,马蜂窝用户,5,2019-08-19 16:05:13,今天的陝历博参观是由鲲鹏旅行社提供赠送的，但一点儿都没有缩水，讲解唐晓红老师将近两个半小时的细致演说丝丝入扣，把握关键，以古带今又不失幽默，把一些埋藏了上千年的历史记忆文化见缝插针的揉入现代语言甚至是网络网红词语，让人百听不厌，增长了不少的历史知识，谢谢唐老师的敬业。
5,陈威,5,2019-09-23 10:44:42,陕西历史博物馆位于大雁塔的西北侧，是 中国第一座大型现代化国家级博物馆，馆藏文物多达 370000余件，被誉为“古都明珠，华夏宝库”。陕西历史博物馆的游览路线主要包含：一楼大厅的“ 陕西 古代文明第一展厅”（左进右出），然后上二楼看 “ 陕西 古代文明第二、第三展厅”。从一楼大厅讲解器租用归还处的楼梯下去右拐的第四展厅“”何家村大唐遗宝展”，这个展厅是要收费的，门票30元/人
6,foolle,5,2019-05-04 00:10:44,展品非常不错，数量多，质量高，必须来看看。主要是陕西境内的新石器文化包括仰韶文化、蓝田文化，以及周秦汉唐的历史文化，令人叹为观止。收费的何家村大唐遗宝展厅主要展出西安出土的唐代金银珠宝玉器，精美绝伦，其中有一件玻璃制品，古代玻璃制作工艺停滞不前，古人认为玻璃比黄金价值更高。印象最深刻的要数《唐三彩载乐骆驼俑》，好像中学历史书中写到过，非常精彩，见图6。
7,可爱的妈,5,2019-05-07 20:43:40,陕西严重的雾霾，不能挡住陕历博的光辉！年十五去的，看网上的视频说可以现场买30元票，但是实际情况是所有票都需要网上预订！！！我们这个时间段陕西的小朋友已经开学了，所以第二天，据讲解员说，人已经少多了，但是每看一件宝贝就跟土匪抢劫一样，又热又慌忙。已经没有了欣赏宝贝的心情。30元门票的场馆人也不少。跟着讲解员走马观花的看一遍，已经累的不成了，都没有精力在自己喜欢的宝贝前再停留了。另外我觉得，年龄在5岁以下的小朋友就不要去了，有好多家长抱着在怀里睡着了，还有抱着婴儿去的，那简直是受罪！！！最喜欢十二生肖俑，生动可爱。里面的猪好像是83版猪八戒的原型，表情一样一样的。
8,张嘻嘻嘻嘻嘻嘻,5,2019-08-31 08:23:33,春节期间得空游览了陕西历史博物馆，有几点先提示一下。第一，门票是需要排队滴，最好来的早一些。第二，进门需要安检，但是可以提前存包省去进去的麻烦。第三，人工讲解需要进门排队的，机器的不需要，个人感觉机器的挺好，时间和快慢受自己把控。第四，馆藏特别丰富，想仔细看，一天都不够的。所以来前应该允做做功课，有个了解，尤其是带孩子来的，可别一问三不知多尴尬。因为是小朋友的假期时间段来的，人还是特别的多，大概听着讲解的介绍，哈哈，文化造纸不高，就是感觉都好值钱呀[呲牙][呲牙][呲牙]
9,karenluna,5,2019-05-01 10:57:49,因《国家宝藏》而被越来越多的游客们所熟知，同时也成功的被我列入了来西安一定要打卡的list。其实陕博的热度一点儿都不比兵马俑差。如今虽已全面改成网上预约票制，大大减少了排队买票的时间，但春节期间的免费票还是在两天前就已然一空；即使是30元的珍宝馆收费票，上午入场的预约票也在提前一天就销售一空。对于我这个去哪儿都想人少的人，自然还是会一大早前往。与秦始皇兵马俑一样的是，官网公布的开放时间是上午9点，但当我8点40来到这里的时候，居然已经开放进入参观了。不知道这是不是西安特色啊？想去感受空无一人的“包场”享受感，又能早起的小伙伴们，不妨可以试一试。陕西历史博物馆是个特别适合多次参观的地方。馆藏的珍贵文物众多，想要好好欣赏，真是几天也走不完。所以对于像我这样时间有限的外地游客来说，有选择性有重点的参观，则是效率最高的选择，不会走马观花，也将博物馆内最为经典的几大镇馆之宝细细欣赏。来之前特意在网上查阅了18件镇馆之宝的名录，但有些在博物馆里找了好几圈都没能在找到，不免有些遗憾，但是大部分的精华还是亲眼所见，也是很开心了。陕西历史博物馆里的宝藏国宝真是太多太多，网上介绍的资料有的是，作为十三朝古都的西安，想要了解它的历史，不妨先来到这里，让这些宝贝们给我们讲述这座古城的过往兴衰。
