,用户名,评论星级,评论时间,评论内容
0,张司晗,1,2019-08-20 10:21:44,陕西历史博物馆的预约系统太坑了。只能刷出300元的壁画票，免费票刷不出来，好不容易刷到30元的，填完个人信息又跳转到首页，根本预约不到。免费票可以自助取票，掏300元的反而要排长队。旅游管理太差劲了，体验极不好。博物馆是给人民大众服务的，建议管理者合理设置预约系统，不要盲目限制人数，多为游客考虑考虑，不要就想着躺着赚钱。
1,寡淡。,1,2019-06-16 08:36:01,必须在公众号预约成功才能免费进，否则你人到了也进不去！！！公众号免费票抢不到真是醉醉的，只有300块的馆票有卖！只能在淘宝花55买了门票，真的差评！
2,一阵风,1,2019-08-19 16:05:48,我6号上午网上预定的下午14：00唐代壁画珍藏馆。下午排队取票时候，收我300元一张票，我一家3口一共花了750元。我要投诉，掉钱眼里了。
3,张麒麟丶,1,2019-04-10 07:24:20,博物馆是我到每个地方必去的，而且西安十三朝古都，不论是文物还是人文我感觉都太吸引人了。但是，这里我要说但是，我去过超过10+的博物馆， 陕西 历史博物馆是体验最差的，没有之一！！博物馆周二至周日9点钟开门，我8点到的门口，免费领票的已经排了长长的队，询问了一下保安，如果我现在就排队的话，十点之前肯定是进不去的，所以没办法选择了买大唐遗宝馆的门票，30块钱，直接就可以进入。第一次花钱进博物馆，感觉真是如鲠在喉。我要说的是我提前一周就在开始网上订票，然而根本就订不到，网上预定一天只有可怜的500张，根本看不到就被抢光，而且 陕西 博物馆现在一天参观人数能达到1.3万左右，根本不会限制人数，在里面也根本无法静下心来参观，熙熙攘攘，挤来挤去，是我对陕博最深刻的印象了。当然这只是我的一面之词，抛开体验来说，陕博的展览和藏品在众多博物馆里都属精品，没办法，自己选择的，打碎了牙往肚子里咽吧
4,马蜂窝用户,1,2019-08-19 16:06:14,买票，取票规定太不合理。等一两个小时还取不了票，需重新排队。维护秩序的服务态度也特别差，还想和游客打架。
5,阿念,2,2019-04-01 14:07:30,网红博物馆，来了三次，终于进去了，结果五个展厅，都在一起，四展厅是收费的，好像6展厅也是收费，期间还听到一个导游在说，四展厅没有导游根本看不懂。其他三个厅还有一个革命展厅，不值得来了这么多次，很多东西都在外出展出，或者维修。
6,深水埗小王子,1,2019-08-19 16:06:34,不得不吐槽的几件事1、放眼全国，去过的博物馆也不少，只有这里，真正做到了以盈利为目的。个人认为放在这种博物馆里的展品都不应该收费，你可以自己单独建一个地方。是不是怕收不到钱，才采取这种捆绑消费。2、预约制度本没错，但存在漏洞。为何不一台电脑一天只能预约3张博物馆门票。个人需提前几天预约，可能还没有票，而团队可以大摇大摆领几十张。包含珍宝馆至少需要70以上，旅游团可以靠华清池这种景点挣钱，而不是博物馆，某些公职人员更不应成为帮凶。3. 我是早上9点钟开始排队的，进去的时候11点。我排队的是免费票。花30块钱和免费的开始时队伍是一样长的，但后来明显30块钱的队伍前进更快，请问这是为什么，至少要快1个小时的时间。4.进去之后，请讲解也是要等待的，足足等了40分钟。5排队机智不合理，为何不发号码牌呢，一人为啥可以多张带领呢。真正想排队，就学迪士尼，一人领多张，插队时有发生，怎么对的起辛苦排队的人，也不增加人工成本。总结：正式这种以赚钱为目的的指导思想，使得一个博物馆脱离了它原有的本质，原有的职能，真正做到了独领风骚。排在了各种博物馆的前列。请各位要去博物馆的人，事先重视起来，做好攻略。
7,Rua,1,2019-01-30 14:39:17,千万别去，噱头大过天，排队人很多，不知道是看人还是看展品。(我排的就是30元票价的)，早上6点40分去，排了3个小时。
8,想走的蛇,1,2018-12-29 20:41:37,说网上可以买珍宝馆的结果全部售罄，说现场可以排队买30的票，排了快两小时，马上要到了，“因博物馆人流太多，我们现在暂停售票”
9,时而深沉-时而呆萌,1,2018-09-06 15:03:16,真的无语了，直接不想看了┐（─__─）┌排队一小时，进来之后发现人多的看不到展品，每走一步都汉淋淋的，空调貌似鸡肋。最重要的是那么多好的展品，展馆的设计却一点也不人性化，没考虑人的体验，只能从正面看展品，那就得挤过去，无语了，失望了，最差的。
10,KLEETOPE,2,2018-08-08 11:32:16,博物馆展品非常丰富，但是里面人太多了，嘈杂得很，管理人员也不管，展柜玻璃都被摸花了，大人小孩随地乱坐，有的都做到展柜上了……排队进场馆也等了好久，不知道陕西历史博物馆能不能想想办法让观众少排队，实在不行就全部改成预约制好了
11,云栖松,2,2018-07-28 10:41:26,人居多，一个文物能围一圈人。游览体验极差
12,J+B+Su+Sp=me,1,2018-07-24 15:44:49,给大家一个忠告：千万要买三百元的票，否则不要来，因为这里的免费票排队太变态了，哥们儿等了三个小时都没动地儿，令人崩溃！
13,-猪八戒他二姨,2,2018-07-18 06:20:13,是我去过那么多大大小小博物馆里面感受最差的一个。四月初去的 不是节假日还下雨 一到门口惊呆了 门两边都是排队的人 想要花30块钱直接进去都得排队买票 在门口排队等了很久（去的时候只要现金）一进去乌泱乌泱的都是人 小孩在里面大声尖叫 刺耳的那种 大人也在里面大声喧哗 真的够了 特别烦躁 每一个玻璃前都有一堆人在那呼着 也看不出来啥 当时赶上正中间的厅在装修 只看了最右边和最左边的小厅人多地方小 走路都迈不开步
14,三道半,1,2018-07-10 15:06:31,走错道都要被工作人员问候父母，西北人真牛逼。
15,土豆的饼,1,2018-07-04 09:23:43,很失望，刚好我来的时候不开门，我还能说什么
16,钱思思,1,2018-07-03 02:32:59,还没进去就忍不住要写差评了！负责景点的是什么部门？付费窗口排队半小时，纹丝没动！售票的人是去吃饭了还是怎样？以上内容与馆内展品无关，希望引起有关部门注意！
17,马蜂窝用户,2,2018-06-12 17:36:14,居然还收费，四川的都不收费，而且还大修，看来西安真是穷的靠旅游业了，而且讲解居然还在用人工，电子讲解还收乾，比起四川差远了
18,Jusaka,2,2018-05-13 13:08:20,近期去陕博的小伙伴请注意！！！！基础馆在重修！！！五月中旬才对外开放，所以展品较少。我们请的讲解也很不专业，讲话速度简直像开机关枪！！！整个行程走马观花！！差评！！！有兴趣前往的小伙伴请记得找男生讲解。
19,🎀Katy小汤圆,1,2018-05-06 12:31:11,本来满怀期待来到陕博 却被这人流着实吓到…博物馆不限流还发免费票。这里头的文物一件没见着 只看见人头人头人头人头人头人头…给大家提个醒儿 避开高峰期 或者还是别来了……我只想给陕博打负分!
20,(╯°□°）╯,1,2018-05-04 13:18:04,八个展馆关了四个，剩下的四个其中两个免费两个收费，壁画展300一张票！简直坑钱
