,用户名,评论星级,评论时间,评论内容
0,Kumiko,3,2019-05-28 22:10:52,太远了，离我定的酒店有将近三个小时的路程，早上八点出发，中午到，爬了会儿吃了饭两点多就又坐上回来的车了…um…喜欢登山徒步运动的朋友可以去一下
1,ly,3,2019-05-17 08:11:41,住前门大街附近的话，直接在前门大街坐旅游一线公交，20元，一个半小时到后山。爬长城的话体力一般的还是建议搭缆车到北六，然后自己爬到最高北八，如果还有体力就继续爬北九十十一十二，很多游客都停留在北八，北九开始有点陡，但胜在游客比较少，风景更好，体验感更佳。
2,呀丫头,3,2019-05-20 00:22:47,一览众山小啊，好漂亮 值得一去
3,Luminosity,3,2019-07-03 13:54:36,不推荐哈，如果真的想去，不论是慕田峪长城，还是古北水镇的司马台长城都很不错，八达岭实在欠缺必去的点，如果算好汉碑的话，那确实是必去吧，笑：）
4,Jackee,3,2019-06-11 10:29:06,山上的墙头还是挺壮光的，就是人多
5,熔化,3,2019-05-06 16:36:41,我们现在真的不推荐去八达岭，人太太太太多了
6,zou philippe,3,2019-03-04 09:30:37,现在觉得八达岭长城管理的越来越差了，而且每年规定都不一样，停车，上车，黑车，牵驴的一堆堆。
7,二哥,3,2019-02-23 23:31:37,游客太多，而且太新，建议去司马台或者古北口。
8,陌生人,3,2019-01-30 01:07:05,真心不建议节假日出行去此地，人多不说，去了就只能感受人山人海了。如人少时去应该别有一番感受。。
9,李镇,3,2019-01-25 11:30:55,滑车票100元，建议不要坐。全程就500米左右，长城走完也就1.30小时左右，长城的几个入口都不远，地图可以导航。长城看看，感受一下就可以了877坐车到景区12元，走到1号等城口，12号出口，相当于爬一个小山坡，往熊乐园门口走的路上左手边走徒步登城墙的入口注意看就可以。
10,小女子胖墩墩,3,2018-12-23 13:20:00,时间：1995年7月、1997年7月。小时候去过两次，现在再去人太多了。
11,嵇可睿,3,2018-11-16 16:22:03,北京著名浏览景点，但是真的如果爬长城的时候，有很多其他选项可能更好一些。八达岭主要的问题是人太多。。。
12,_旅行为玩,3,2018-11-16 15:40:39,大家千万不要坐黑车了，坐13号线地铁去到霍营站，然后从地铁走S2火车专线，刚出站口就被个女的缠住了，跟我说坐火车也要18，不如坐她的车来回50，倒霉了的是当时火车下一班车还要等1个小时，黑车的人说可以回途再给钱上了7座车，挤了17个人，尼玛的。说是回途给，结果要你押身份证，不然就要先给全款，怎么可能押身份证嘛现在进去景区都要身份证了，两个人100块我当丢垃圾桶了。结果过去给打电话不听，算了，回程我坐的S2火车，7块从八达岭回黄土店，坐得又舒服。惨痛的经历告诉大家别坐黑车，恶心到心情都没了
13,🐻熊猫,3,2018-10-31 15:54:02,长城的风景我个人觉得一般般，主要是作为一个中国人你必修来打卡，见证下中华民族骄傲和自豪，建议错开黄金周平时来，印象深刻的还是长城脚下的一个叫“钰膳堂”的餐厅，点了两碗面共60元，贵不说，分量少，还真tm难吃，本人平时都是不挑食的主了，哎！强烈建议要吃饭的到前面正规餐厅！
14,远野贵树,3,2018-10-07 10:38:12,人永远那么多，写个点评证明我来过
15,百人想歌,3,2018-09-16 11:22:51,登长城很累，北京旅游必打卡之地
16,马蜂窝用户,3,2018-09-12 16:11:46,时间有误，网上说的是6:30，实际上是7:45，售票口很多黑的，大家都不要坐，没那个必要
17,dyc,3,2018-08-27 07:51:51,有两个停车场，私家车可以停到更上面，会比较方便。免费的接驳车其实营业性质很浓，我们是从停车场坐得车，有两点不满：1）接驳车中间会停一站，徒步上长城会比较近，但讲解员不会明确说，会导向性得把游客拉到终点站索道上山处。2）不同的接驳车站点不同，但车上没有任何标志，难道这家公司连写好起终点站的纸都不愿意打印吗？没有标志就算了，随处可见的工作人员也是态度极其不耐烦，爱理不理的，我能理解暑期游客量巨大影响他们工作心情，但是谁的工作不是如此糟心？关键原因还是这个公司的管理有很大问题。
