,用户名,评论星级,评论时间,评论内容
0,我快乐的去,5,2019-05-07 13:01:30,【交通】从积水潭地铁B口出来，会有指示标志，跟着箭头走到877公交总站即可。真正的877是可以刷公交卡的，刷公交卡6元，现金12元。来之前一定要确认自己公交卡内是否够往返车费，长城那边没有充值亭，还好手机支付也可以（易通行不行的）要不然就要给12元现金啦。如果交现金，最好备好零钱，有的可能不找零。如果不堵车的情况下，一个多小时就能到达八达岭。回程能早尽量早，877班车是5点就是末班车了，如果你赶5点最后一班的话，那站着回来的可能性就大了，再加上路上堵车，那就无望了。一点半就可以选择回来了。回程的877在【前山熊乐园停车场】，现在想起来，忘了看免费的熊馆了。【门票】公交车上有随车讲解员，会告诉你有三种方式登顶：徒步、滑车、缆车。我是那种不爱运动的人，选择了徒步上山，从北1到北8一共耗时一个半小时，所以我觉得强度不是很大，年轻人就自己爬上去咯。开始我们选择的是在网上购买的门票43元，因为印象里门票是50。但是到了现场发现门票才40元，果断就把网上的退掉了。但是一定要网上退款成功呦，否则窗口是会显示你已买票，无法现场买的哦。【身份证】一定要带！买门票需要呢。【线路】第一次来大部分都是爬北1到北8。因为好汉石、好好破、好汉碑都在这边。虽然北长城到12，但是顶点就到8，后面的感觉像是下坡路，而且你还要原路返回，所以就没去了。爬北长城的时候，看到对面的南长城是人真的寥寥无几呀。所以有精力的人，下次可以选择来爬南长城。【周边景点】一般导游团都是早上看升国旗，上午来爬长城，下来的早就去十三陵，从十三陵返回城区，晚上去鸟巢看夜景。
1,猫十一,5,2019-05-10 13:07:52,我来写个徒步登山的攻略吧。因为看了很多点评都没有说徒步的事情。在北京二环的德胜门上车，坐877路，德胜门直达八达岭。德胜门的公交站在门楼下面，不要坐了黑车，真的公交车是可以刷公交卡的，6元票价。大约1.5小时后到达八达岭。到了八达岭车上随车讲解员会极力推销滑车，其实就是一种轨道过山车，开到北四楼。滑车加门票是155一个人。我选择徒步登山，门票35元淡季（旺季40）。如果不是有老人，建议年轻人徒步即可，省钱。下了877不用跟讲解员走，她会带着你去买滑车票。顺着来时的公路继续往上走，大概走15到20分钟，就会来到长城博物馆，也会一个牌子指着翁城。还有八达岭的标志石碑和国务院石碑，这里就是所谓的后山，而前山就是公交车到的地方。回来也是回到前山坐公交车。不用听信讲解员，这里姑且称为导游的话语。走15分钟到了后山，买票35爬八达岭长城。从北一烽火楼开始爬，每过一个烽火楼加一，比如北一变北二，爬到北四楼，就是滑车到达的地方，这个地方有厕所，要稍微下山走五分钟，可把我憋坏了，上山前没上厕所。厕所按指示牌走即可。接着再上来，重新爬，到了北六楼就是缆车的下车点，缆车也是在后山上车。再往里是北八楼，很多人贴着墙拍照。然后这里敲黑板说重点。不用听信导游的原路来原路回！如果体力不支，那还是原路回。本人明显感到下山体力不支。但是！如果你想看北八之前没有的风景，想体验将近80-90度倾斜的长城，请继续往前走，爬到北十楼。这里上山下山会非常多。给一个小技巧，下坡下山时可以手扶着栏杆倒着走，冬天记得戴手套。这是我在塔斯马尼亚lighthouse学到的，非常管用。然后就是过了北十楼一直往下走，前方会有一个岔路口往后，能看到很多屋子房子，这里就是熊乐园，能免费看狗熊。再往前走就是北十一和北十二。北十二就到头了，我体力有限就没去了。还有一开始检票入园后也可以往南即往左走，是南长城，我走的是北长城右边，所以这里就不再赘述。下山会有香肠10元3串，羊肉串10元六串卖，还有很多工艺品，旅游地方都这样。所以，我最后总结一下，不要听信导游说的做滑车，做他们的六块钱公交到八达岭就可以，接下来买一张35的门票就可以爬长城，学生证半价17.5，如果家里有老人，或者钱多土豪，那可以选择缆车或者滑车。我估计是滑车和缆车有竞争，所以导游一个劲推销滑车贬低缆车，但我个人认为滑车上山看不到风景，没缆车好。最后，感谢大家耐心阅读！
2,lydia,4,2019-09-18 12:45:11,虽然不是假期，但逢周末，八达岭长城的人依旧不少！可能大家都还是想争当一下好汉吧，毕竟是5A景区，历史悠久！不过我呀，虽然登上了好汉坡，但依旧不是好汉，因为人家是小仙女呀😜关于交通，推荐坐S2专线，因为公交真的堵！很堵！！！不过的确公交的话可以少些步行的路程～推荐大家用高德地图，一般导航还是很优秀的！S2发车时间一般不固定，所以要提前查好，小仙女是公交去的，所以火车回的！感触颇深！但是回的时候检完票，一定要往前跑，拍在越前边越好，因为这个和谐号是没有坐次的座位是先到先得，所以你会看到人们都使劲得往前跑，占个站台前的位置！关于索道，个人觉得如果有老人或者孩子，可以乘坐，这个全看自己意愿。小仙女是觉得既然来了就有必要体验一次经典路线，小仙女从北一爬到北八，然后下到北十一再到熊乐园最后到登长城的地方，一共用了两个小时，并没有听说的一个全程要五六个小时之久，不过这个也和当天的人流量有关，因为有的路段真心是走不动得，只能一步一步的挪，一方面是太多游客拍照休息，主要还是因为通过敌楼的门太窄，一次两个人并行都会挤，何况如此的人流量呢！好汉坡，几乎所有游客必打卡的地段，那人流量，真的是都不会空着的，总是那么多人！看图说话😂不过小仙女选择的下山路线人还是相对少很多的，所以速度也就提了上去！不过话说，那台阶，那斜坡，是真陡啊！头一次有一种上山容易下山难的赶脚，下的时候膝盖真心疼！然后顺着下坡得路就可以一直走到S2专线站了。关于风景，毕竟年代久远，然后依旧如此壮观，不得不感叹古代劳动人民得智慧！山峰层峦叠嶂，长城绵延起伏，就是今天天气较前两天有些差，看的不太远。枫叶的话，只有最美赏红城墙那里有些红了，其他都是黄绿交错，还有些星星点点得红。就说这么多吧，仅供还没来过八达岭的蜂蜂们参考～
3,专治一穷二白,5,2018-12-16 12:35:10,这次包车旅游很满意。客服主动帮我们设计了线路及玩法让我省了不少心，够专业很热情服务很好。司机师傅提亲一天晚上主动联系了我，按我定的时间来接的，车子打扫很干净也没有异味，一路上给我们介绍景点，不寂寞。开车技术棒棒哒，路况熟悉，到了长城主动帮我们取票，我们省了不少事，不用排长队了，总之玩得很开心，就是节假日人比较多，下次一定避开节假日出行！回来的时候我们临时改变了送回地点，咨询了客服，客服很快就安排给司机送我们去了，很满意，一定要给5分好评！会再来的！
4,蚂蜂窝用户,4,2018-12-16 12:42:48,5月1号 人不多 就是早上起来迟了 做877大概9点 刚开出没多少路抛锚了 等了办小小时换了大巴 从新开 本来小孩子免费 第二辆车居然收费也不差这点钱 12元 大人有卡6元 没卡12元下车记得也要刷卡要不然惩罚15元多第二辆开 那时候10点了 一路堵 往死里度 到长城大概12点了大家记得往里面走 门票在最里面 外面是缆车 里面和最里面有2除买票 40元不贵回来4点坐车还算顺利
5,马蜂窝用户,5,2019-10-14 14:21:03,今年五一我领着妈妈和女儿到北京旅游，虽然北京我也来了几次，但去长城还是第一次。我在马蜂窝报了团，遇上了一位超级好的导游，真的感觉很幸运，导游蒋丽，人善良美丽，讲解得细致清楚，按排得井井有条。午餐还有烤鸭，绝对是纯玩无购物，还有司机马师傅的车开的很好，总之是不虚此行，很开心！给我们全家留下了美好的印象，谢谢你蒋丽导游和司机马师傅！给你们点赞
6,来嘛英雄,4,2018-10-13 22:46:55,雄伟壮观，北京打卡必去，但是877路直达八达岭的公交车讲解员是真心坑！建议只要不是60岁以上，或者您体力稍微可以，选择徒步就行，什么前山滑道150元左右，滑道5分钟就到北四楼，后山徒步登长城很远，中间有一段距离，问了好几遍到底有多远，各种转变话题，让你座滑道，其实只有50到100米，就是徒步成长城大门入口！你妹的，以为登长城需要很长时间，1个小时不到，从入口到北八楼好汉坡！长城真心值得去……
7,多巴麦子👣,5,2019-05-17 12:19:15,不到长城非好汉！！那天逛前门大街时正好看到有旅游一号线可以直达长城和十三陵，很方便的。地铁二号线前门站C出口出来会有指示牌告诉游客旅游专线往哪个方向走。我们是先去八达岭长城的，车费二十元，车子没有间隔时间，一辆接一辆，坐满就发车，排队上车的游客很多的也不断的，所以坐满绝对没问题，我们那天是八点不到上的车，04分就发车了。我们爬完长城后是去了十三陵，还是坐了旅游专线直达到长陵，车费十元。发车时间是十一点，十二点，十三点。然后十三陵结束后还是坐了旅游专线返回前门，车费十块。直通车在长陵发车的时间为下午2点，3点，4点。在定陵发车的时间2:05，3:05，4:05左右吧，因为从长陵开过来大约5分钟左右。非常方便。直通车的车费只能收取现金，先上车，后买票，乘务员在车上会过来卖票的。我们是坐索道上去的，索道到达第6个坡，然后再爬2个坡到北八楼的好汉坡，可是不知道是不是自己走错了路线，我始终没有看到好汉坡三个字，另外听说可以爬12个坡的，可是为什么我到了第八坡就没有路了？我以为自己爬错了，下来回到索道站，又走了另一条路再次爬了一遍，还是回到了北八楼。在某旅行网上订的票，老人小孩的半价票也可以网上订的，然后到售票大厅(就是坐索道排队的地方，直接取票就可以了)
8,独自随风,5,2019-07-26 10:49:34,私家车来到八达岭停车场，现在已经不能直接开到景区门前了，需要转乘免费的“接驳车”（摆渡车）。虽然排队的人很多，但是公交车一辆接一辆倒是没觉得等候很久。还有，本来我的位置靠后，前几趟车都没戏。听到工作人员喊道：有没有不需要座位，在车里站着的？我赶紧举手，从铁栏杆里面翻出来，挤上摆渡车。这一下子就把摆渡车挤个满满登登。摆渡车的行驶时间大约是五六分钟吧，下车地点就在缆车站边上，很方便。游览八达岭长城可以选择徒步登城，登城入口距离摆渡车站有一段距离，需徒步穿过一条步行商业街后，从“北门锁钥”城门楼子下面穿过，大约步行10几分钟吧。好处是沿途吃喝补给购物都不是问题，还能省缆车票钱；当然徒步有点累了。往返要是坐缆车，那就相当轻松了。八达岭长城最著名的楼子是北八楼，因为那里有毛主席题词的“不到长城非好汉”的石碑。坐缆车可以直接到北7楼，而且缆车站就在摆渡车站，几乎就没有强度了。八达岭长城是国家5A级风景区，门票仅35元！（估计是淡季价格）唉~~真是太便宜了！不过我想吐槽一下的就是这个缆车。我购买的是单程缆车票，票价是100元（往返是140元）。无论是从乘坐时间还是修建难度上，我都觉得实在是有点“黑心”了!我大概算了一下，上行单程缆车的乘坐时间也就5分钟左右！（我在 井冈山 景区里乘坐杜鹃山景点的缆车时间是近40分钟；就在 北京 近郊的千灵山索道单程80块钱已经很贵了，不过那缆车坐了半个小时，半个小时！那得多老远？ 济南 的千 佛山 ， 洛阳 尧山等等等等，哪个乘坐时间也得一二十分钟起步吧？）我这屁股还没坐稳呢，就到了！心想这100元可是真够贵的！现在刚进3月，天气还是冷的时候，肯定算不上是旺季呀？怎么会有这么多游客？下了缆车后（已经是北7楼了），看到上行的游客拥堵着半天没动窝，我也打消了上行去北八楼瞻仰主席字体的这个念头，决定从北7楼徒步下去。心想，也许过了这一段，长城上的路况会好一些吧？初春的季节，早晚很凉。我到八达岭的时候已经是中午了。这么多游客四脖子流汗挤在那里，我看着心里就燥的不行，赶紧往下走，想躲过这一拨儿人流。没想到没下一个楼子，都会有这样的场面：我是从徒步登城口出来的，知道需要走十几分钟才能回到摆渡车站。（如果坐缆车下来直接就到摆渡车站了）
9,走自己的路,4,2019-11-12 17:26:16,达岭长城，位于北京市延庆区军都山关沟古道北口。是中国古代伟大的防御工程万里长城的重要组成部分，是明长城的一个隘口。八达岭长城为居庸关的重要前哨，古称“居庸之险不在关而在八达岭”。明长城的八达岭段被称作“玉关天堑”，为明代居庸关八景之一。八达岭长城是明长城向游人开放最早的地段，八达岭景区以八达岭长城为主，兴建了八达岭饭店和由江泽民主席亲笔题名的中国长城博物馆等功能齐全的现代化旅游服务设施。
